Name,Long_Lat,Borough,Precinct,longitude, latitude
Howland Hook,-74.1862233174983 40.638432837947995,Staten Island,121,-74.18622332,40.63843284
Ozone Park,-73.84320266173454 40.68070846826546,Queens,106,-73.84320266,40.68070847
Midland Beach,-74.09348266303599 40.573526905742874,Staten Island,122,-74.09348266,40.57352691
Murray Hill,-73.81276269135873 40.7641261226141,Queens,109,-73.81276269,40.76412612
Port Richmond,-74.12943426797015 40.63366930554369,Staten Island,121,-74.12943427,40.63366931
Clifton,-74.07264244548406 40.61917845202847,Staten Island,120,-74.07264245,40.61917845
Washington Heights,-73.93690027985242 40.85190252555309,Manhattan,34,-73.93690028,40.85190253
Randall Manor,-74.09805062373894 40.63563000681155,Staten Island,120,-74.09805062,40.63563001
Throgs Neck,-73.8163500215845 40.815109258040096,Bronx,45,-73.81635002,40.81510926
Cypress Hills,-73.87583132262635 40.6846357939163,Brooklyn,75,-73.87583132,40.68463579
Arverne,-73.7919923313695 40.58914394372975,Queens,100,-73.79199233,40.58914394
Stuyvesant Town,-73.9740517046921 40.73099955477065,Manhattan,13,-73.9740517,40.73099955
Greenpoint,-73.954240931274 40.730200984864744,Brooklyn,94,-73.95424093,40.73020098
Concourse,-73.91558941773451 40.834283807338544,Bronx,44,-73.91558942,40.83428381
New Dorp Beach,-74.10432707469131 40.56425549307338,Staten Island,122,-74.10432707,40.56425549
Whitestone,-73.8142021661087 40.781290766026984,Queens,109,-73.81420217,40.78129077
Lower East Side,-73.98089031999298 40.71780674892769,Manhattan,7,-73.98089032,40.71780675
Huguenot,-74.19174105747821 40.53191192048964,Staten Island,123,-74.19174106,40.53191192
West Brighton,-74.10718178265617 40.63187892654611,Staten Island,120,-74.10718178,40.63187893
Prospect Heights,-73.96485924262697 40.67682226225477,Brooklyn,77,-73.96485924,40.67682226
Springfield Gardens,-73.76042092682295 40.666230490368626,Queens,113,-73.76042093,40.66623049
College Point,-73.84304528896132 40.78490274926025,Queens,109,-73.84304529,40.78490275
Fordham,-73.8964265598163 40.86099679638657,Bronx,52,-73.89642656,40.8609968
Williamsburg,-73.95811529220936 40.70714439344255,Brooklyn,90,-73.95811529,40.70714439
Rossville,-74.21572851113959 40.549404006500765,Staten Island,123,-74.21572851,40.54940401
Kensington,-73.98042110559481 40.64238195800357,Brooklyn,66,-73.98042111,40.64238196
Bellerose,-73.7201281482691 40.72857318176679,Queens,105,-73.72012815,40.72857318
Todt Hill,-74.11132881800887 40.59706851814676,Staten Island,122,-74.11132882,40.59706852
Far Rockaway,-73.7549796804388 40.60313443250093,Queens,101,-73.75497968,40.60313443
Mill Basin,-73.9151539155041 40.615974239623405,Brooklyn,63,-73.91515392,40.61597424
Arrochar,-74.06712363225581 40.596312571276776,Staten Island,122,-74.06712363,40.59631257
Gravesend,-73.97347087708452 40.59526001306597,Brooklyn,61,-73.97347088,40.59526001
Upper West Side,-73.9770592363061 40.7876579985349,Manhattan,20,-73.97705924,40.787658
Sheepshead Bay,-73.94318640482987 40.58689012678388,Brooklyn,61,-73.9431864,40.58689013
Financial District,-74.01066544521277 40.70710710727052,Manhattan,1,-74.01066545,40.70710711
East Harlem,-73.94418223148531 40.79224946663037,Manhattan,23,-73.94418223,40.79224947
Bay Terrace,-74.13916622175775 40.55398800858466,Staten Island,122,-74.13916622,40.55398801
Rosebank,-74.06980526716148 40.61530494652765,Staten Island,120,-74.06980527,40.61530495
