PCT,CRIME,2013,2014,2015,2016,2017,Weight
1,MISDEMEANOR POSSESSION OF STOLEN PROPERTY,43,37,18,7,13,8
1,MISDEMEANOR SEX CRIMES (4),42,43,35,53,72,8
1,MISDEMEANOR DANGEROUS DRUGS  (1),84,93,98,215,165,8
1,MISDEMEANOR DANGEROUS WEAPONS (5),19,32,26,22,22,8
1,PETIT LARCENY,2014,1863,1782,2014,1932,8
1,ASSAULT 3 AND RELATED OFFENSES,302,309,273,362,356,8
1,INTOXICATED & IMPAIRED DRIVING,68,153,46,20,8,8
1,VEHICLE AND TRAFFIC LAWS,56,48,56,68,64,8
1,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES,316,323,381,324,371,8
1,CRIMINAL TRESPASS,108,88,75,126,85,8
1,UNAUTHORIZED USE OF A VEHICLE,5,10,4,5,8,8
1,OFFENSES AGAINST THE PERSON (7),7,9,8,19,9,8
1,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),101,100,81,101,73,8
1,ADMINISTRATIVE CODE (6),1,1,1,4,2,8
1,FRAUDS (3),290,207,141,127,97,8
1,AGGRAVATED HARASSMENT 2,400,230,233,344,303,8
1,OTHER MISDEMEANORS (8),647,497,623,553,460,8
1,TOTAL MISDEMEANOR OFFENSES,4503,4043,3881,4364,4040,8
5,MISDEMEANOR POSSESSION OF STOLEN PROPERTY,20,11,9,14,19,8
5,MISDEMEANOR SEX CRIMES (4),42,31,61,40,68,8
5,MISDEMEANOR DANGEROUS DRUGS  (1),237,326,324,385,420,8
5,MISDEMEANOR DANGEROUS WEAPONS (5),24,32,50,34,25,8
5,PETIT LARCENY,1288,1085,955,911,922,8
5,ASSAULT 3 AND RELATED OFFENSES,304,300,324,341,420,8
5,INTOXICATED & IMPAIRED DRIVING,29,24,22,30,34,8
5,VEHICLE AND TRAFFIC LAWS,47,52,43,42,53,8
5,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES,367,373,372,295,273,8
5,CRIMINAL TRESPASS,105,145,162,164,141,8
5,UNAUTHORIZED USE OF A VEHICLE,3,4,3,0,4,8
5,OFFENSES AGAINST THE PERSON (7),9,23,25,16,26,8
5,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),108,98,68,85,57,8
5,ADMINISTRATIVE CODE (6),1,2,2,4,3,8
