PCT,Name,Borough,2015,2016,2017,Avg,Diff,Variance,Variance_prediction
22,Central Park,Manhattan,399.20000000000005,284.20000000000005,242.8,341.70000000000005,-98.90000000000003,-0.40733113673805615,-0.4046446164672765
103,Hollis,Queens,8972.800000000001,7870.0,6768.7,8421.400000000001,-1652.7000000000016,-0.2441680086279495,-0.1401270648030497
103,Jamaica,Queens,8972.800000000001,7870.0,6768.7,8421.400000000001,-1652.7000000000016,-0.2441680086279495,-0.1401270648030497
103,Jamaica Hills,Queens,8972.800000000001,7870.0,6768.7,8421.400000000001,-1652.7000000000016,-0.2441680086279495,-0.1401270648030497
41,Hunts Point,Bronx,6083.9,6132.799999999999,5270.099999999999,6108.349999999999,-838.25,-0.15905770288988824,0.007973519436472678
41,Longwood,Bronx,6083.9,6132.799999999999,5270.099999999999,6108.349999999999,-838.25,-0.15905770288988824,0.007973519436472678
40,Melrose,Bronx,13403.500000000002,12918.3,11541.9,13160.900000000001,-1619.0000000000018,-0.14027153241667334,-0.03755912155624212
40,Mott Haven,Bronx,13403.500000000002,12918.3,11541.9,13160.900000000001,-1619.0000000000018,-0.14027153241667334,-0.03755912155624212
40,Port Morris,Bronx,13403.500000000002,12918.3,11541.9,13160.900000000001,-1619.0000000000018,-0.14027153241667334,-0.03755912155624212
73,Brownsville,Brooklyn,9577.800000000001,9111.800000000001,8354.5,9344.800000000001,-990.3000000000011,-0.11853492129989839,-0.0511424745933844
113,Springfield Gardens,Queens,7475.6,7354.0,6642.7,7414.8,-772.1000000000004,-0.11623285712135131,-0.01653521892847435
113,St. Albans,Queens,7475.6,7354.0,6642.7,7414.8,-772.1000000000004,-0.11623285712135131,-0.01653521892847435
60,Brighton Beach,Brooklyn,6472.1,5747.2,5490.1,6109.65,-619.5499999999993,-0.11284858199304187,-0.1261309855233854
60,Coney Island,Brooklyn,6472.1,5747.2,5490.1,6109.65,-619.5499999999993,-0.11284858199304187,-0.1261309855233854
60,Sea Gate,Brooklyn,6472.1,5747.2,5490.1,6109.65,-619.5499999999993,-0.11284858199304187,-0.1261309855233854
110,Corona,Queens,6512.8,6157.3,5705.7,6335.05,-629.3500000000004,-0.11030197872303142,-0.057736345476101535
110,Elmhurst,Queens,6512.8,6157.3,5705.7,6335.05,-629.3500000000004,-0.11030197872303142,-0.057736345476101535
110,Flushing Meadows Corona Park,Queens,6512.8,6157.3,5705.7,6335.05,-629.3500000000004,-0.11030197872303142,-0.057736345476101535
102,Kew Gardens,Queens,5352.7,5255.5,4805.7,5304.1,-498.40000000000055,-0.10371017749755511,-0.01849491009418701
102,Kew Gardens Hills,Queens,5352.7,5255.5,4805.7,5304.1,-498.40000000000055,-0.10371017749755511,-0.01849491009418701
102,Richmond Hill,Queens,5352.7,5255.5,4805.7,5304.1,-498.40000000000055,-0.10371017749755511,-0.01849491009418701
102,Woodhaven,Queens,5352.7,5255.5,4805.7,5304.1,-498.40000000000055,-0.10371017749755511,-0.01849491009418701
9,East Village,Manhattan,5456.6,5457.900000000001,4951.8,5457.25,-505.4499999999998,-0.1020739932953673,2.381868484215874E-4
9,NoHo,Manhattan,5456.6,5457.900000000001,4951.8,5457.25,-505.4499999999998,-0.1020739932953673,2.381868484215874E-4
111,Alley Pond Park,Queens,2505.7999999999997,2610.0,2327.0,2557.8999999999996,-230.89999999999964,-0.09922647185217003,0.039923371647509684
111,Bayside,Queens,2505.7999999999997,2610.0,2327.0,2557.8999999999996,-230.89999999999964,-0.09922647185217003,0.039923371647509684
111,Douglaston,Queens,2505.7999999999997,2610.0,2327.0,2557.8999999999996,-230.89999999999964,-0.09922647185217003,0.039923371647509684
111,Hollis Hills,Queens,2505.7999999999997,2610.0,2327.0,2557.8999999999996,-230.89999999999964,-0.09922647185217003,0.039923371647509684
