Misdemeanor Offenses,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PCT,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,6,16,7,11,7,18,13,14,25,19,34,33,42,43,37,18,7,13
,MISDEMEANOR SEX CRIMES (4),43,47,38,38,32,25,32,26,25,31,27,50,44,42,43,35,53,72
,MISDEMEANOR DANGEROUS DRUGS  (1),453,438,330,219,86,42,50,38,69,68,78,91,72,84,93,98,215,165
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,13,15,19,21,11,16,17,26,30,27,39,29,32,19,32,26,22,22
,PETIT LARCENY                         ,2617,2293,1884,1731,1852,1925,1851,1957,1948,1970,1702,1938,2119,2014,1863,1782,2014,1932
,ASSAULT 3 AND RELATED OFFENSES        ,464,355,346,388,340,326,308,350,306,284,296,249,300,302,309,273,362,356
,INTOXICATED & IMPAIRED DRIVING              ,34,24,30,38,52,48,45,246,171,43,61,117,53,68,153,46,20,8
,VEHICLE AND TRAFFIC LAWS              ,100,55,64,65,43,45,53,64,44,52,36,49,37,56,48,56,68,64
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,504,386,312,413,406,345,304,360,476,376,318,284,365,316,323,381,324,371
,CRIMINAL TRESPASS,45,87,36,73,43,38,32,53,32,61,61,117,92,108,88,75,126,85
,UNAUTHORIZED USE OF A VEHICLE           ,15,7,6,8,3,3,4,3,5,6,4,2,3,5,10,4,5,8
,OFFENSES AGAINST THE PERSON (7)      ,11,3,14,14,6,9,13,10,9,10,8,15,5,7,9,8,19,9
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),63,46,69,70,89,73,71,86,86,74,68,166,154,101,100,81,101,73
,ADMINISTRATIVE CODE (6)            ,5,3,0,3,1,2,3,2,2,3,2,2,2,1,1,1,4,2
,FRAUDS (3)                    ,233,266,327,987,604,313,322,244,312,411,511,345,307,290,207,141,127,97
,AGGRAVATED HARASSMENT 2               ,547,568,476,475,450,445,379,424,404,425,429,343,400,400,230,233,344,303
,OTHER MISDEMEANORS (8),456,398,232,199,264,204,172,254,248,336,451,669,666,647,497,623,553,460
,TOTAL MISDEMEANOR OFFENSES,5609,5007,4190,4753,4289,3877,3669,4157,4192,4196,4125,4499,4693,4503,4043,3881,4364,4040
5,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,8,6,8,16,11,17,14,19,10,41,92,21,17,20,11,9,14,19
,MISDEMEANOR SEX CRIMES (4),37,28,24,29,25,19,27,19,37,40,39,43,32,42,31,61,40,68
,MISDEMEANOR DANGEROUS DRUGS  (1),240,246,232,208,154,153,123,164,147,204,218,198,261,237,326,324,385,420
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,32,20,21,21,15,20,24,34,37,37,33,31,23,24,32,50,34,25
,PETIT LARCENY                         ,909,846,834,793,798,871,808,859,1020,1014,1263,1197,1240,1288,1085,955,911,922
,ASSAULT 3 AND RELATED OFFENSES        ,374,373,290,317,310,299,293,322,292,329,318,317,330,304,300,324,341,420
,INTOXICATED & IMPAIRED DRIVING              ,21,15,12,15,23,36,27,29,24,17,31,26,28,29,24,22,30,34
,VEHICLE AND TRAFFIC LAWS              ,75,64,51,60,59,41,33,38,46,29,37,41,41,47,52,43,42,53
