Non-Seven Major Felony Offenses,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PCT,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1,FELONY POSSESSION STOLEN PROPERTY            ,13,14,8,7,4,6,3,13,17,13,17,15,12,10,31,13,12,11
,FORGERY/THEFT-FRAUD/IDENTITY THEFT                ,119,97,89,141,250,152,136,161,213,211,197,169,183,111,142,138,169,177
,ARSON                                 ,16,7,4,7,6,6,9,5,6,9,5,3,3,3,9,1,1,2
,FELONY SEX CRIMES (3),8,4,5,11,2,9,7,5,4,7,7,13,12,14,7,13,13,23
,FELONY DANGEROUS DRUGS  (1),51,34,38,38,42,39,29,29,30,33,21,29,28,37,33,18,22,20
,FELONY DANGEROUS WEAPONS (2)        ,1,4,2,5,4,4,5,10,22,22,18,23,23,23,21,21,16,15
,FEL. CRIMINAL MISCHIEF & RELATED OFFENSES  ,162,333,247,82,94,81,60,51,41,40,44,78,74,66,61,68,59,62
,OTHER FELONIES (4),61,62,70,94,72,57,63,79,77,73,49,48,48,46,49,70,49,53
,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,431,555,463,385,474,354,312,353,410,408,358,378,383,310,353,342,341,363
5,FELONY POSSESSION STOLEN PROPERTY            ,7,19,10,5,5,6,15,6,5,10,14,5,10,5,8,4,8,9
,FORGERY/THEFT-FRAUD/IDENTITY THEFT                ,78,82,117,189,183,207,236,222,137,159,155,85,99,80,69,72,91,71
,ARSON                                 ,20,19,6,11,7,10,1,4,15,13,6,6,12,13,10,8,7,2
,FELONY SEX CRIMES (3),9,10,1,4,14,7,4,5,6,6,7,8,8,8,14,15,16,18
,FELONY DANGEROUS DRUGS  (1),304,299,280,191,228,229,245,240,270,235,208,193,151,139,148,138,156,173
,FELONY DANGEROUS WEAPONS (2)        ,14,12,9,9,11,18,31,25,33,22,19,18,14,20,17,21,26,18
,FEL. CRIMINAL MISCHIEF & RELATED OFFENSES  ,77,118,87,54,51,66,87,75,97,54,59,55,59,46,54,58,42,60
,OTHER FELONIES (4),93,89,74,68,80,91,122,138,133,83,88,117,114,103,49,173,345,242
,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,602,648,584,531,579,634,741,715,696,582,556,487,467,414,369,489,691,593
6,FELONY POSSESSION STOLEN PROPERTY            ,17,13,17,14,10,9,13,14,10,17,18,15,23,18,39,36,8,22
,FORGERY/THEFT-FRAUD/IDENTITY THEFT                ,78,61,39,90,148,115,109,102,91,70,93,81,105,125,105,132,107,111
,ARSON                                 ,5,8,7,1,4,3,3,3,5,0,2,4,2,2,0,0,1,2
,FELONY SEX CRIMES (3),0,11,11,7,6,8,7,7,8,7,4,8,10,7,4,12,22,10
,FELONY DANGEROUS DRUGS  (1),458,410,558,371,485,314,362,400,356,260,283,174,212,214,160,181,154,184
,FELONY DANGEROUS WEAPONS (2)        ,16,10,9,3,6,20,20,16,14,26,20,16,19,32,44,32,64,31
