NEIGHBORHOOD,BOROUGH,2015,2016,2017,BUILDING_CLASS_CATEGORY,Avg,Diff,Variance,Variance_prediction,Variance_Test
Baychester,BRONX,402226.0,430495.0,479101.8986621655,Condo_Elevator,416360.5,62741.398662165506,0.13095627221967462,0.06566626790090477,0.1014541975264436
Belmont,BRONX,373175.6666666667,492301.0,528120.2861952862,Condo_Elevator,432738.3333333334,95381.95286195283,0.18060649317054045,0.24197662270304815,0.06782410585538667
Bronx Park,BRONX,null,560000.0,null,Condo_Elevator,null,null,0.0,0.0,0.0
Bronxdale,BRONX,408386.6666666667,443134.0,522524.8443917543,Condo_Elevator,425760.3333333334,96764.51105842093,0.18518643103192498,0.0784126998454944,0.15193697533017653
Castle Hill,BRONX,403046.6666666667,435112.6666666667,492032.4363127765,Condo_Elevator,419079.6666666667,72952.76964610984,0.1482682121382238,0.07369585501992587,0.11568296202717604
City Island,BRONX,433723.0,634442.6666666666,490374.0675675676,Condo_Elevator,534082.8333333333,-43708.76576576568,-0.08913351797450657,0.3163716395702685,-0.2937932664623383
Co-op City,BRONX,null,430000.0,330000.0,Condo_Elevator,null,null,0.0,0.0,-0.30303030303030304
Concourse,BRONX,447575.6666666667,396766.0,455764.95614035084,Condo_Elevator,422170.8333333334,33594.12280701747,0.0737093151950724,-0.12805952795014364,0.12945040057485765
Country Club,BRONX,540848.0,497987.3333333333,630216.6456934134,Condo_Elevator,519417.6666666666,110798.97902674682,0.1758109370545698,-0.08606778485664299,0.20981564556199742
Crotona Park,BRONX,367899.3333333333,399167.3333333333,460890.7470238095,Condo_Elevator,383533.3333333333,77357.41369047621,0.1678432778050108,0.07833306332682534,0.1339220066557066
Fieldston,BRONX,1403492.0,1195183.0,1095740.0,Condo_Elevator,1299337.5,-203597.5,-0.18580822092832242,-0.1742904643054662,-0.09075419351305966
Fordham,BRONX,354269.3333333333,468410.0,510947.0833333333,Condo_Elevator,411339.6666666666,99607.41666666669,0.1949466391252193,0.2436768358204707,0.08325144564057103
Highbridge,BRONX,402501.3333333333,459524.3333333333,498688.4957469431,Condo_Elevator,431012.8333333333,67675.6624136098,0.1357072861932461,0.12409136113938109,0.07853432101927502
Hunts Point,BRONX,404419.0,363637.0,457708.61111111107,Condo_Elevator,384028.0,73680.61111111107,0.16097711365370124,-0.11215030373696847,0.20552729144148593
Kingsbridge,BRONX,490303.0,622730.0,592131.0185185185,Condo_Elevator,556516.5,35614.51851851854,0.0601463483666575,0.21265556501212404,-0.0516760320343267
Longwood,BRONX,383384.3333333333,428478.3333333333,592341.9842562916,Condo_Elevator,405931.3333333333,186410.65092295833,0.31470106100448736,0.10524219427664565,0.2766369011116028
Melrose,BRONX,447575.6666666667,396766.0,455764.95614035084,Condo_Elevator,422170.8333333334,33594.12280701747,0.0737093151950724,-0.12805952795014364,0.12945040057485765
Morris Heights,BRONX,402501.3333333333,459524.3333333333,498688.4957469431,Condo_Elevator,431012.8333333333,67675.6624136098,0.1357072861932461,0.12409136113938109,0.07853432101927502
Morris Park,BRONX,438114.0,499950.0,520894.1675657676,Condo_Elevator,469032.0,51862.167565767595,0.0995637325104423,0.12368436843684369,0.04020810535015869
Morrisania,BRONX,383384.3333333333,428478.3333333333,592341.9842562916,Condo_Elevator,405931.3333333333,186410.65092295833,0.31470106100448736,0.10524219427664565,0.2766369011116028
Mott Haven,BRONX,477467.0,512816.0,576242.7593582888,Condo_Elevator,495141.5,81101.25935828884,0.14074148098382047,0.06893115659417803,0.11006951207321315
Mount Eden,BRONX,553644.3333333334,539859.0,633367.7136363637,Condo_Elevator,546751.6666666667,86616.046969697,0.13675475573645357,-0.025535062550283264,0.14763732287441797
Mount Hope,BRONX,553644.3333333334,539859.0,633367.7136363637,Condo_Elevator,546751.6666666667,86616.046969697,0.13675475573645357,-0.025535062550283264,0.14763732287441797
Norwood,BRONX,466605.6666666667,415073.0,500736.2754385965,Condo_Elevator,440839.3333333334,59896.94210526312,0.11961774100108725,-0.12415326139418051,0.17107463477369153
Parkchester,BRONX,408334.6666666667,459591.6666666667,501653.50244877563,Condo_Elevator,433963.1666666667,67690.33578210894,0.13493444270135616,0.11152726151837682,0.08384639113808225
Pelham Bay,BRONX,495281.3333333333,493564.3333333333,549477.5802816902,Condo_Elevator,494422.8333333333,55054.746948356915,0.10019471025575429,-0.003478776491818358,0.1017571033920855
Pelham Gardens,BRONX,530056.3333333334,534368.3333333334,590605.8366013071,Condo_Elevator,532212.3333333334,58393.50326797378,0.09887051506975328,0.008069340436215967,0.09522002625574681
Port Morris,BRONX,477467.0,512816.0,576242.7593582888,Condo_Elevator,495141.5,81101.25935828884,0.14074148098382047,0.06893115659417803,0.11006951207321315
Riverdale,BRONX,856830.6666666666,958086.0,917599.2585034013,Condo_Elevator,907458.3333333333,10140.925170068047,0.011051583876176876,0.10568501505432015,-0.04412246535882376
Schuylerville,BRONX,495281.3333333333,493564.3333333333,549477.5802816902,Condo_Elevator,494422.8333333333,55054.746948356915,0.10019471025575429,-0.003478776491818358,0.1017571033920855
Soundview,BRONX,398942.0,430361.3333333333,452223.52850142,Condo_Elevator,414651.6666666666,37571.86183475336,0.08308250116763968,0.07300686864681147,0.048343780874324914
Throgs Neck,BRONX,459227.6666666667,486891.0,510074.5229818725,Condo_Elevator,473059.3333333334,37015.18964853912,0.07256819931360226,0.05681627578520308,0.04545124670478084
Tremont,BRONX,395461.3333333333,405091.3333333333,508635.51650793647,Condo_Elevator,400276.3333333333,108359.18317460315,0.2130389633790199,0.023772416755398373,0.20357245967700233
Unionport,BRONX,403046.6666666667,435112.6666666667,492032.4363127765,Condo_Elevator,419079.6666666667,72952.76964610984,0.1482682121382238,0.07369585501992587,0.11568296202717604
University Heights,BRONX,421703.6666666667,473080.6666666667,485717.63492063497,Condo_Elevator,447392.1666666667,38325.46825396828,0.07890483173465705,0.10860092922841912,0.026017108182685465
Van Nest,BRONX,438114.0,499950.0,520894.1675657676,Condo_Elevator,469032.0,51862.167565767595,0.0995637325104423,0.12368436843684369,0.04020810535015869
Wakefield,BRONX,404327.3333333333,416933.6666666667,464104.0217372515,Condo_Elevator,410630.5,53473.52173725149,0.11521882860891274,0.0302358248834148,0.10163746242494295
Westchester Square,BRONX,426120.0,663025.6666666666,501293.39877946133,Condo_Elevator,544572.8333333333,-43279.43455387192,-0.08633553655254145,0.3573099482825451,-0.32262995738820344
Williamsbridge,BRONX,383571.6666666667,419401.6666666667,476052.85016988235,Condo_Elevator,401486.6666666667,74566.18350321567,0.15663425495006755,0.08543122941015176,0.11900187864225442
Woodlawn,BRONX,489919.3333333333,495675.0,562719.291005291,Condo_Elevator,492797.1666666666,69922.12433862442,0.12425755693164421,0.011611775188715763,0.1191434025400431
