NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
BATHGATE                 ,01 ONE FAMILY HOMES                        ,13,"$157,000.00 ","$305,038.00 ","$310,000.00 ","$400,000.00 "
BATHGATE                 ,02 TWO FAMILY HOMES                        ,29,"$200,000.00 ","$382,321.00 ","$397,000.00 ","$525,000.00 "
BATHGATE                 ,03 THREE FAMILY HOMES                      ,15,"$315,000.00 ","$442,465.00 ","$432,433.00 ","$530,000.00 "
BAYCHESTER               ,01 ONE FAMILY HOMES                        ,160,"$150,000.00 ","$331,488.00 ","$337,500.00 ","$560,000.00 "
BAYCHESTER               ,02 TWO FAMILY HOMES                        ,203,"$232,500.00 ","$455,588.00 ","$461,100.00 ","$640,000.00 "
BAYCHESTER               ,03 THREE FAMILY HOMES                      ,59,"$262,500.00 ","$529,196.00 ","$530,000.00 ","$720,000.00 "
BEDFORD PARK/NORWOOD     ,01 ONE FAMILY HOMES                        ,43,"$185,000.00 ","$359,026.00 ","$320,000.00 ","$2,218,000.00 "
BEDFORD PARK/NORWOOD     ,02 TWO FAMILY HOMES                        ,64,"$248,600.00 ","$419,146.00 ","$416,000.00 ","$1,000,000.00 "
BEDFORD PARK/NORWOOD     ,03 THREE FAMILY HOMES                      ,17,"$256,250.00 ","$429,485.00 ","$440,000.00 ","$670,000.00 "
BELMONT                  ,01 ONE FAMILY HOMES                        ,7,"$285,000.00 ","$382,857.00 ","$350,000.00 ","$600,000.00 "
BELMONT                  ,02 TWO FAMILY HOMES                        ,30,"$150,000.00 ","$369,166.00 ","$377,000.00 ","$490,000.00 "
BELMONT                  ,03 THREE FAMILY HOMES                      ,15,"$325,000.00 ","$414,355.00 ","$420,000.00 ","$540,750.00 "
BRONXDALE                ,01 ONE FAMILY HOMES                        ,103,"$190,000.00 ","$374,037.00 ","$366,000.00 ","$941,000.00 "
BRONXDALE                ,02 TWO FAMILY HOMES                        ,130,"$167,500.00 ","$442,202.00 ","$442,144.00 ","$650,000.00 "
