NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE,
BATHGATE                 ,01 ONE FAMILY HOMES                        ,6,"$172,000","$404,770","$315,810","$950,000",
BATHGATE                 ,02 TWO FAMILY HOMES                        ,14,"$322,148","$540,213","$520,000","$1,150,000",
BATHGATE                 ,03 THREE FAMILY HOMES                      ,8,"$217,000","$505,828","$560,500","$630,000",
BAYCHESTER               ,01 ONE FAMILY HOMES                        ,103,"$152,843","$384,698","$400,000","$875,000",
BAYCHESTER               ,02 TWO FAMILY HOMES                        ,125,"$178,500","$537,818","$550,000","$945,000",
BAYCHESTER               ,03 THREE FAMILY HOMES                      ,39,"$150,000","$578,281","$580,000","$760,000",
BEDFORD PARK/NORWOOD     ,01 ONE FAMILY HOMES                        ,16,"$265,207","$403,075","$397,500","$600,000",
BEDFORD PARK/NORWOOD     ,02 TWO FAMILY HOMES                        ,37,"$300,000","$521,452","$500,000","$1,175,000",
BEDFORD PARK/NORWOOD     ,03 THREE FAMILY HOMES                      ,20,"$440,000","$619,962","$637,500","$805,000",
BELMONT                  ,01 ONE FAMILY HOMES                        ,4,"$300,500","$351,087","$344,424","$415,000",
BELMONT                  ,02 TWO FAMILY HOMES                        ,18,"$190,000","$455,655","$455,000","$650,000",
BELMONT                  ,03 THREE FAMILY HOMES                      ,8,"$250,000","$477,250","$457,500","$680,000",
BRONX PARK               ,01 ONE FAMILY HOMES                        ,1,"$245,000","$245,000","$245,000","$245,000",
BRONXDALE                ,01 ONE FAMILY HOMES                        ,55,"$175,000","$394,461","$410,000","$607,500",
BRONXDALE                ,02 TWO FAMILY HOMES                        ,79,"$196,284","$504,576","$505,000","$975,000",
BRONXDALE                ,03 THREE FAMILY HOMES                      ,25,"$170,000","$644,417","$655,000","$885,000",
CASTLE HILL/UNIONPORT    ,01 ONE FAMILY HOMES                        ,29,"$289,850","$393,989","$404,920","$455,000",
CASTLE HILL/UNIONPORT    ,02 TWO FAMILY HOMES                        ,54,"$250,000","$510,416","$535,500","$641,497",
CASTLE HILL/UNIONPORT    ,03 THREE FAMILY HOMES                      ,22,"$410,000","$614,759","$600,000","$748,413",
CITY ISLAND              ,01 ONE FAMILY HOMES                        ,22,"$215,000","$518,318","$534,000","$925,000",
CITY ISLAND              ,02 TWO FAMILY HOMES                        ,8,"$450,000","$638,125","$666,250","$742,000",
CITY ISLAND              ,03 THREE FAMILY HOMES                      ,1,"$685,000","$685,000","$685,000","$685,000",
CITY ISLAND-PELHAM STRIP ,01 ONE FAMILY HOMES                        ,3,"$750,000","$1,166,667","$1,250,000","$1,500,000",
COUNTRY CLUB             ,01 ONE FAMILY HOMES                        ,80,"$150,000","$482,539","$486,750","$990,000",
COUNTRY CLUB             ,02 TWO FAMILY HOMES                        ,21,"$470,000","$680,330","$700,000","$975,000",
COUNTRY CLUB             ,03 THREE FAMILY HOMES                      ,11,"$180,000","$642,505","$735,000","$874,000",
CROTONA PARK             ,01 ONE FAMILY HOMES                        ,4,"$375,000","$414,063","$393,125","$495,000",
CROTONA PARK             ,02 TWO FAMILY HOMES                        ,17,"$325,000","$470,588","$465,000","$635,000",
CROTONA PARK             ,03 THREE FAMILY HOMES                      ,5,"$300,000","$430,974","$385,000","$594,870",
EAST TREMONT             ,01 ONE FAMILY HOMES                        ,13,"$210,000","$339,087","$355,000","$410,000",
EAST TREMONT             ,02 TWO FAMILY HOMES                        ,33,"$165,000","$488,651","$474,000","$1,400,000",
EAST TREMONT             ,03 THREE FAMILY HOMES                      ,29,"$424,000","$648,405","$675,406","$900,000",
FIELDSTON                ,01 ONE FAMILY HOMES                        ,9,"$400,000","$1,360,493","$1,545,000","$1,860,000",
FIELDSTON                ,02 TWO FAMILY HOMES                        ,3,"$650,000","$720,833","$740,000","$772,500",
FIELDSTON                ,03 THREE FAMILY HOMES                      ,1,"$1,075,000","$1,075,000","$1,075,000","$1,075,000",
FORDHAM                  ,01 ONE FAMILY HOMES                        ,6,"$234,000","$338,178","$373,785","$400,000",
FORDHAM                  ,02 TWO FAMILY HOMES                        ,19,"$266,000","$420,686","$411,235","$595,000",
FORDHAM                  ,03 THREE FAMILY HOMES                      ,14,"$373,700","$521,194","$512,500","$950,000",
HIGHBRIDGE/MORRIS HEIGHTS,01 ONE FAMILY HOMES                        ,7,"$200,000","$355,508","$339,606","$499,000",
HIGHBRIDGE/MORRIS HEIGHTS,02 TWO FAMILY HOMES                        ,39,"$234,000","$422,011","$470,000","$625,679",
HIGHBRIDGE/MORRIS HEIGHTS,03 THREE FAMILY HOMES                      ,8,"$300,000","$536,801","$581,000","$825,000",
HUNTS POINT              ,01 ONE FAMILY HOMES                        ,1,"$750,000","$750,000","$750,000","$750,000",
HUNTS POINT              ,02 TWO FAMILY HOMES                        ,16,"$150,000","$369,810","$351,181","$535,600",
HUNTS POINT              ,03 THREE FAMILY HOMES                      ,13,"$173,000","$519,000","$550,000","$690,000",
KINGSBRIDGE HTS/UNIV HTS ,01 ONE FAMILY HOMES                        ,18,"$330,000","$461,339","$400,000","$1,200,000",
KINGSBRIDGE HTS/UNIV HTS ,02 TWO FAMILY HOMES                        ,10,"$375,000","$509,190","$505,000","$593,639",
KINGSBRIDGE HTS/UNIV HTS ,03 THREE FAMILY HOMES                      ,7,"$196,000","$603,143","$699,000","$763,687",
KINGSBRIDGE/JEROME PARK  ,01 ONE FAMILY HOMES                        ,16,"$340,000","$512,935","$467,500","$825,000",
KINGSBRIDGE/JEROME PARK  ,02 TWO FAMILY HOMES                        ,14,"$350,000","$580,505","$575,000","$750,000",
