NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE,
BATHGATE                 ,01 ONE FAMILY HOMES                        , 	5 ,"$250,000","$307,553","$283,000","$370,000",
BATHGATE                 ,02 TWO FAMILY HOMES                        , 	16 ,"$153,000","$397,313","$422,348","$550,000",
BATHGATE                 ,03 THREE FAMILY HOMES                      , 	6 ,"$230,000","$503,797","$527,500","$660,000",
BAYCHESTER               ,01 ONE FAMILY HOMES                        , 	78 ,"$185,000","$369,595","$370,000","$752,000",
BAYCHESTER               ,02 TWO FAMILY HOMES                        , 	84 ,"$150,000","$511,616","$548,025","$710,000",
BAYCHESTER               ,03 THREE FAMILY HOMES                      , 	16 ,"$433,992","$599,506","$615,000","$745,000",
BEDFORD PARK/NORWOOD     ,01 ONE FAMILY HOMES                        , 	14 ,"$195,000","$359,131","$348,224","$596,000",
BEDFORD PARK/NORWOOD     ,02 TWO FAMILY HOMES                        , 	27 ,"$220,000","$468,074","$475,000","$650,000",
BEDFORD PARK/NORWOOD     ,03 THREE FAMILY HOMES                      , 	13 ,"$153,000","$587,202","$570,000","$1,550,000",
BELMONT                  ,01 ONE FAMILY HOMES                        , 	2 ,"$305,000","$452,500","$452,500","$600,000",
BELMONT                  ,02 TWO FAMILY HOMES                        , 	6 ,"$344,000","$450,000","$427,500","$625,000",
BELMONT                  ,03 THREE FAMILY HOMES                      , 	7 ,"$340,000","$521,430","$567,500","$677,000",
BRONXDALE                ,01 ONE FAMILY HOMES                        , 	36 ,"$200,000","$363,935","$368,456","$540,000",
BRONXDALE                ,02 TWO FAMILY HOMES                        , 	57 ,"$156,667","$497,661","$510,000","$725,000",
BRONXDALE                ,03 THREE FAMILY HOMES                      , 	21 ,"$372,448","$618,305","$636,000","$812,500",
CASTLE HILL/UNIONPORT    ,01 ONE FAMILY HOMES                        , 	15 ,"$277,000","$385,480","$385,000","$453,000",
CASTLE HILL/UNIONPORT    ,02 TWO FAMILY HOMES                        , 	40 ,"$190,000","$469,689","$465,000","$900,000",
CASTLE HILL/UNIONPORT    ,03 THREE FAMILY HOMES                      , 	28 ,"$200,000","$591,118","$582,500","$740,000",
CITY ISLAND              ,01 ONE FAMILY HOMES                        , 	21 ,"$150,000","$475,174","$470,000","$1,200,000",
CITY ISLAND              ,02 TWO FAMILY HOMES                        , 	3 ,"$256,000","$498,667","$610,000","$630,000",
CO-OP CITY               ,01 ONE FAMILY HOMES                        , 	1 ,"$380,000","$380,000","$380,000","$380,000",
COUNTRY CLUB             ,01 ONE FAMILY HOMES                        , 	41 ,"$170,000","$430,885","$450,000","$995,000",
COUNTRY CLUB             ,02 TWO FAMILY HOMES                        , 	32 ,"$200,000","$511,462","$547,500","$845,000",
COUNTRY CLUB             ,03 THREE FAMILY HOMES                      , 	3 ,"$450,000","$592,517","$602,550","$725,000",
CROTONA PARK             ,01 ONE FAMILY HOMES                        , 	3 ,"$345,000","$397,333","$417,000","$430,000",
CROTONA PARK             ,02 TWO FAMILY HOMES                        , 	8 ,"$262,000","$439,000","$458,800","$525,000",
CROTONA PARK             ,03 THREE FAMILY HOMES                      , 	5 ,"$180,000","$444,014","$529,000","$633,000",
