NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
BATH BEACH               ,01 ONE FAMILY HOMES                        ,22 ,"$350,000","$553,218","$555,000","$762,200"
BATH BEACH               ,02 TWO FAMILY HOMES                        ,70 ,"$207,000","$646,105","$603,000","$1,675,000"
BATH BEACH               ,03 THREE FAMILY HOMES                      ,21 ,"$480,000","$860,875","$815,000","$1,300,000"
BAY RIDGE                ,01 ONE FAMILY HOMES                        ,107 ,"$200,000","$767,324","$700,000","$3,500,000"
BAY RIDGE                ,02 TWO FAMILY HOMES                        ,143 ,"$212,000","$743,075","$740,000","$1,887,500"
BAY RIDGE                ,03 THREE FAMILY HOMES                      ,12 ,"$550,000","$858,958","$875,000","$1,210,000"
BEDFORD STUYVESANT       ,01 ONE FAMILY HOMES                        ,70 ,"$200,000","$503,561","$491,300","$1,187,500"
BEDFORD STUYVESANT       ,02 TWO FAMILY HOMES                        ,540 ,"$150,000","$567,451","$600,000","$1,400,000"
BEDFORD STUYVESANT       ,03 THREE FAMILY HOMES                      ,366 ,"$175,000","$659,073","$699,500","$1,250,000"
BENSONHURST              ,01 ONE FAMILY HOMES                        ,71 ,"$222,000","$552,989","$530,000","$995,000"
BENSONHURST              ,02 TWO FAMILY HOMES                        ,136 ,"$200,500","$670,421","$689,000","$1,340,000"
BENSONHURST              ,03 THREE FAMILY HOMES                      ,61 ,"$182,250","$735,012","$777,000","$1,250,000"
BERGEN BEACH             ,01 ONE FAMILY HOMES                        ,44 ,"$250,000","$591,033","$575,000","$1,300,000"
BERGEN BEACH             ,02 TWO FAMILY HOMES                        ,58 ,"$225,000","$677,457","$697,501","$920,000"
BERGEN BEACH             ,03 THREE FAMILY HOMES                      ,29 ,"$645,000","$738,167","$740,000","$999,900"
BOERUM HILL              ,01 ONE FAMILY HOMES                        ,4 ,"$281,250","$1,585,063","$1,742,000","$2,575,000"
BOERUM HILL              ,02 TWO FAMILY HOMES                        ,21 ,"$366,129","$1,701,669","$1,300,000","$8,300,000"
BOERUM HILL              ,03 THREE FAMILY HOMES                      ,5 ,"$850,000","$1,551,500","$1,775,000","$1,950,000"
BOROUGH PARK             ,01 ONE FAMILY HOMES                        ,53 ,"$330,000","$683,698","$675,000","$1,260,000"
BOROUGH PARK             ,02 TWO FAMILY HOMES                        ,242 ,"$150,000","$748,779","$722,500","$2,095,000"
BOROUGH PARK             ,03 THREE FAMILY HOMES                      ,98 ,"$200,000","$877,421","$832,500","$3,700,000"
BRIGHTON BEACH           ,01 ONE FAMILY HOMES                        ,19 ,"$181,500","$583,851","$524,475","$1,100,000"
BRIGHTON BEACH           ,02 TWO FAMILY HOMES                        ,34 ,"$200,000","$780,244","$635,500","$5,500,000"
BRIGHTON BEACH           ,03 THREE FAMILY HOMES                      ,16 ,"$580,000","$757,938","$725,000","$1,200,000"
BROOKLYN HEIGHTS         ,01 ONE FAMILY HOMES                        ,6 ,"$1,235,000","$2,119,167","$2,100,000","$3,250,000"
BROOKLYN HEIGHTS         ,02 TWO FAMILY HOMES                        ,13 ,"$178,341","$3,453,334","$3,700,000","$5,500,000"
BROOKLYN HEIGHTS         ,03 THREE FAMILY HOMES                      ,3 ,"$2,275,000","$2,945,000","$2,500,000","$4,060,000"
BROWNSVILLE              ,01 ONE FAMILY HOMES                        ,56 ,"$210,719","$362,295","$359,500","$620,000"
BROWNSVILLE              ,02 TWO FAMILY HOMES                        ,92 ,"$232,000","$485,032","$497,500","$1,050,000"
BROWNSVILLE              ,03 THREE FAMILY HOMES                      ,22 ,"$345,000","$666,036","$688,159","$799,000"
BUSH TERMINAL            ,01 ONE FAMILY HOMES                        ,2 ,"$325,000","$412,500","$412,500","$500,000"
BUSH TERMINAL            ,02 TWO FAMILY HOMES                        ,9 ,"$232,500","$525,389","$620,000","$750,000"
BUSH TERMINAL            ,03 THREE FAMILY HOMES                      ,9 ,"$392,075","$578,829","$571,650","$780,000"
BUSHWICK                 ,01 ONE FAMILY HOMES                        ,32 ,"$180,000","$407,570","$421,850","$620,000"
BUSHWICK                 ,02 TWO FAMILY HOMES                        ,387 ,"$150,000","$509,924","$550,000","$720,000"
BUSHWICK                 ,03 THREE FAMILY HOMES                      ,230 ,"$185,000","$622,452","$645,000","$815,000"
CANARSIE                 ,01 ONE FAMILY HOMES                        ,190 ,"$150,000","$413,293","$424,500","$795,000"
CANARSIE                 ,02 TWO FAMILY HOMES                        ,479 ,"$175,000","$555,220","$565,000","$740,000"
CANARSIE                 ,03 THREE FAMILY HOMES                      ,79 ,"$249,000","$645,271","$660,000","$850,000"
CARROLL GARDENS          ,01 ONE FAMILY HOMES                        ,4 ,"$500,000","$1,181,250","$1,175,000","$1,875,000"
CARROLL GARDENS          ,02 TWO FAMILY HOMES                        ,20 ,"$300,000","$1,104,247","$984,500","$2,552,243"
CARROLL GARDENS          ,03 THREE FAMILY HOMES                      ,13 ,"$425,000","$1,367,151","$1,430,000","$2,250,000"
CLINTON HILL             ,01 ONE FAMILY HOMES                        ,2 ,"$919,000","$945,750","$945,750","$972,500"
CLINTON HILL             ,02 TWO FAMILY HOMES                        ,23 ,"$315,000","$1,072,772","$1,151,000","$1,900,000"
CLINTON HILL             ,03 THREE FAMILY HOMES                      ,11 ,"$300,000","$1,210,818","$950,000","$2,400,000"
COBBLE HILL              ,01 ONE FAMILY HOMES                        ,4 ,"$772,500","$1,305,625","$1,350,000","$1,750,000"
COBBLE HILL              ,02 TWO FAMILY HOMES                        ,7 ,"$999,999","$1,560,853","$1,535,000","$2,378,473"
COBBLE HILL              ,03 THREE FAMILY HOMES                      ,4 ,"$2,035,000","$2,371,250","$2,350,000","$2,750,000"
COBBLE HILL-WEST         ,02 TWO FAMILY HOMES                        ,2 ,"$1,200,000","$1,245,000","$1,245,000","$1,290,000"
COBBLE HILL-WEST         ,03 THREE FAMILY HOMES                      ,3 ,"$935,000","$1,094,583","$968,750","$1,380,000"
CONEY ISLAND             ,01 ONE FAMILY HOMES                        ,28 ,"$315,000","$430,250","$359,000","$2,200,000"
CONEY ISLAND             ,02 TWO FAMILY HOMES                        ,5 ,"$295,000","$607,000","$660,000","$950,000"
CONEY ISLAND             ,03 THREE FAMILY HOMES                      ,4 ,"$430,000","$701,250","$637,500","$1,100,000"
CROWN HEIGHTS            ,01 ONE FAMILY HOMES                        ,44 ,"$230,000","$611,423","$600,000","$1,500,000"
CROWN HEIGHTS            ,02 TWO FAMILY HOMES                        ,206 ,"$187,000","$591,996","$597,500","$1,293,000"
CROWN HEIGHTS            ,03 THREE FAMILY HOMES                      ,90 ,"$165,000","$704,034","$714,000","$1,050,000"
CYPRESS HILLS            ,01 ONE FAMILY HOMES                        ,71 ,"$170,000","$415,821","$400,000","$990,000"
CYPRESS HILLS            ,02 TWO FAMILY HOMES                        ,271 ,"$164,666","$529,033","$555,000","$950,000"
CYPRESS HILLS            ,03 THREE FAMILY HOMES                      ,81 ,"$200,000","$571,356","$580,000","$950,000"
DOWNTOWN-FULTON FERRY    ,01 ONE FAMILY HOMES                        ,1 ,"$1,351,000","$1,351,000","$1,351,000","$1,351,000"
DOWNTOWN-FULTON FERRY    ,02 TWO FAMILY HOMES                        ,2 ,"$1,175,000","$1,235,000","$1,235,000","$1,295,000"
DOWNTOWN-FULTON MALL     ,01 ONE FAMILY HOMES                        ,4 ,"$2,138,325","$2,523,580","$2,623,725","$2,708,545"
DOWNTOWN-FULTON MALL     ,02 TWO FAMILY HOMES                        ,1 ,"$1,625,000","$1,625,000","$1,625,000","$1,625,000"
DOWNTOWN-METROTECH       ,03 THREE FAMILY HOMES                      ,1 ,"$850,500","$850,500","$850,500","$850,500"
DYKER HEIGHTS            ,01 ONE FAMILY HOMES                        ,63 ,"$310,000","$662,063","$620,000","$1,900,000"
DYKER HEIGHTS            ,02 TWO FAMILY HOMES                        ,73 ,"$225,000","$718,594","$695,000","$2,000,000"
DYKER HEIGHTS            ,03 THREE FAMILY HOMES                      ,21 ,"$380,000","$754,833","$690,000","$1,635,000"
EAST NEW YORK            ,01 ONE FAMILY HOMES                        ,186 ,"$189,000","$392,348","$370,000","$1,450,000"
EAST NEW YORK            ,02 TWO FAMILY HOMES                        ,686 ,"$150,000","$496,508","$509,563","$1,300,000"
EAST NEW YORK            ,03 THREE FAMILY HOMES                      ,259 ,"$236,250","$590,693","$598,900","$810,000"
FLATBUSH-CENTRAL         ,01 ONE FAMILY HOMES                        ,83 ,"$200,000","$783,866","$792,000","$1,525,000"
FLATBUSH-CENTRAL         ,02 TWO FAMILY HOMES                        ,103 ,"$190,000","$596,613","$560,000","$1,600,000"
FLATBUSH-CENTRAL         ,03 THREE FAMILY HOMES                      ,53 ,"$255,377","$684,262","$716,850","$900,000"
FLATBUSH-EAST            ,01 ONE FAMILY HOMES                        ,310 ,"$150,000","$429,230","$425,000","$850,000"
FLATBUSH-EAST            ,02 TWO FAMILY HOMES                        ,280 ,"$150,000","$505,764","$520,000","$990,000"
FLATBUSH-EAST            ,03 THREE FAMILY HOMES                      ,68 ,"$239,543","$626,323","$650,000","$820,000"
FLATBUSH-LEFFERTS GARDEN ,01 ONE FAMILY HOMES                        ,30 ,"$195,000","$810,367","$849,500","$1,425,000"
FLATBUSH-LEFFERTS GARDEN ,02 TWO FAMILY HOMES                        ,27 ,"$215,000","$544,362","$570,000","$879,000"
FLATBUSH-LEFFERTS GARDEN ,03 THREE FAMILY HOMES                      ,11 ,"$495,000","$685,664","$695,500","$820,000"
