NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
BATH BEACH               ,01 ONE FAMILY HOMES                        , 	17 ,"$400,000","$580,235","$530,000","$1,135,000"
BATH BEACH               ,02 TWO FAMILY HOMES                        , 	61 ,"$200,000","$616,902","$630,000","$1,080,000"
BATH BEACH               ,03 THREE FAMILY HOMES                      , 	31 ,"$288,000","$829,985","$770,000","$1,440,000"
BAY RIDGE                ,01 ONE FAMILY HOMES                        , 	100 ,"$200,000","$766,359","$707,500","$2,350,000"
BAY RIDGE                ,02 TWO FAMILY HOMES                        , 	110 ,"$170,000","$762,034","$762,500","$2,065,000"
BAY RIDGE                ,03 THREE FAMILY HOMES                      , 	14 ,"$208,830","$733,345","$791,000","$999,000"
BEDFORD STUYVESANT       ,01 ONE FAMILY HOMES                        , 	33 ,"$152,100","$439,342","$402,500","$725,000"
BEDFORD STUYVESANT       ,02 TWO FAMILY HOMES                        , 	268 ,"$169,000","$516,732","$509,750","$968,200"
BEDFORD STUYVESANT       ,03 THREE FAMILY HOMES                      , 	147 ,"$220,000","$619,159","$634,438","$1,207,000"
BENSONHURST              ,01 ONE FAMILY HOMES                        , 	34 ,"$350,000","$604,909","$575,000","$1,210,000"
BENSONHURST              ,02 TWO FAMILY HOMES                        , 	144 ,"$150,000","$713,260","$705,000","$2,900,000"
BENSONHURST              ,03 THREE FAMILY HOMES                      , 	53 ,"$330,000","$893,279","$900,000","$1,500,000"
BERGEN BEACH             ,01 ONE FAMILY HOMES                        , 	36 ,"$325,000","$633,813","$594,750","$1,250,000"
BERGEN BEACH             ,02 TWO FAMILY HOMES                        , 	29 ,"$475,000","$722,697","$728,000","$916,425"
BERGEN BEACH             ,03 THREE FAMILY HOMES                      , 	9 ,"$610,000","$785,556","$710,000","$1,400,000"
BOERUM HILL              ,01 ONE FAMILY HOMES                        , 	5 ,"$908,731","$2,084,746","$2,440,000","$3,175,000"
BOERUM HILL              ,02 TWO FAMILY HOMES                        , 	16 ,"$177,450","$1,510,443","$1,522,500","$2,400,000"
BOERUM HILL              ,03 THREE FAMILY HOMES                      , 	5 ,"$590,000","$1,020,600","$1,163,000","$1,200,000"
BOROUGH PARK             ,01 ONE FAMILY HOMES                        , 	42 ,"$450,000","$780,927","$687,500","$4,000,000"
BOROUGH PARK             ,02 TWO FAMILY HOMES                        , 	163 ,"$150,000","$799,383","$750,000","$3,800,000"
BOROUGH PARK             ,03 THREE FAMILY HOMES                      , 	73 ,"$150,000","$873,327","$805,000","$3,100,000"
BRIGHTON BEACH           ,01 ONE FAMILY HOMES                        , 	7 ,"$386,000","$616,571","$485,000","$950,000"
BRIGHTON BEACH           ,02 TWO FAMILY HOMES                        , 	13 ,"$349,000","$610,538","$650,000","$755,000"
BRIGHTON BEACH           ,03 THREE FAMILY HOMES                      , 	8 ,"$295,313","$523,164","$537,500","$710,000"
BROOKLYN HEIGHTS         ,01 ONE FAMILY HOMES                        , 	5 ,"$2,775,000","$3,567,800","$3,700,000","$4,189,000"
BROOKLYN HEIGHTS         ,02 TWO FAMILY HOMES                        , 	10 ,"$984,000","$4,039,650","$3,321,250","$10,800,000"
BROWNSVILLE              ,01 ONE FAMILY HOMES                        , 	16 ,"$190,000","$340,159","$340,205","$640,000"
BROWNSVILLE              ,02 TWO FAMILY HOMES                        , 	51 ,"$235,900","$507,232","$507,000","$1,120,970"
BROWNSVILLE              ,03 THREE FAMILY HOMES                      , 	36 ,"$390,000","$729,442","$780,000","$800,000"
BUSH TERMINAL            ,02 TWO FAMILY HOMES                        , 	5 ,"$258,000","$572,400","$659,000","$750,000"
BUSH TERMINAL            ,03 THREE FAMILY HOMES                      , 	5 ,"$470,000","$591,500","$600,000","$695,000"
BUSHWICK                 ,01 ONE FAMILY HOMES                        , 	13 ,"$234,741","$401,381","$392,200","$618,000"
BUSHWICK                 ,02 TWO FAMILY HOMES                        , 	141 ,"$150,000","$475,706","$475,000","$1,600,000"
BUSHWICK                 ,03 THREE FAMILY HOMES                      , 	46 ,"$225,000","$565,643","$617,920","$773,945"
CANARSIE                 ,01 ONE FAMILY HOMES                        , 	61 ,"$151,283","$380,442","$375,000","$650,000"
CANARSIE                 ,02 TWO FAMILY HOMES                        , 	184 ,"$150,000","$499,163","$522,350","$795,000"
CANARSIE                 ,03 THREE FAMILY HOMES                      , 	26 ,"$165,000","$584,234","$631,550","$778,961"
CARROLL GARDENS          ,01 ONE FAMILY HOMES                        , 	3 ,"$1,250,000","$1,833,333","$1,700,000","$2,550,000"
CARROLL GARDENS          ,02 TWO FAMILY HOMES                        , 	12 ,"$600,000","$1,525,833","$1,547,500","$2,250,000"
CARROLL GARDENS          ,03 THREE FAMILY HOMES                      , 	7 ,"$1,300,000","$1,549,857","$1,550,000","$2,094,000"
CLINTON HILL             ,01 ONE FAMILY HOMES                        , 	2 ,"$368,500","$850,917","$850,917","$1,333,333"
CLINTON HILL             ,02 TWO FAMILY HOMES                        , 	23 ,"$477,000","$1,024,752","$905,000","$1,895,000"
CLINTON HILL             ,03 THREE FAMILY HOMES                      , 	6 ,"$500,000","$908,790","$710,250","$1,930,000"
COBBLE HILL              ,01 ONE FAMILY HOMES                        , 	3 ,"$925,000","$2,758,333","$1,950,000","$5,400,000"
