NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
BATH BEACH               ,01 ONE FAMILY HOMES     ,22," $	340,000.00 "," $	723,064.00 "," $	642,500.00 "," $	2,400,000.00 "
BATH BEACH               ,02 TWO FAMILY HOMES     ,72," $	250,000.00 "," $	787,927.00 "," $	750,000.00 "," $	1,400,000.00 "
BATH BEACH               ,03 THREE FAMILY HOMES   ,20," $	625,000.00 "," $	1,075,145.00 "," $	1,075,000.00 "," $	1,550,000.00 "
BAY RIDGE                ,01 ONE FAMILY HOMES     ,107," $	208,750.00 "," $	881,817.00 "," $	800,000.00 "," $	3,580,000.00 "
BAY RIDGE                ,02 TWO FAMILY HOMES     ,132," $	200,000.00 "," $	912,115.00 "," $	904,000.00 "," $	2,900,000.00 "
BAY RIDGE                ,03 THREE FAMILY HOMES   ,18," $	750,000.00 "," $	997,889.00 "," $	937,500.00 "," $	1,579,000.00 "
BEDFORD STUYVESANT       ,01 ONE FAMILY HOMES     ,50," $	200,000.00 "," $	682,522.00 "," $	595,500.00 "," $	1,800,000.00 "
BEDFORD STUYVESANT       ,02 TWO FAMILY HOMES     ,367," $	200,000.00 "," $	819,270.00 "," $	730,000.00 "," $	11,000,000.00 "
BEDFORD STUYVESANT       ,03 THREE FAMILY HOMES   ,212," $	215,000.00 "," $	876,114.00 "," $	850,000.00 "," $	2,100,000.00 "
BENSONHURST              ,01 ONE FAMILY HOMES     ,43," $	230,000.00 "," $	725,132.00 "," $	710,000.00 "," $	1,450,000.00 "
BENSONHURST              ,02 TWO FAMILY HOMES     ,123," $	315,000.00 "," $	881,837.00 "," $	850,000.00 "," $	1,767,000.00 "
BENSONHURST              ,03 THREE FAMILY HOMES   ,36," $	580,000.00 "," $	996,136.00 "," $	985,000.00 "," $	1,599,888.00 "
BERGEN BEACH             ,01 ONE FAMILY HOMES     ,27," $	400,000.00 "," $	616,074.00 "," $	550,000.00 "," $	1,250,000.00 "
BERGEN BEACH             ,02 TWO FAMILY HOMES     ,22," $	350,000.00 "," $	639,639.00 "," $	659,000.00 "," $	940,000.00 "
BERGEN BEACH             ,03 THREE FAMILY HOMES   ,16," $	450,000.00 "," $	676,813.00 "," $	622,500.00 "," $	1,494,000.00 "
BOERUM HILL              ,01 ONE FAMILY HOMES     ,4," $	2,100,100.00 "," $	3,890,025.00 "," $	2,330,000.00 "," $	8,800,000.00 "
BOERUM HILL              ,02 TWO FAMILY HOMES     ,18," $	260,000.00 "," $	2,192,702.00 "," $	1,853,003.00 "," $	5,400,000.00 "
BOERUM HILL              ,03 THREE FAMILY HOMES   ,6," $	675,000.00 "," $	2,050,000.00 "," $	2,012,500.00 "," $	4,100,000.00 "
BOROUGH PARK             ,01 ONE FAMILY HOMES     ,57," $	300,000.00 "," $	868,836.00 "," $	749,000.00 "," $	2,802,500.00 "
BOROUGH PARK             ,02 TWO FAMILY HOMES     ,174," $	210,000.00 "," $	945,464.00 "," $	910,000.00 "," $	3,205,000.00 "
BOROUGH PARK             ,03 THREE FAMILY HOMES   ,58," $	252,000.00 "," $	1,035,757.00 "," $	991,500.00 "," $	2,000,000.00 "
BRIGHTON BEACH           ,01 ONE FAMILY HOMES     ,12," $	265,000.00 "," $	400,135.00 "," $	380,000.00 "," $	560,000.00 "
BRIGHTON BEACH           ,02 TWO FAMILY HOMES     ,10," $	380,000.00 "," $	546,189.00 "," $	512,500.00 "," $	750,000.00 "
BRIGHTON BEACH           ,03 THREE FAMILY HOMES   ,9," $	280,000.00 "," $	510,471.00 "," $	510,638.00 "," $	678,000.00 "
BROOKLYN HEIGHTS         ,01 ONE FAMILY HOMES     ,13," $	990,000.00 "," $	4,508,518.00 "," $	3,762,500.00 "," $	7,500,000.00 "
