NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
ALPHABET CITY            ,03 THREE FAMILY HOMES                      , 	2 ,"$3,200,000","$3,275,000","$3,275,000","$3,350,000"
CHELSEA                  ,01 ONE FAMILY HOMES                        , 	1 ,"$3,800,000","$3,800,000","$3,800,000","$3,800,000"
CHELSEA                  ,02 TWO FAMILY HOMES                        , 	1 ,"$4,388,888","$4,388,888","$4,388,888","$4,388,888"
CHELSEA                  ,03 THREE FAMILY HOMES                      , 	2 ,"$4,280,000","$4,640,000","$4,640,000","$5,000,000"
CHINATOWN                ,02 TWO FAMILY HOMES                        , 	1 ,"$9,425,000","$9,425,000","$9,425,000","$9,425,000"
EAST VILLAGE             ,01 ONE FAMILY HOMES                        , 	1 ,"$5,300,000","$5,300,000","$5,300,000","$5,300,000"
EAST VILLAGE             ,02 TWO FAMILY HOMES                        , 	1 ,"$3,300,000","$3,300,000","$3,300,000","$3,300,000"
FASHION                  ,02 TWO FAMILY HOMES                        , 	1 ,"$4,125,000","$4,125,000","$4,125,000","$4,125,000"
GRAMERCY                 ,02 TWO FAMILY HOMES                        , 	3 ,"$3,450,000","$7,630,000","$6,240,000","$13,200,000"
GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY HOMES                        , 	1 ,"$5,529,097","$5,529,097","$5,529,097","$5,529,097"
GREENWICH VILLAGE-CENTRAL,02 TWO FAMILY HOMES                        , 	2 ,"$4,575,000","$5,687,500","$5,687,500","$6,800,000"
GREENWICH VILLAGE-CENTRAL,03 THREE FAMILY HOMES                      , 	4 ,"$3,054,750","$6,888,688","$5,500,000","$13,500,000"
GREENWICH VILLAGE-WEST   ,01 ONE FAMILY HOMES                        , 	3 ,"$3,525,000","$10,583,333","$13,825,000","$14,400,000"
GREENWICH VILLAGE-WEST   ,02 TWO FAMILY HOMES                        , 	9 ,"$4,600,000","$8,665,000","$6,500,000","$17,000,000"
GREENWICH VILLAGE-WEST   ,03 THREE FAMILY HOMES                      , 	5 ,"$3,975,000","$6,140,000","$4,525,000","$9,500,000"
HARLEM-CENTRAL           ,01 ONE FAMILY HOMES                        , 	4 ,"$850,000","$1,459,250","$1,368,500","$2,250,000"
HARLEM-CENTRAL           ,02 TWO FAMILY HOMES                        , 	12 ,"$271,500","$1,149,048","$955,500","$2,200,000"
HARLEM-CENTRAL           ,03 THREE FAMILY HOMES                      , 	8 ,"$175,000","$858,420","$746,180","$1,750,000"
HARLEM-EAST              ,02 TWO FAMILY HOMES                        , 	1 ,"$1,250,000","$1,250,000","$1,250,000","$1,250,000"
