NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
CHELSEA                  ,02 TWO FAMILY HOMES                        , 	2 ,"$995,000","$2,872,500","$2,872,500","$4,750,000"
CHELSEA                  ,03 THREE FAMILY HOMES                      , 	1 ,"$3,800,000","$3,800,000","$3,800,000","$3,800,000"
EAST VILLAGE             ,01 ONE FAMILY HOMES                        , 	1 ,"$7,926,432","$7,926,432","$7,926,432","$7,926,432"
EAST VILLAGE             ,02 TWO FAMILY HOMES                        , 	2 ,"$3,085,000","$3,892,500","$3,892,500","$4,700,000"
EAST VILLAGE             ,03 THREE FAMILY HOMES                      , 	1 ,"$2,400,000","$2,400,000","$2,400,000","$2,400,000"
GRAMERCY                 ,03 THREE FAMILY HOMES                      , 	1 ,"$3,450,000","$3,450,000","$3,450,000","$3,450,000"
GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY HOMES                        , 	3 ,"$2,100,000","$9,798,000","$12,219,000","$15,075,000"
GREENWICH VILLAGE-CENTRAL,02 TWO FAMILY HOMES                        , 	4 ,"$2,350,000","$6,662,500","$4,450,000","$15,400,000"
GREENWICH VILLAGE-WEST   ,01 ONE FAMILY HOMES                        , 	4 ,"$1,764,000","$6,034,750","$4,712,500","$12,950,000"
GREENWICH VILLAGE-WEST   ,02 TWO FAMILY HOMES                        , 	10 ,"$3,325,000","$5,371,486","$5,337,430","$8,250,000"
GREENWICH VILLAGE-WEST   ,03 THREE FAMILY HOMES                      , 	3 ,"$449,249","$4,466,416","$5,700,000","$7,250,000"
HARLEM-CENTRAL           ,01 ONE FAMILY HOMES                        , 	7 ,"$408,771","$954,566","$955,950","$1,499,000"
HARLEM-CENTRAL           ,02 TWO FAMILY HOMES                        , 	11 ,"$320,000","$1,129,825","$1,098,300","$1,850,000"
HARLEM-CENTRAL           ,03 THREE FAMILY HOMES                      , 	13 ,"$487,424","$1,110,204","$938,948","$2,575,000"
HARLEM-EAST              ,02 TWO FAMILY HOMES                        , 	2 ,"$788,376","$799,622","$799,622","$810,867"
HARLEM-UPPER             ,01 ONE FAMILY HOMES                        , 	1 ,"$850,000","$850,000","$850,000","$850,000"
HARLEM-UPPER             ,02 TWO FAMILY HOMES                        , 	1 ,"$1,200,000","$1,200,000","$1,200,000","$1,200,000"
HARLEM-UPPER             ,03 THREE FAMILY HOMES                      , 	4 ,"$739,000","$1,113,500","$1,007,500","$1,700,000"
HARLEM-WEST              ,02 TWO FAMILY HOMES                        , 	2 ,"$766,036","$767,385","$767,385","$768,734"
INWOOD                   ,02 TWO FAMILY HOMES                        , 	2 ,"$563,831","$594,666","$594,666","$625,500"
LITTLE ITALY             ,01 ONE FAMILY HOMES                        , 	1 ,"$3,335,000","$3,335,000","$3,335,000","$3,335,000"
LITTLE ITALY             ,03 THREE FAMILY HOMES                      , 	1 ,"$19,500,000","$19,500,000","$19,500,000","$19,500,000"
MANHATTAN VALLEY         ,01 ONE FAMILY HOMES                        , 	1 ,"$3,050,000","$3,050,000","$3,050,000","$3,050,000"
MANHATTAN VALLEY         ,03 THREE FAMILY HOMES                      , 	1 ,"$990,000","$990,000","$990,000","$990,000"
MIDTOWN EAST             ,01 ONE FAMILY HOMES                        , 	2 ,"$3,500,000","$7,050,000","$7,050,000","$10,600,000"
MIDTOWN EAST             ,02 TWO FAMILY HOMES                        , 	2 ,"$1,157,446","$2,328,723","$2,328,723","$3,500,000"
MURRAY HILL              ,02 TWO FAMILY HOMES                        , 	1 ,"$7,282,040","$7,282,040","$7,282,040","$7,282,040"
SOHO                     ,01 ONE FAMILY HOMES                        , 	1 ,"$5,500,000","$5,500,000","$5,500,000","$5,500,000"
UPPER EAST SIDE (59-79)  ,01 ONE FAMILY HOMES                        , 	16 ,"$2,050,000","$8,963,125","$7,600,000","$24,925,000"
UPPER EAST SIDE (59-79)  ,02 TWO FAMILY HOMES                        , 	4 ,"$2,750,000","$6,325,000","$5,525,000","$11,500,000"
UPPER EAST SIDE (59-79)  ,03 THREE FAMILY HOMES                      , 	2 ,"$5,700,000","$7,725,000","$7,725,000","$9,750,000"
UPPER EAST SIDE (79-96)  ,01 ONE FAMILY HOMES                        , 	12 ,"$1,750,000","$8,402,707","$5,957,500","$25,000,000"
UPPER EAST SIDE (79-96)  ,02 TWO FAMILY HOMES                        , 	1 ,"$14,300,000","$14,300,000","$14,300,000","$14,300,000"
UPPER EAST SIDE (79-96)  ,03 THREE FAMILY HOMES                      , 	2 ,"$2,750,000","$2,750,000","$2,750,000","$2,750,000"
UPPER WEST SIDE (59-79)  ,01 ONE FAMILY HOMES                        , 	2 ,"$4,550,000","$9,775,000","$9,775,000","$15,000,000"
UPPER WEST SIDE (59-79)  ,03 THREE FAMILY HOMES                      , 	2 ,"$4,000,000","$4,650,000","$4,650,000","$5,300,000"
UPPER WEST SIDE (79-96)  ,01 ONE FAMILY HOMES                        , 	3 ,"$4,000,000","$5,078,667","$5,020,000","$6,216,000"
UPPER WEST SIDE (79-96)  ,02 TWO FAMILY HOMES                        , 	2 ,"$4,700,000","$5,925,000","$5,925,000","$7,150,000"
WASHINGTON HEIGHTS LOWER ,01 ONE FAMILY HOMES                        , 	1 ,"$703,951","$703,951","$703,951","$703,951"
WASHINGTON HEIGHTS LOWER ,02 TWO FAMILY HOMES                        , 	1 ,"$390,000","$390,000","$390,000","$390,000"
WASHINGTON HEIGHTS LOWER ,03 THREE FAMILY HOMES                      , 	2 ,"$530,000","$804,662","$804,662","$1,079,323"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
