NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE,,
AIRPORT LA GUARDIA       ,01 ONE FAMILY HOMES                        ,1 ,"$580,000","$580,000","$580,000","$580,000",,
ARVERNE                  ,01 ONE FAMILY HOMES                        ,101 ,"$165,000","$333,479","$335,629","$485,000",,
ARVERNE                  ,02 TWO FAMILY HOMES                        ,130 ,"$270,000","$498,358","$495,666","$749,330",,
ARVERNE                  ,03 THREE FAMILY HOMES                      ,8 ,"$405,000","$528,130","$512,387","$680,000",,
ASTORIA                  ,01 ONE FAMILY HOMES                        ,70 ,"$158,000","$623,038","$601,500","$1,900,000",,
ASTORIA                  ,02 TWO FAMILY HOMES                        ,148 ,"$250,000","$748,302","$755,000","$2,025,000",,
ASTORIA                  ,03 THREE FAMILY HOMES                      ,57 ,"$150,000","$902,231","$898,000","$2,885,000",,
BAYSIDE                  ,01 ONE FAMILY HOMES                        ,342 ,"$150,000","$683,919","$644,000","$2,000,000",,
BAYSIDE                  ,02 TWO FAMILY HOMES                        ,133 ,"$170,000","$814,165","$835,000","$1,500,000",,
BAYSIDE                  ,03 THREE FAMILY HOMES                      ,18 ,"$530,000","$841,735","$903,000","$997,885",,
BEECHHURST               ,01 ONE FAMILY HOMES                        ,51 ,"$250,500","$880,221","$784,000","$3,000,000",,
BEECHHURST               ,02 TWO FAMILY HOMES                        ,4 ,"$615,000","$853,750","$850,000","$1,100,000",,
BEECHHURST               ,03 THREE FAMILY HOMES                      ,1 ,"$990,000","$990,000","$990,000","$990,000",,
BELLE HARBOR             ,01 ONE FAMILY HOMES                        ,27 ,"$499,900","$914,532","$850,000","$2,600,000",,
BELLE HARBOR             ,02 TWO FAMILY HOMES                        ,18 ,"$233,000","$642,972","$670,000","$875,000",,
BELLE HARBOR             ,03 THREE FAMILY HOMES                      ,3 ,"$700,000","$795,000","$825,000","$860,000",,
BELLEROSE                ,01 ONE FAMILY HOMES                        ,125 ,"$270,000","$530,727","$520,000","$895,000",,
BELLEROSE                ,02 TWO FAMILY HOMES                        ,19 ,"$177,000","$532,171","$514,500","$860,000",,
BRIARWOOD                ,01 ONE FAMILY HOMES                        ,22 ,"$294,000","$656,039","$552,500","$2,300,000",,
BRIARWOOD                ,02 TWO FAMILY HOMES                        ,15 ,"$378,000","$778,500","$733,126","$1,650,000",,
BRIARWOOD                ,03 THREE FAMILY HOMES                      ,10 ,"$300,000","$765,100","$782,000","$1,450,000",,
BROAD CHANNEL            ,01 ONE FAMILY HOMES                        ,27 ,"$200,000","$342,737","$330,000","$535,000",,
BROAD CHANNEL            ,02 TWO FAMILY HOMES                        ,1 ,"$339,688","$339,688","$339,688","$339,688",,
BROAD CHANNEL            ,03 THREE FAMILY HOMES                      ,1 ,"$350,000","$350,000","$350,000","$350,000",,
CAMBRIA HEIGHTS          ,01 ONE FAMILY HOMES                        ,113 ,"$155,000","$420,901","$440,000","$580,000",,
CAMBRIA HEIGHTS          ,02 TWO FAMILY HOMES                        ,13 ,"$350,000","$528,175","$490,000","$800,000",,
CAMBRIA HEIGHTS          ,03 THREE FAMILY HOMES                      ,1 ,"$572,400","$572,400","$572,400","$572,400",,
COLLEGE POINT            ,01 ONE FAMILY HOMES                        ,100 ,"$200,000","$519,023","$485,000","$1,450,000",,
COLLEGE POINT            ,02 TWO FAMILY HOMES                        ,92 ,"$185,000","$695,845","$695,000","$2,325,000",,
COLLEGE POINT            ,03 THREE FAMILY HOMES                      ,11 ,"$536,082","$715,430","$702,000","$922,000",,
CORONA                   ,01 ONE FAMILY HOMES                        ,48 ,"$174,500","$556,167","$547,250","$1,325,000",,
CORONA                   ,02 TWO FAMILY HOMES                        ,176 ,"$198,750","$747,904","$765,000","$1,900,000",,
CORONA                   ,03 THREE FAMILY HOMES                      ,139 ,"$150,980","$812,424","$860,000","$1,150,000",,
DOUGLASTON               ,01 ONE FAMILY HOMES                        ,66 ,"$252,722","$937,495","$835,500","$5,300,000",,
DOUGLASTON               ,02 TWO FAMILY HOMES                        ,10 ,"$580,000","$939,268","$865,512","$1,706,000",,
EAST ELMHURST            ,01 ONE FAMILY HOMES                        ,54 ,"$296,000","$539,941","$513,953","$1,050,000",,
EAST ELMHURST            ,02 TWO FAMILY HOMES                        ,77 ,"$200,000","$692,115","$676,000","$1,300,000",,
EAST ELMHURST            ,03 THREE FAMILY HOMES                      ,11 ,"$625,000","$845,427","$820,000","$1,100,000",,
ELMHURST                 ,01 ONE FAMILY HOMES                        ,97 ,"$200,000","$583,354","$570,000","$999,000",,
ELMHURST                 ,02 TWO FAMILY HOMES                        ,129 ,"$150,000","$673,925","$660,000","$1,400,000",,
