NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE,,
AIRPORT LA GUARDIA       ,01 ONE FAMILY HOMES                        , 	1 ,"$425,000","$425,000","$425,000","$425,000",,
AIRPORT LA GUARDIA       ,02 TWO FAMILY HOMES                        , 	1 ,"$575,000","$575,000","$575,000","$575,000",,
ARVERNE                  ,01 ONE FAMILY HOMES                        , 	35 ,"$150,000","$295,315","$273,667","$705,000",,
ARVERNE                  ,02 TWO FAMILY HOMES                        , 	156 ,"$210,000","$513,853","$542,337","$967,337",,
ARVERNE                  ,03 THREE FAMILY HOMES                      , 	8 ,"$286,500","$422,919","$444,500","$525,000",,
ASTORIA                  ,01 ONE FAMILY HOMES                        , 	48 ,"$262,896","$641,873","$582,500","$999,900",,
ASTORIA                  ,02 TWO FAMILY HOMES                        , 	139 ,"$232,500","$761,839","$735,000","$3,100,000",,
ASTORIA                  ,03 THREE FAMILY HOMES                      , 	57 ,"$162,000","$751,511","$770,000","$2,133,334",,
BAYSIDE                  ,01 ONE FAMILY HOMES                        , 	259 ,"$165,898","$637,605","$625,000","$1,451,000",,
BAYSIDE                  ,02 TWO FAMILY HOMES                        , 	94 ,"$151,112","$779,426","$800,000","$1,425,550",,
BAYSIDE                  ,03 THREE FAMILY HOMES                      , 	9 ,"$640,000","$915,117","$825,000","$1,262,056",,
BEECHHURST               ,01 ONE FAMILY HOMES                        , 	35 ,"$304,200","$960,628","$892,540","$3,309,312",,
BEECHHURST               ,02 TWO FAMILY HOMES                        , 	3 ,"$400,000","$519,000","$557,000","$600,000",,
BELLE HARBOR             ,01 ONE FAMILY HOMES                        , 	14 ,"$566,000","$777,821","$748,000","$995,000",,
BELLE HARBOR             ,02 TWO FAMILY HOMES                        , 	15 ,"$539,300","$714,087","$700,000","$1,177,000",,
BELLEROSE                ,01 ONE FAMILY HOMES                        , 	103 ,"$275,000","$493,426","$473,000","$880,000",,
BELLEROSE                ,02 TWO FAMILY HOMES                        , 	24 ,"$422,000","$533,426","$503,000","$810,000",,
BRIARWOOD                ,01 ONE FAMILY HOMES                        , 	25 ,"$225,000","$525,630","$460,000","$1,225,000",,
BRIARWOOD                ,02 TWO FAMILY HOMES                        , 	13 ,"$160,000","$591,325","$535,000","$1,225,000",,
BRIARWOOD                ,03 THREE FAMILY HOMES                      , 	4 ,"$585,000","$685,000","$670,000","$815,000",,
BROAD CHANNEL            ,01 ONE FAMILY HOMES                        , 	26 ,"$156,491","$328,450","$340,000","$490,000",,
BROAD CHANNEL            ,02 TWO FAMILY HOMES                        , 	1 ,"$425,000","$425,000","$425,000","$425,000",,
CAMBRIA HEIGHTS          ,01 ONE FAMILY HOMES                        , 	82 ,"$150,000","$388,965","$404,237","$570,000",,
CAMBRIA HEIGHTS          ,02 TWO FAMILY HOMES                        , 	10 ,"$230,000","$410,404","$382,500","$649,000",,
COLLEGE POINT            ,01 ONE FAMILY HOMES                        , 	57 ,"$200,000","$507,241","$475,000","$1,275,000",,
COLLEGE POINT            ,02 TWO FAMILY HOMES                        , 	110 ,"$250,000","$679,672","$646,000","$1,320,000",,
COLLEGE POINT            ,03 THREE FAMILY HOMES                      , 	14 ,"$310,000","$629,471","$660,000","$880,000",,
CORONA                   ,01 ONE FAMILY HOMES                        , 	30 ,"$265,000","$485,608","$460,000","$820,000",,
CORONA                   ,02 TWO FAMILY HOMES                        , 	106 ,"$150,071","$618,407","$631,315","$1,390,000",,
CORONA                   ,03 THREE FAMILY HOMES                      , 	69 ,"$160,000","$748,755","$780,000","$999,000",,
