NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
ARVERNE                  ,01 ONE FAMILY HOMES     ,12 ,"$160,000","$256,488","$247,500","$434,500"
ARVERNE                  ,02 TWO FAMILY HOMES     ,77 ,"$168,000","$496,865","$581,420","$896,060"
ARVERNE                  ,03 THREE FAMILY HOMES   ,8 ,"$200,000","$358,188","$385,000","$468,000"
ASTORIA                  ,01 ONE FAMILY HOMES     ,36 ,"$250,000","$555,005","$553,500","$822,000"
ASTORIA                  ,02 TWO FAMILY HOMES     ,109 ,"$310,000","$670,933","$682,000","$1,400,000"
ASTORIA                  ,03 THREE FAMILY HOMES   ,39 ,"$215,000","$731,063","$780,000","$1,250,000"
BAYSIDE                  ,01 ONE FAMILY HOMES     ,225 ,"$205,000","$662,144","$638,000","$1,650,000"
BAYSIDE                  ,02 TWO FAMILY HOMES     ,74 ,"$220,000","$777,350","$765,000","$2,500,000"
BAYSIDE                  ,03 THREE FAMILY HOMES   ,10 ,"$600,000","$843,100","$842,500","$1,120,000"
BEECHHURST               ,01 ONE FAMILY HOMES     ,18 ,"$153,486","$792,053","$805,000","$1,230,000"
BEECHHURST               ,02 TWO FAMILY HOMES     ,4 ,"$500,000","$596,825","$575,000","$737,300"
BEECHHURST               ,03 THREE FAMILY HOMES   ,2 ,"$640,000","$732,500","$732,500","$825,000"
BELLE HARBOR             ,01 ONE FAMILY HOMES     ,26 ,"$193,000","$754,712","$600,000","$3,200,000"
BELLE HARBOR             ,02 TWO FAMILY HOMES     ,26 ,"$225,000","$658,692","$672,500","$980,000"
BELLEROSE                ,01 ONE FAMILY HOMES     ,70 ,"$200,000","$427,627","$420,700","$755,000"
BELLEROSE                ,02 TWO FAMILY HOMES     ,16 ,"$235,000","$495,939","$482,500","$815,000"
BELLEROSE                ,03 THREE FAMILY HOMES   ,2 ,"$465,000","$521,875","$521,875","$578,750"
BRIARWOOD                ,01 ONE FAMILY HOMES     ,14 ,"$187,000","$415,839","$425,000","$745,000"
BRIARWOOD                ,02 TWO FAMILY HOMES     ,3 ,"$343,350","$572,783","$575,000","$800,000"
BRIARWOOD                ,03 THREE FAMILY HOMES   ,5 ,"$530,000","$696,000","$670,000","$850,000"
BROAD CHANNEL            ,01 ONE FAMILY HOMES     ,17 ,"$156,450","$294,356","$255,000","$510,000"
CAMBRIA HEIGHTS          ,01 ONE FAMILY HOMES     ,53 ,"$151,000","$314,575","$350,000","$435,000"
CAMBRIA HEIGHTS          ,02 TWO FAMILY HOMES     ,4 ,"$245,000","$340,000","$337,500","$440,000"
COLLEGE POINT            ,01 ONE FAMILY HOMES     ,53 ,"$180,000","$474,711","$458,000","$1,060,000"
COLLEGE POINT            ,02 TWO FAMILY HOMES     ,76 ,"$182,000","$617,852","$582,500","$999,800"
COLLEGE POINT            ,03 THREE FAMILY HOMES   ,6 ,"$540,000","$699,348","$698,751","$880,786"
CORONA                   ,01 ONE FAMILY HOMES     ,21 ,"$175,000","$374,998","$375,000","$725,000"
CORONA                   ,02 TWO FAMILY HOMES     ,89 ,"$150,000","$434,753","$420,000","$850,000"
CORONA                   ,03 THREE FAMILY HOMES   ,64 ,"$150,000","$655,437","$650,000","$997,885"
DOUGLASTON               ,01 ONE FAMILY HOMES     ,44 ,"$283,400","$801,643","$725,000","$2,225,000"
DOUGLASTON               ,02 TWO FAMILY HOMES     ,3 ,"$740,000","$763,333","$740,000","$810,000"
DOUGLASTON               ,03 THREE FAMILY HOMES   ,1 ,"$925,000","$925,000","$925,000","$925,000"
EAST ELMHURST            ,01 ONE FAMILY HOMES     ,35 ,"$151,553","$362,111","$355,000","$760,000"
EAST ELMHURST            ,02 TWO FAMILY HOMES     ,58 ,"$155,000","$486,000","$477,500","$865,512"
EAST ELMHURST            ,03 THREE FAMILY HOMES   ,13 ,"$300,000","$560,661","$569,000","$801,000"
ELMHURST                 ,01 ONE FAMILY HOMES     ,59 ,"$200,000","$502,855","$530,000","$820,000"
ELMHURST                 ,02 TWO FAMILY HOMES     ,104 ,"$235,000","$592,375","$550,525","$2,570,000"
ELMHURST                 ,03 THREE FAMILY HOMES   ,46 ,"$175,000","$756,789","$787,500","$1,401,926"
FAR ROCKAWAY             ,01 ONE FAMILY HOMES     ,56 ,"$160,000","$440,361","$387,000","$995,000"
FAR ROCKAWAY             ,02 TWO FAMILY HOMES     ,74 ,"$150,000","$374,603","$328,500","$1,400,000"
FAR ROCKAWAY             ,03 THREE FAMILY HOMES   ,19 ,"$167,056","$295,726","$270,000","$436,020"
FLORAL PARK              ,01 ONE FAMILY HOMES     ,80 ,"$180,000","$485,943","$470,000","$840,000"
FLORAL PARK              ,02 TWO FAMILY HOMES     ,6 ,"$360,000","$497,164","$494,750","$695,000"
FLORAL PARK              ,03 THREE FAMILY HOMES   ,1 ,"$615,000","$615,000","$615,000","$615,000"
FLUSHING-NORTH           ,01 ONE FAMILY HOMES     ,345 ,"$155,000","$599,979","$583,500","$1,925,000"
FLUSHING-NORTH           ,02 TWO FAMILY HOMES     ,170 ,"$150,000","$714,866","$728,000","$2,250,000"
FLUSHING-NORTH           ,03 THREE FAMILY HOMES   ,37 ,"$200,000","$784,722","$848,000","$1,350,000"
FLUSHING-SOUTH           ,01 ONE FAMILY HOMES     ,166 ,"$205,000","$552,039","$525,000","$1,390,000"
FLUSHING-SOUTH           ,02 TWO FAMILY HOMES     ,39 ,"$200,000","$574,317","$545,000","$960,000"
FLUSHING-SOUTH           ,03 THREE FAMILY HOMES   ,10 ,"$250,000","$635,150","$625,000","$990,000"
FOREST HILLS             ,01 ONE FAMILY HOMES     ,121 ,"$180,000","$888,770","$745,638","$2,600,000"
FOREST HILLS             ,02 TWO FAMILY HOMES     ,17 ,"$209,000","$817,147","$663,000","$1,575,000"
FOREST HILLS             ,03 THREE FAMILY HOMES   ,1 ,"$825,000","$825,000","$825,000","$825,000"
FRESH MEADOWS            ,01 ONE FAMILY HOMES     ,61 ,"$255,763","$622,772","$625,000","$1,225,000"
FRESH MEADOWS            ,02 TWO FAMILY HOMES     ,9 ,"$285,505","$623,312","$670,000","$842,500"
