NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
AIRPORT LA GUARDIA       ,01 ONE FAMILY HOMES     ,1," $	664,000.00 "," $	664,000.00 "," $	664,000.00 "," $	664,000.00 "
ARVERNE                  ,01 ONE FAMILY HOMES     ,13," $	204,000.00 "," $	286,316.00 "," $	290,000.00 "," $	413,261.00 "
ARVERNE                  ,02 TWO FAMILY HOMES     ,62," $	200,000.00 "," $	542,176.00 "," $	597,283.00 "," $	988,057.00 "
ARVERNE                  ,03 THREE FAMILY HOMES   ,4," $	210,000.00 "," $	342,000.00 "," $	372,000.00 "," $	414,000.00 "
ASTORIA                  ,01 ONE FAMILY HOMES     ,55," $	260,000.00 "," $	753,740.00 "," $	670,000.00 "," $	3,030,000.00 "
ASTORIA                  ,02 TWO FAMILY HOMES     ,142," $	200,000.00 "," $	831,563.00 "," $	837,500.00 "," $	2,550,000.00 "
ASTORIA                  ,03 THREE FAMILY HOMES   ,55," $	234,000.00 "," $	962,252.00 "," $	920,000.00 "," $	2,600,000.00 "
BAYSIDE                  ,01 ONE FAMILY HOMES     ,285," $	220,000.00 "," $	738,021.00 "," $	698,000.00 "," $	1,650,000.00 "
BAYSIDE                  ,02 TWO FAMILY HOMES     ,98," $	335,000.00 "," $	919,102.00 "," $	910,000.00 "," $	1,435,732.00 "
BAYSIDE                  ,03 THREE FAMILY HOMES   ,11," $	700,000.00 "," $	932,545.00 "," $	890,000.00 "," $	1,190,000.00 "
BEECHHURST               ,01 ONE FAMILY HOMES     ,51," $	261,631.00 "," $	955,659.00 "," $	875,000.00 "," $	2,750,000.00 "
BEECHHURST               ,02 TWO FAMILY HOMES     ,3," $	693,000.00 "," $	801,000.00 "," $	800,000.00 "," $	910,000.00 "
BELLE HARBOR             ,01 ONE FAMILY HOMES     ,18," $	350,000.00 "," $	639,722.00 "," $	607,863.00 "," $	1,185,000.00 "
BELLE HARBOR             ,02 TWO FAMILY HOMES     ,36," $	210,000.00 "," $	634,369.00 "," $	632,500.00 "," $	1,300,000.00 "
BELLE HARBOR             ,03 THREE FAMILY HOMES   ,1," $	660,000.00 "," $	660,000.00 "," $	660,000.00 "," $	660,000.00 "
BELLEROSE                ,01 ONE FAMILY HOMES     ,104," $	255,000.00 "," $	486,383.00 "," $	488,500.00 "," $	720,000.00 "
BELLEROSE                ,02 TWO FAMILY HOMES     ,21," $	242,250.00 "," $	497,526.00 "," $	497,000.00 "," $	870,000.00 "
BELLEROSE                ,03 THREE FAMILY HOMES   ,1," $	555,000.00 "," $	555,000.00 "," $	555,000.00 "," $	555,000.00 "
BRIARWOOD                ,01 ONE FAMILY HOMES     ,22," $	230,000.00 "," $	470,021.00 "," $	452,500.00 "," $	945,000.00 "
BRIARWOOD                ,02 TWO FAMILY HOMES     ,9," $	250,000.00 "," $	562,000.00 "," $	535,000.00 "," $	830,000.00 "
BRIARWOOD                ,03 THREE FAMILY HOMES   ,4," $	820,500.00 "," $	952,125.00 "," $	954,000.00 "," $	1,080,000.00 "
BROAD CHANNEL            ,01 ONE FAMILY HOMES     ,16," $	200,000.00 "," $	357,531.00 "," $	336,500.00 "," $	550,000.00 "
BROAD CHANNEL            ,02 TWO FAMILY HOMES     ,1," $	381,600.00 "," $	381,600.00 "," $	381,600.00 "," $	381,600.00 "
CAMBRIA HEIGHTS          ,01 ONE FAMILY HOMES     ,82," $	200,000.00 "," $	352,257.00 "," $	369,000.00 "," $	535,000.00 "
CAMBRIA HEIGHTS          ,02 TWO FAMILY HOMES     ,8," $	202,100.00 "," $	377,638.00 "," $	413,000.00 "," $	485,000.00 "
COLLEGE POINT            ,01 ONE FAMILY HOMES     ,59," $	200,000.00 "," $	550,341.00 "," $	540,000.00 "," $	1,290,000.00 "
COLLEGE POINT            ,02 TWO FAMILY HOMES     ,82," $	200,000.00 "," $	645,510.00 "," $	645,000.00 "," $	980,000.00 "
COLLEGE POINT            ,03 THREE FAMILY HOMES   ,23," $	360,000.00 "," $	732,555.00 "," $	710,000.00 "," $	1,550,000.00 "
CORONA                   ,01 ONE FAMILY HOMES     ,49," $	211,100.00 "," $	501,537.00 "," $	470,000.00 "," $	1,550,000.00 "
CORONA                   ,02 TWO FAMILY HOMES     ,108," $	200,000.00 "," $	645,397.00 "," $	629,750.00 "," $	1,500,000.00 "
CORONA                   ,03 THREE FAMILY HOMES   ,71," $	325,000.00 "," $	737,698.00 "," $	735,000.00 "," $	1,293,177.00 "
DOUGLASTON               ,01 ONE FAMILY HOMES     ,58," $	315,000.00 "," $	887,782.00 "," $	802,500.00 "," $	2,100,000.00 "
DOUGLASTON               ,02 TWO FAMILY HOMES     ,4," $	665,000.00 "," $	866,721.00 "," $	902,000.00 "," $	997,885.00 "
DOUGLASTON               ,03 THREE FAMILY HOMES   ,1," $	1,220,000.00 "," $	1,220,000.00 "," $	1,220,000.00 "," $	1,220,000.00 "
EAST ELMHURST            ,01 ONE FAMILY HOMES     ,45," $	210,000.00 "," $	458,860.00 "," $	440,000.00 "," $	960,000.00 "
EAST ELMHURST            ,02 TWO FAMILY HOMES     ,72," $	201,148.00 "," $	583,061.00 "," $	582,500.00 "," $	900,000.00 "
EAST ELMHURST            ,03 THREE FAMILY HOMES   ,11," $	255,000.00 "," $	707,815.00 "," $	680,000.00 "," $	997,885.00 "
ELMHURST                 ,01 ONE FAMILY HOMES     ,75," $	244,000.00 "," $	624,706.00 "," $	618,800.00 "," $	1,440,000.00 "
ELMHURST                 ,02 TWO FAMILY HOMES     ,94," $	222,000.00 "," $	751,768.00 "," $	750,000.00 "," $	2,512,375.00 "
ELMHURST                 ,03 THREE FAMILY HOMES   ,52," $	285,500.00 "," $	955,940.00 "," $	962,500.00 "," $	2,500,000.00 "
FAR ROCKAWAY             ,01 ONE FAMILY HOMES     ,51," $	200,000.00 "," $	474,617.00 "," $	389,000.00 "," $	1,060,000.00 "
FAR ROCKAWAY             ,02 TWO FAMILY HOMES     ,73," $	212,151.00 "," $	428,522.00 "," $	403,000.00 "," $	1,600,000.00 "
FAR ROCKAWAY             ,03 THREE FAMILY HOMES   ,22," $	221,884.00 "," $	397,040.00 "," $	352,450.00 "," $	881,086.00 "
FLORAL PARK              ,01 ONE FAMILY HOMES     ,90," $	220,000.00 "," $	525,323.00 "," $	513,000.00 "," $	1,100,000.00 "
FLORAL PARK              ,02 TWO FAMILY HOMES     ,2," $	450,000.00 "," $	462,500.00 "," $	462,500.00 "," $	475,000.00 "
FLORAL PARK              ,03 THREE FAMILY HOMES   ,1," $	680,000.00 "," $	680,000.00 "," $	680,000.00 "," $	680,000.00 "
FLUSHING-NORTH           ,01 ONE FAMILY HOMES     ,446," $	200,000.00 "," $	702,007.00 "," $	691,000.00 "," $	1,880,000.00 "
FLUSHING-NORTH           ,02 TWO FAMILY HOMES     ,262," $	200,000.00 "," $	866,726.00 "," $	849,000.00 "," $	5,550,000.00 "
FLUSHING-NORTH           ,03 THREE FAMILY HOMES   ,46," $	720,000.00 "," $	1,049,881.00 "," $	972,500.00 "," $	2,000,000.00 "
FLUSHING-SOUTH           ,01 ONE FAMILY HOMES     ,209," $	305,000.00 "," $	615,966.00 "," $	600,000.00 "," $	1,258,000.00 "
FLUSHING-SOUTH           ,02 TWO FAMILY HOMES     ,61," $	300,000.00 "," $	720,026.00 "," $	693,000.00 "," $	1,260,000.00 "
FLUSHING-SOUTH           ,03 THREE FAMILY HOMES   ,13," $	367,322.00 "," $	731,469.00 "," $	631,000.00 "," $	1,430,000.00 "
FOREST HILLS             ,01 ONE FAMILY HOMES     ,138," $	415,000.00 "," $	1,062,573.00 "," $	900,000.00 "," $	3,000,000.00 "
FOREST HILLS             ,02 TWO FAMILY HOMES     ,18," $	275,000.00 "," $	1,108,278.00 "," $	900,000.00 "," $	5,500,000.00 "
FOREST HILLS             ,03 THREE FAMILY HOMES   ,3," $	590,000.00 "," $	1,051,667.00 "," $	1,100,000.00 "," $	1,465,000.00 "
FRESH MEADOWS            ,01 ONE FAMILY HOMES     ,75," $	240,000.00 "," $	795,087.00 "," $	723,000.00 "," $	5,600,000.00 "
FRESH MEADOWS            ,02 TWO FAMILY HOMES     ,9," $	282,500.00 "," $	705,167.00 "," $	770,000.00 "," $	850,000.00 "
GLEN OAKS                ,01 ONE FAMILY HOMES     ,18," $	405,000.00 "," $	551,433.00 "," $	505,000.00 "," $	975,000.00 "
GLEN OAKS                ,02 TWO FAMILY HOMES     ,2," $	666,206.00 "," $	888,103.00 "," $	888,103.00 "," $	1,110,000.00 "
GLENDALE                 ,01 ONE FAMILY HOMES     ,63," $	202,800.00 "," $	500,360.00 "," $	499,000.00 "," $	750,000.00 "
GLENDALE                 ,02 TWO FAMILY HOMES     ,108," $	200,000.00 "," $	587,439.00 "," $	596,500.00 "," $	890,000.00 "
GLENDALE                 ,03 THREE FAMILY HOMES   ,10," $	505,000.00 "," $	682,240.00 "," $	674,500.00 "," $	940,000.00 "
HAMMELS                  ,01 ONE FAMILY HOMES     ,2," $	350,000.00 "," $	352,500.00 "," $	352,500.00 "," $	355,000.00 "
HAMMELS                  ,02 TWO FAMILY HOMES     ,9," $	202,803.00 "," $	355,756.00 "," $	350,000.00 "," $	649,000.00 "
HAMMELS                  ,03 THREE FAMILY HOMES   ,4," $	205,000.00 "," $	310,250.00 "," $	318,000.00 "," $	400,000.00 "
HILLCREST                ,01 ONE FAMILY HOMES     ,24," $	309,270.00 "," $	539,678.00 "," $	556,000.00 "," $	715,000.00 "
HILLCREST                ,02 TWO FAMILY HOMES     ,6," $	290,000.00 "," $	558,333.00 "," $	557,500.00 "," $	820,000.00 "
HILLCREST                ,03 THREE FAMILY HOMES   ,1," $	375,000.00 "," $	375,000.00 "," $	375,000.00 "," $	375,000.00 "
HOLLIS                   ,01 ONE FAMILY HOMES     ,145," $	200,000.00 "," $	386,925.00 "," $	382,900.00 "," $	668,000.00 "
HOLLIS                   ,02 TWO FAMILY HOMES     ,69," $	200,000.00 "," $	436,398.00 "," $	429,000.00 "," $	835,000.00 "
HOLLIS                   ,03 THREE FAMILY HOMES   ,6," $	275,000.00 "," $	442,865.00 "," $	365,596.00 "," $	750,000.00 "
HOLLIS HILLS             ,01 ONE FAMILY HOMES     ,34," $	415,000.00 "," $	793,051.00 "," $	764,000.00 "," $	1,375,000.00 "
HOLLISWOOD               ,01 ONE FAMILY HOMES     ,32," $	310,830.00 "," $	872,229.00 "," $	850,000.00 "," $	1,600,000.00 "
HOLLISWOOD               ,02 TWO FAMILY HOMES     ,4," $	380,000.00 "," $	541,750.00 "," $	481,000.00 "," $	825,000.00 "
HOWARD BEACH             ,01 ONE FAMILY HOMES     ,109," $	221,500.00 "," $	547,409.00 "," $	540,000.00 "," $	999,900.00 "
HOWARD BEACH             ,02 TWO FAMILY HOMES     ,45," $	275,000.00 "," $	569,471.00 "," $	588,000.00 "," $	720,000.00 "
HOWARD BEACH             ,03 THREE FAMILY HOMES   ,2," $	210,000.00 "," $	384,744.00 "," $	384,744.00 "," $	559,487.00 "
JACKSON HEIGHTS          ,01 ONE FAMILY HOMES     ,81," $	200,000.00 "," $	560,620.00 "," $	555,000.00 "," $	905,000.00 "
JACKSON HEIGHTS          ,02 TWO FAMILY HOMES     ,112," $	209,970.00 "," $	665,992.00 "," $	645,000.00 "," $	1,612,184.00 "
JACKSON HEIGHTS          ,03 THREE FAMILY HOMES   ,33," $	250,000.00 "," $	899,451.00 "," $	878,000.00 "," $	2,100,000.00 "
JAMAICA                  ,01 ONE FAMILY HOMES     ,28," $	200,000.00 "," $	484,316.00 "," $	407,500.00 "," $	1,875,000.00 "
JAMAICA                  ,02 TWO FAMILY HOMES     ,31," $	281,000.00 "," $	593,713.00 "," $	491,000.00 "," $	2,300,000.00 "
JAMAICA                  ,03 THREE FAMILY HOMES   ,9," $	430,000.00 "," $	637,406.00 "," $	750,000.00 "," $	925,000.00 "
JAMAICA BAY              ,01 ONE FAMILY HOMES     ,6," $	217,300.00 "," $	336,300.00 "," $	324,000.00 "," $	440,000.00 "
JAMAICA BAY              ,02 TWO FAMILY HOMES     ,3," $	360,000.00 "," $	425,000.00 "," $	445,000.00 "," $	470,000.00 "
JAMAICA ESTATES          ,01 ONE FAMILY HOMES     ,57," $	390,000.00 "," $	888,101.00 "," $	840,000.00 "," $	1,736,968.00 "
JAMAICA ESTATES          ,02 TWO FAMILY HOMES     ,1," $	840,000.00 "," $	840,000.00 "," $	840,000.00 "," $	840,000.00 "
JAMAICA ESTATES          ,03 THREE FAMILY HOMES   ,1," $	785,000.00 "," $	785,000.00 "," $	785,000.00 "," $	785,000.00 "
JAMAICA HILLS            ,01 ONE FAMILY HOMES     ,21," $	295,000.00 "," $	519,069.00 "," $	550,000.00 "," $	925,000.00 "
JAMAICA HILLS            ,02 TWO FAMILY HOMES     ,9," $	350,000.00 "," $	586,889.00 "," $	617,000.00 "," $	790,000.00 "
JAMAICA HILLS            ,03 THREE FAMILY HOMES   ,4," $	875,000.00 "," $	946,250.00 "," $	880,000.00 "," $	1,150,000.00 "
KEW GARDENS              ,01 ONE FAMILY HOMES     ,25," $	250,000.00 "," $	724,424.00 "," $	672,095.00 "," $	1,900,000.00 "
KEW GARDENS              ,02 TWO FAMILY HOMES     ,10," $	400,000.00 "," $	669,205.00 "," $	634,023.00 "," $	1,050,000.00 "
KEW GARDENS              ,03 THREE FAMILY HOMES   ,9," $	400,000.00 "," $	680,889.00 "," $	643,000.00 "," $	950,000.00 "
LAURELTON                ,01 ONE FAMILY HOMES     ,103," $	200,000.00 "," $	360,851.00 "," $	370,500.00 "," $	749,000.00 "
LAURELTON                ,02 TWO FAMILY HOMES     ,31," $	200,000.00 "," $	392,659.00 "," $	435,000.00 "," $	562,000.00 "
LAURELTON                ,03 THREE FAMILY HOMES   ,1," $	479,900.00 "," $	479,900.00 "," $	479,900.00 "," $	479,900.00 "
LITTLE NECK              ,01 ONE FAMILY HOMES     ,73," $	300,000.00 "," $	774,200.00 "," $	743,322.00 "," $	1,930,000.00 "
LITTLE NECK              ,02 TWO FAMILY HOMES     ,15," $	705,000.00 "," $	1,004,310.00 "," $	990,000.00 "," $	1,330,000.00 "
LITTLE NECK              ,03 THREE FAMILY HOMES   ,3," $	900,000.00 "," $	950,000.00 "," $	900,000.00 "," $	1,050,000.00 "
LONG ISLAND CITY         ,01 ONE FAMILY HOMES     ,7," $	225,000.00 "," $	769,286.00 "," $	700,000.00 "," $	2,150,000.00 "
LONG ISLAND CITY         ,02 TWO FAMILY HOMES     ,17," $	460,000.00 "," $	866,513.00 "," $	760,000.00 "," $	1,650,000.00 "
LONG ISLAND CITY         ,03 THREE FAMILY HOMES   ,7," $	450,000.00 "," $	958,571.00 "," $	815,000.00 "," $	1,875,000.00 "
MASPETH                  ,01 ONE FAMILY HOMES     ,81," $	200,000.00 "," $	513,003.00 "," $	475,000.00 "," $	1,770,000.00 "
MASPETH                  ,02 TWO FAMILY HOMES     ,137," $	200,000.00 "," $	606,966.00 "," $	600,000.00 "," $	1,150,000.00 "
MASPETH                  ,03 THREE FAMILY HOMES   ,22," $	250,000.00 "," $	769,789.00 "," $	732,500.00 "," $	1,965,000.00 "
MIDDLE VILLAGE           ,01 ONE FAMILY HOMES     ,150," $	273,000.00 "," $	572,466.00 "," $	575,000.00 "," $	1,500,000.00 "
MIDDLE VILLAGE           ,02 TWO FAMILY HOMES     ,76," $	211,000.00 "," $	616,368.00 "," $	613,993.00 "," $	1,050,000.00 "
MIDDLE VILLAGE           ,03 THREE FAMILY HOMES   ,21," $	300,000.00 "," $	750,476.00 "," $	770,000.00 "," $	995,000.00 "
NEPONSIT                 ,01 ONE FAMILY HOMES     ,22," $	460,000.00 "," $	911,068.00 "," $	785,000.00 "," $	2,500,000.00 "
NEPONSIT                 ,03 THREE FAMILY HOMES   ,1," $	765,000.00 "," $	765,000.00 "," $	765,000.00 "," $	765,000.00 "
OAKLAND GARDENS          ,01 ONE FAMILY HOMES     ,56," $	298,750.00 "," $	768,867.00 "," $	744,000.00 "," $	1,920,000.00 "
OAKLAND GARDENS          ,02 TWO FAMILY HOMES     ,11," $	810,000.00 "," $	1,022,387.00 "," $	988,000.00 "," $	1,380,000.00 "
OAKLAND GARDENS          ,03 THREE FAMILY HOMES   ,4," $	650,000.00 "," $	979,475.00 "," $	1,064,950.00 "," $	1,138,000.00 "
OZONE PARK               ,01 ONE FAMILY HOMES     ,94," $	211,050.00 "," $	386,625.00 "," $	387,000.00 "," $	1,200,000.00 "
OZONE PARK               ,02 TWO FAMILY HOMES     ,136," $	210,000.00 "," $	490,613.00 "," $	478,000.00 "," $	1,500,000.00 "
OZONE PARK               ,03 THREE FAMILY HOMES   ,17," $	250,000.00 "," $	532,824.00 "," $	520,000.00 "," $	850,000.00 "
QUEENS VILLAGE           ,01 ONE FAMILY HOMES     ,210," $	200,000.00 "," $	390,098.00 "," $	399,750.00 "," $	610,000.00 "
QUEENS VILLAGE           ,02 TWO FAMILY HOMES     ,86," $	210,000.00 "," $	483,520.00 "," $	475,000.00 "," $	787,148.00 "
QUEENS VILLAGE           ,03 THREE FAMILY HOMES   ,4," $	350,000.00 "," $	512,000.00 "," $	501,500.00 "," $	695,000.00 "
REGO PARK                ,01 ONE FAMILY HOMES     ,43," $	265,000.00 "," $	732,966.00 "," $	700,000.00 "," $	1,350,000.00 "
REGO PARK                ,02 TWO FAMILY HOMES     ,21," $	340,000.00 "," $	725,190.00 "," $	700,000.00 "," $	1,150,000.00 "
REGO PARK                ,03 THREE FAMILY HOMES   ,3," $	280,000.00 "," $	876,667.00 "," $	1,150,000.00 "," $	1,200,000.00 "
RICHMOND HILL            ,01 ONE FAMILY HOMES     ,146," $	211,000.00 "," $	397,989.00 "," $	386,500.00 "," $	860,000.00 "
RICHMOND HILL            ,02 TWO FAMILY HOMES     ,199," $	204,000.00 "," $	471,966.00 "," $	455,000.00 "," $	900,000.00 "
RICHMOND HILL            ,03 THREE FAMILY HOMES   ,29," $	294,850.00 "," $	533,253.00 "," $	530,000.00 "," $	850,000.00 "
