BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6360,55, ,A5,28 BAY 10TH STREET, ,11228,1,0,1,"1,547","1,428",1930, 	1 ,A5," $	725,000.00 ",6/27/17
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6361,20, ,A5,47 BAY 10TH STREET, ,11228,1,0,1,"1,933","1,660",1930, 	1 ,A5, $	-00.00 ,3/4/17
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6367,42, ,S1,1730 86TH STREET, ,11214,1,1,2,"1,342","1,920",1926, 	1 ,S1," $	1,200,000.00 ",3/31/17
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6373,73, ,A1,50 BAY 23RD STREET, ,11214,1,0,1,"2,417","1,672",1930, 	1 ,A1, $	-00.00 ,1/8/18
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6393,16, ,A5,145 BAY 8TH   STREET, ,11228,1,0,1,"1,716","1,554",1920, 	1 ,A5, $	10.00 ,9/15/17
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6405,49, ,S1,1863 BATH AVENUE, ,11214,1,1,2,"1,172","1,800",1920, 	1 ,S1," $	1,060,000.00 ",4/21/17
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6406,25, ,A1,1906 BENSON AVENUE, ,11214,1,0,1,"5,750","2,386",1901, 	1 ,A1," $	2,050,000.00 ",5/16/17
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6425,24, ,A9,209 BAY 7TH STREET, ,11228,1,0,1,"2,030","1,320",1920, 	1 ,A9," $	799,000.00 ",9/6/17
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6431,57, ,A9,202 BAY 14TH STREET, ,11214,1,0,1,"2,015","1,458",1910, 	1 ,A9, $	-00.00 ,6/19/17
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6460,61, ,A9,286 BAY 10TH STREET, ,11228,1,0,1,"1,933","1,152",1920, 	1 ,A9," $	780,000.00 ",1/9/18
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6460,62, ,A9,288 BAY 10TH ST, ,11228,1,0,1,"1,933","1,152",1920, 	1 ,A9, $	-00.00 ,11/17/17
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6460,63, ,A1,292 BAY 10TH STREET, ,11228,1,0,1,"1,933","1,152",1920, 	1 ,A1," $	788,000.00 ",4/7/17
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6460,64, ,A9,294 BAY 10TH STREET, ,11228,1,0,1,"1,933","1,152",1920, 	1 ,A9," $	750,000.00 ",4/25/17
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6460,216, ,A5,8874 16TH AVENUE, ,11214,1,0,1,"1,760",992,1950, 	1 ,A5, $	-00.00 ,3/23/17
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6460,229, ,A5,8900 16TH AVENUE, ,11214,1,0,1,"1,980","1,188",1950, 	1 ,A5," $	844,000.00 ",11/17/17
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6460,267, ,A9,304 BAY 10TH STREET, ,11228,1,0,1,"1,933","1,184",1920, 	1 ,A9," $	770,000.00 ",1/5/18
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6461,94, ,A5,275 BAY 14TH STREET, ,11214,1,0,1,"1,795","1,152",1930, 	1 ,A5, $	-00.00 ,11/3/17
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6461,100, ,A5,261 BAY 14TH STREET, ,11214,1,0,1,"1,795","1,204",1930, 	1 ,A5, $	-00.00 ,5/4/17
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6461,289, ,A5,291 BAY 13TH   STREET, ,11214,1,0,1,"2,062","1,240",1940, 	1 ,A5," $	850,000.00 ",3/3/17
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6461,320, ,A5,316 BAY 13TH   STREET, ,11214,1,0,1,"1,631",928,1945, 	1 ,A5," $	850,000.00 ",9/29/17
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6461,326, ,A5,328 BAY 13TH STREET, ,11214,1,0,1,"1,619",928,1945, 	1 ,A5," $	825,000.00 ",8/30/17
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6463,127, ,A5,8849 18TH   AVENUE, ,11214,1,0,1,"1,384",992,1950, 	1 ,A5," $	786,000.00 ",3/20/17
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6485,88, ,A5,1589 INDEPENDENCE AVENUE, ,11228,1,0,1,"1,632",992,1960, 	1 ,A5," $	651,000.00 ",9/11/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6357,15, ,B1,8643 14TH AVENUE, ,11228,2,0,2,"2,320","2,160",1930, 	1 ,B1," $	1,388,000.00 ",6/29/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6358,8, ,B1,63 BAY 7TH STREET, ,11228,2,0,2,"2,320","2,160",1930, 	1 ,B1, $	-00.00 ,9/25/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6359,25, ,B1,25 BAY 8TH STREET, ,11228,2,0,2,"2,320","2,160",1930, 	1 ,B1," $	1,200,000.00 ",2/14/18
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6359,25, ,B1,25 BAY 8TH STREET, ,11228,2,0,2,"2,320","2,160",1930, 	1 ,B1, $	-00.00 ,11/1/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6360,44, ,S2,1518 86 STREET, ,11228,2,1,3,"1,917","2,496",1931, 	1 ,S2," $	1,350,000.00 ",3/29/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6360,77, ,B1,76 BAY 10TH STREET, ,11228,2,0,2,"1,718","2,298",1960, 	1 ,B1," $	1,220,000.00 ",3/7/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6361,2, ,B1,1543 BENSON AVENUE, ,11228,2,0,2,"2,383","2,242",1930, 	1 ,B1," $	1,250,000.00 ",10/11/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6361,24, ,B3,39 BAY 10TH STREET, ,11228,2,0,2,"2,135","1,622",1930, 	1 ,B3, $	-00.00 ,11/2/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6361,34, ,B3,13 BAY 10TH STREET, ,11228,2,0,2,"2,135","1,622",1930, 	1 ,B3, $	-00.00 ,12/7/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6362,6, ,B1,1557 BENSON AVENUE, ,11228,2,0,2,"1,920","1,840",1920, 	1 ,B1, $	-00.00 ,4/11/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6363,27, ,B3,8633 16TH AVENUE, ,11214,2,0,2,"2,058","1,492",1930, 	1 ,B3, $	-00.00 ,6/30/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6363,30, ,B3,8627 16TH   AVENUE, ,11214,2,0,2,"2,058","1,492",1930, 	1 ,B3, $	-00.00 ,4/5/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6364,27, ,B1,35 BAY 13TH   STREET, ,11214,2,0,2,"2,167","2,900",1899, 	1 ,B1," $	1,200,000.00 ",9/25/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6365,51, ,B1,8618 17TH AVE, ,11214,2,0,2,"2,167","3,060",1910, 	1 ,B1," $	999,000.00 ",10/2/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6365,61, ,B1,8646 17TH AVENUE, ,11214,2,0,2,"3,178","2,745",1950, 	1 ,B1, $	-00.00 ,6/28/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6366,26, ,B1,8639 17TH   AVENUE, ,11214,2,0,2,"1,933","3,240",1901, 	1 ,B1, $	-00.00 ,12/18/17
