BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS                    ,1,976,10, ,A5,21-10 81ST   STREET, ,11370,1,0,1,"1,800","1,224",1950,1,A5,"750,000",6/16/2017
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS                    ,1,976,10, ,A5,21-10 81ST STREET, ,11370,1,0,1,"1,800","1,224",1950,1,A5,"600,000",4/10/2017
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS                    ,1,976,11, ,A5,21-12 81ST   STREET, ,11370,1,0,1,"1,800","1,224",1950,1,A5,"730,000",8/23/2017
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS                    ,1,976,11, ,A5,21-12 81ST STREET, ,11370,1,0,1,"1,800","1,224",1950,1,A5,"600,000",4/10/2017
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS                    ,1,976,15, ,A5,21-20 81ST STREET, ,11370,1,0,1,"1,800","1,224",1950,1,A5,"792,000",7/26/2017
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS                    ,1,976,54, ,A5,21-35 80TH STREET, ,11370,1,0,1,"1,800","1,224",1950,1,A5,10,6/13/2017
4,AIRPORT LA GUARDIA,03 THREE FAMILY DWELLINGS                  ,1,949,17, ,C0,1914 81 STREET, ,11370,3,0,3,"2,826","1,840",1940,1,C0,"970,000",7/31/2017
4,AIRPORT LA GUARDIA,07 RENTALS - WALKUP APARTMENTS             ,2A,949,67, ,C2,1949A 80TH   STREET, ,11370,6,0,6,"2,400","3,960",1971,2,C2,"1,400,000",5/16/2017
4,AIRPORT LA GUARDIA,12 CONDOS - WALKUP APARTMENTS              ,2,949,1001, ,R2,19-35 80TH STREET,1,11370,1,0,1,0,0,1939,2,R2,0,6/7/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15830,42, ,A2,341 BEACH 40 STREET, ,11691,1,0,1,"1,766","1,521",1920,1,A2,"311,000",9/5/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15835,67, ,A1,333 BEACH 44TH STREET, ,11691,1,0,1,"3,431","1,640",1920,1,A1,"250,000",5/2/2017
