NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
ANNADALE                 ,01 ONE FAMILY HOMES                        , 	55 ,"$155,230","$566,350","$495,000","$2,170,000"
ANNADALE                 ,02 TWO FAMILY HOMES                        , 	26 ,"$464,000","$616,840","$574,802","$1,250,000"
ARDEN HEIGHTS            ,01 ONE FAMILY HOMES                        , 	149 ,"$150,000","$334,236","$320,000","$560,037"
ARDEN HEIGHTS            ,02 TWO FAMILY HOMES                        , 	16 ,"$398,000","$536,761","$510,000","$740,267"
ARROCHAR                 ,01 ONE FAMILY HOMES                        , 	15 ,"$350,000","$479,797","$442,000","$950,000"
ARROCHAR-SHORE ACRES     ,01 ONE FAMILY HOMES                        , 	3 ,"$345,000","$385,667","$390,000","$422,000"
ARROCHAR-SHORE ACRES     ,02 TWO FAMILY HOMES                        , 	1 ,"$472,500","$472,500","$472,500","$472,500"
BLOOMFIELD               ,02 TWO FAMILY HOMES                        , 	1 ,"$1,350,000","$1,350,000","$1,350,000","$1,350,000"
BULLS HEAD               ,01 ONE FAMILY HOMES                        , 	54 ,"$166,000","$346,410","$339,795","$675,000"
BULLS HEAD               ,02 TWO FAMILY HOMES                        , 	38 ,"$180,000","$468,593","$489,984","$670,000"
CASTLETON CORNERS        ,01 ONE FAMILY HOMES                        , 	47 ,"$240,000","$432,155","$422,500","$662,000"
CASTLETON CORNERS        ,02 TWO FAMILY HOMES                        , 	16 ,"$350,000","$520,833","$474,250","$814,600"
CASTLETON CORNERS        ,03 THREE FAMILY HOMES                      , 	1 ,"$400,000","$400,000","$400,000","$400,000"
CLOVE LAKES              ,01 ONE FAMILY HOMES                        , 	40 ,"$168,100","$521,029","$460,000","$1,300,000"
CLOVE LAKES              ,02 TWO FAMILY HOMES                        , 	6 ,"$200,000","$431,792","$477,000","$746,750"
CONCORD                  ,01 ONE FAMILY HOMES                        , 	41 ,"$157,000","$294,667","$285,000","$458,880"
CONCORD                  ,02 TWO FAMILY HOMES                        , 	4 ,"$307,000","$372,853","$369,126","$446,160"
CONCORD-FOX HILLS        ,01 ONE FAMILY HOMES                        , 	27 ,"$180,000","$300,212","$308,000","$407,628"
DONGAN HILLS             ,01 ONE FAMILY HOMES                        , 	30 ,"$235,000","$479,509","$383,660","$1,150,622"
DONGAN HILLS             ,02 TWO FAMILY HOMES                        , 	11 ,"$250,000","$607,721","$595,000","$865,512"
DONGAN HILLS             ,03 THREE FAMILY HOMES                      , 	2 ,"$150,000","$150,000","$150,000","$150,000"
DONGAN HILLS-COLONY      ,01 ONE FAMILY HOMES                        , 	25 ,"$215,000","$608,709","$577,500","$1,300,000"
DONGAN HILLS-COLONY      ,02 TWO FAMILY HOMES                        , 	3 ,"$278,000","$417,925","$345,774","$630,000"
DONGAN HILLS-COLONY      ,03 THREE FAMILY HOMES                      , 	1 ,"$519,000","$519,000","$519,000","$519,000"
ELTINGVILLE              ,01 ONE FAMILY HOMES                        , 	135 ,"$181,610","$447,432","$417,000","$2,500,000"
ELTINGVILLE              ,02 TWO FAMILY HOMES                        , 	26 ,"$290,000","$524,888","$506,000","$760,403"
EMERSON HILL             ,01 ONE FAMILY HOMES                        , 	4 ,"$504,000","$688,375","$627,250","$995,000"
EMERSON HILL             ,02 TWO FAMILY HOMES                        , 	1 ,"$150,000","$150,000","$150,000","$150,000"
GRANT CITY               ,01 ONE FAMILY HOMES                        , 	38 ,"$177,450","$440,660","$435,000","$880,786"
GRANT CITY               ,02 TWO FAMILY HOMES                        , 	11 ,"$257,000","$596,161","$565,000","$804,416"
GRASMERE                 ,01 ONE FAMILY HOMES                        , 	35 ,"$287,900","$476,555","$433,000","$995,000"
GRASMERE                 ,02 TWO FAMILY HOMES                        , 	4 ,"$220,000","$505,000","$550,000","$700,000"
GREAT KILLS              ,01 ONE FAMILY HOMES                        , 	204 ,"$150,000","$409,830","$401,500","$812,054"
GREAT KILLS              ,02 TWO FAMILY HOMES                        , 	70 ,"$157,500","$555,286","$564,250","$865,512"
GREAT KILLS-BAY TERRACE  ,01 ONE FAMILY HOMES                        , 	26 ,"$150,000","$433,955","$427,500","$570,220"
GREAT KILLS-BAY TERRACE  ,02 TWO FAMILY HOMES                        , 	3 ,"$575,000","$650,000","$675,000","$700,000"
GRYMES HILL              ,01 ONE FAMILY HOMES                        , 	17 ,"$352,950","$874,812","$649,000","$2,200,000"
GRYMES HILL              ,02 TWO FAMILY HOMES                        , 	6 ,"$395,500","$458,423","$470,541","$475,000"
HUGUENOT                 ,01 ONE FAMILY HOMES                        , 	51 ,"$177,500","$632,039","$517,607","$1,775,000"
HUGUENOT                 ,02 TWO FAMILY HOMES                        , 	25 ,"$229,946","$648,375","$615,000","$995,000"
LIVINGSTON               ,01 ONE FAMILY HOMES                        , 	10 ,"$300,000","$445,194","$430,000","$556,585"
LIVINGSTON               ,02 TWO FAMILY HOMES                        , 	4 ,"$260,000","$488,277","$537,329","$618,450"
MANOR HEIGHTS            ,01 ONE FAMILY HOMES                        , 	47 ,"$202,181","$420,151","$405,000","$855,000"
MANOR HEIGHTS            ,02 TWO FAMILY HOMES                        , 	14 ,"$194,161","$495,595","$506,250","$750,000"
MARINERS HARBOR          ,01 ONE FAMILY HOMES                        , 	86 ,"$150,000","$315,500","$319,996","$496,860"
MARINERS HARBOR          ,02 TWO FAMILY HOMES                        , 	37 ,"$151,000","$373,280","$400,530","$563,418"
