NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
ANNADALE                 ,01 ONE FAMILY HOMES     ,58," $	215,000.00 "," $	633,603.00 "," $	542,067.00 "," $	3,933,000.00 "
ANNADALE                 ,02 TWO FAMILY HOMES     ,37," $	205,000.00 "," $	686,634.00 "," $	719,999.00 "," $	2,083,339.00 "
ARDEN HEIGHTS            ,01 ONE FAMILY HOMES     ,135," $	202,500.00 "," $	336,769.00 "," $	316,000.00 "," $	595,650.00 "
ARDEN HEIGHTS            ,02 TWO FAMILY HOMES     ,11," $	250,000.00 "," $	462,827.00 "," $	458,000.00 "," $	730,000.00 "
ARROCHAR                 ,01 ONE FAMILY HOMES     ,14," $	218,000.00 "," $	427,513.00 "," $	432,450.00 "," $	775,000.00 "
ARROCHAR                 ,02 TWO FAMILY HOMES     ,1," $	415,000.00 "," $	415,000.00 "," $	415,000.00 "," $	415,000.00 "
ARROCHAR                 ,03 THREE FAMILY HOMES   ,2," $	376,000.00 "," $	607,950.00 "," $	607,950.00 "," $	839,900.00 "
ARROCHAR-SHORE ACRES     ,01 ONE FAMILY HOMES     ,11," $	260,000.00 "," $	473,559.00 "," $	347,515.00 "," $	896,060.00 "
ARROCHAR-SHORE ACRES     ,02 TWO FAMILY HOMES     ,1," $	395,000.00 "," $	395,000.00 "," $	395,000.00 "," $	395,000.00 "
BULLS HEAD               ,01 ONE FAMILY HOMES     ,79," $	210,000.00 "," $	368,691.00 "," $	358,400.00 "," $	760,000.00 "
BULLS HEAD               ,02 TWO FAMILY HOMES     ,50," $	200,000.00 "," $	475,828.00 "," $	456,500.00 "," $	800,000.00 "
CASTLETON CORNERS        ,01 ONE FAMILY HOMES     ,70," $	205,500.00 "," $	427,971.00 "," $	417,500.00 "," $	865,000.00 "
CASTLETON CORNERS        ,02 TWO FAMILY HOMES     ,21," $	254,000.00 "," $	470,024.00 "," $	445,000.00 "," $	780,000.00 "
CASTLETON CORNERS        ,03 THREE FAMILY HOMES   ,1," $	380,000.00 "," $	380,000.00 "," $	380,000.00 "," $	380,000.00 "
CLOVE LAKES              ,01 ONE FAMILY HOMES     ,42," $	237,500.00 "," $	522,118.00 "," $	514,000.00 "," $	807,000.00 "
CLOVE LAKES              ,02 TWO FAMILY HOMES     ,8," $	500,000.00 "," $	588,750.00 "," $	557,500.00 "," $	720,000.00 "
CLOVE LAKES              ,03 THREE FAMILY HOMES   ,1," $	500,000.00 "," $	500,000.00 "," $	500,000.00 "," $	500,000.00 "
CONCORD                  ,01 ONE FAMILY HOMES     ,25," $	200,000.00 "," $	288,936.00 "," $	280,900.00 "," $	449,350.00 "
CONCORD                  ,02 TWO FAMILY HOMES     ,6," $	260,000.00 "," $	497,992.00 "," $	462,000.00 "," $	855,000.00 "
CONCORD                  ,03 THREE FAMILY HOMES   ,1," $	230,000.00 "," $	230,000.00 "," $	230,000.00 "," $	230,000.00 "
CONCORD-FOX HILLS        ,01 ONE FAMILY HOMES     ,31," $	215,000.00 "," $	278,680.00 "," $	250,000.00 "," $	478,689.00 "
DONGAN HILLS             ,01 ONE FAMILY HOMES     ,31," $	317,500.00 "," $	442,750.00 "," $	393,000.00 "," $	850,000.00 "
DONGAN HILLS             ,02 TWO FAMILY HOMES     ,17," $	215,000.00 "," $	549,365.00 "," $	508,000.00 "," $	794,235.00 "
DONGAN HILLS             ,03 THREE FAMILY HOMES   ,1," $	450,000.00 "," $	450,000.00 "," $	450,000.00 "," $	450,000.00 "
DONGAN HILLS-COLONY      ,01 ONE FAMILY HOMES     ,21," $	400,000.00 "," $	731,325.00 "," $	638,000.00 "," $	1,800,000.00 "
DONGAN HILLS-COLONY      ,02 TWO FAMILY HOMES     ,8," $	450,000.00 "," $	663,500.00 "," $	651,500.00 "," $	920,000.00 "
DONGAN HILLS-COLONY      ,03 THREE FAMILY HOMES   ,1," $	630,000.00 "," $	630,000.00 "," $	630,000.00 "," $	630,000.00 "
DONGAN HILLS-OLD TOWN    ,02 TWO FAMILY HOMES     ,3," $	350,000.00 "," $	401,667.00 "," $	350,000.00 "," $	505,000.00 "
ELTINGVILLE              ,01 ONE FAMILY HOMES     ,143," $	225,000.00 "," $	416,591.00 "," $	410,000.00 "," $	805,000.00 "
ELTINGVILLE              ,02 TWO FAMILY HOMES     ,35," $	230,500.00 "," $	551,247.00 "," $	545,000.00 "," $	900,000.00 "
EMERSON HILL             ,01 ONE FAMILY HOMES     ,6," $	700,000.00 "," $	1,041,066.00 "," $	1,085,000.00 "," $	1,305,396.00 "
GRANT CITY               ,01 ONE FAMILY HOMES     ,43," $	240,000.00 "," $	440,567.00 "," $	414,000.00 "," $	1,075,000.00 "
GRANT CITY               ,02 TWO FAMILY HOMES     ,14," $	370,000.00 "," $	515,939.00 "," $	487,500.00 "," $	850,000.00 "
GRASMERE                 ,01 ONE FAMILY HOMES     ,48," $	220,000.00 "," $	475,209.00 "," $	424,866.00 "," $	1,250,000.00 "
GRASMERE                 ,02 TWO FAMILY HOMES     ,6," $	227,000.00 "," $	550,750.00 "," $	580,000.00 "," $	960,000.00 "
GREAT KILLS              ,01 ONE FAMILY HOMES     ,262," $	212,000.00 "," $	428,106.00 "," $	415,000.00 "," $	1,450,000.00 "
GREAT KILLS              ,02 TWO FAMILY HOMES     ,63," $	200,000.00 "," $	526,872.00 "," $	546,500.00 "," $	784,052.00 "
GREAT KILLS              ,03 THREE FAMILY HOMES   ,1," $	560,000.00 "," $	560,000.00 "," $	560,000.00 "," $	560,000.00 "
GREAT KILLS-BAY TERRACE  ,01 ONE FAMILY HOMES     ,24," $	275,000.00 "," $	435,532.00 "," $	439,300.00 "," $	600,000.00 "
GREAT KILLS-BAY TERRACE  ,02 TWO FAMILY HOMES     ,6," $	515,000.00 "," $	582,228.00 "," $	548,500.00 "," $	717,866.00 "
GRYMES HILL              ,01 ONE FAMILY HOMES     ,13," $	245,000.00 "," $	632,152.00 "," $	570,000.00 "," $	1,330,000.00 "
GRYMES HILL              ,02 TWO FAMILY HOMES     ,4," $	233,077.00 "," $	360,558.00 "," $	329,578.00 "," $	550,000.00 "
HUGUENOT                 ,01 ONE FAMILY HOMES     ,33," $	337,500.00 "," $	587,670.00 "," $	545,000.00 "," $	1,150,000.00 "
HUGUENOT                 ,02 TWO FAMILY HOMES     ,34," $	365,000.00 "," $	727,791.00 "," $	735,000.00 "," $	1,200,000.00 "
LIVINGSTON               ,01 ONE FAMILY HOMES     ,17," $	237,500.00 "," $	369,382.00 "," $	370,000.00 "," $	545,000.00 "
LIVINGSTON               ,02 TWO FAMILY HOMES     ,4," $	340,000.00 "," $	442,509.00 "," $	435,000.00 "," $	560,037.00 "
MANOR HEIGHTS            ,01 ONE FAMILY HOMES     ,31," $	250,000.00 "," $	420,268.00 "," $	420,000.00 "," $	710,000.00 "
MANOR HEIGHTS            ,02 TWO FAMILY HOMES     ,17," $	275,000.00 "," $	449,618.00 "," $	453,500.00 "," $	605,000.00 "
MARINERS HARBOR          ,01 ONE FAMILY HOMES     ,63," $	200,000.00 "," $	295,640.00 "," $	282,000.00 "," $	550,000.00 "
MARINERS HARBOR          ,02 TWO FAMILY HOMES     ,20," $	210,000.00 "," $	342,846.00 "," $	322,700.00 "," $	600,767.00 "
MIDLAND BEACH            ,01 ONE FAMILY HOMES     ,114," $	201,000.00 "," $	356,693.00 "," $	352,248.00 "," $	585,000.00 "
MIDLAND BEACH            ,02 TWO FAMILY HOMES     ,20," $	275,459.00 "," $	502,587.00 "," $	536,000.00 "," $	725,000.00 "
MIDLAND BEACH            ,03 THREE FAMILY HOMES   ,2," $	208,000.00 "," $	496,500.00 "," $	496,500.00 "," $	785,000.00 "
NEW BRIGHTON             ,01 ONE FAMILY HOMES     ,25," $	210,000.00 "," $	338,195.00 "," $	340,000.00 "," $	545,000.00 "
NEW BRIGHTON             ,02 TWO FAMILY HOMES     ,28," $	205,299.00 "," $	326,810.00 "," $	315,000.00 "," $	650,000.00 "
NEW BRIGHTON             ,03 THREE FAMILY HOMES   ,4," $	380,000.00 "," $	417,050.00 "," $	405,000.00 "," $	478,200.00 "
NEW DORP                 ,01 ONE FAMILY HOMES     ,57," $	215,000.00 "," $	416,713.00 "," $	425,000.00 "," $	628,000.00 "
NEW DORP                 ,02 TWO FAMILY HOMES     ,28," $	294,000.00 "," $	509,715.00 "," $	511,500.00 "," $	745,359.00 "
NEW DORP                 ,03 THREE FAMILY HOMES   ,1," $	812,000.00 "," $	812,000.00 "," $	812,000.00 "," $	812,000.00 "
NEW DORP-BEACH           ,01 ONE FAMILY HOMES     ,29," $	200,000.00 "," $	322,772.00 "," $	337,724.00 "," $	440,000.00 "
NEW DORP-BEACH           ,02 TWO FAMILY HOMES     ,8," $	215,000.00 "," $	366,575.00 "," $	372,000.00 "," $	470,000.00 "
NEW DORP-HEIGHTS         ,01 ONE FAMILY HOMES     ,48," $	280,000.00 "," $	509,269.00 "," $	441,500.00 "," $	1,210,000.00 "
NEW DORP-HEIGHTS         ,02 TWO FAMILY HOMES     ,7," $	380,000.00 "," $	597,286.00 "," $	600,000.00 "," $	836,000.00 "
NEW SPRINGVILLE          ,01 ONE FAMILY HOMES     ,143," $	250,000.00 "," $	425,251.00 "," $	430,848.00 "," $	730,000.00 "
NEW SPRINGVILLE          ,02 TWO FAMILY HOMES     ,48," $	315,000.00 "," $	538,395.00 "," $	547,500.00 "," $	800,000.00 "
OAKWOOD                  ,01 ONE FAMILY HOMES     ,33," $	250,000.00 "," $	489,276.00 "," $	440,000.00 "," $	896,060.00 "
OAKWOOD                  ,02 TWO FAMILY HOMES     ,5," $	475,000.00 "," $	553,400.00 "," $	560,000.00 "," $	667,000.00 "
OAKWOOD-BEACH            ,01 ONE FAMILY HOMES     ,161," $	200,385.00 "," $	410,406.00 "," $	410,000.00 "," $	765,000.00 "
OAKWOOD-BEACH            ,02 TWO FAMILY HOMES     ,22," $	399,823.00 "," $	561,328.00 "," $	544,653.00 "," $	750,000.00 "
OAKWOOD-BEACH            ,03 THREE FAMILY HOMES   ,1," $	405,595.00 "," $	405,595.00 "," $	405,595.00 "," $	405,595.00 "
PLEASANT PLAINS          ,01 ONE FAMILY HOMES     ,25," $	205,000.00 "," $	535,325.00 "," $	490,000.00 "," $	814,498.00 "
PLEASANT PLAINS          ,02 TWO FAMILY HOMES     ,10," $	455,000.00 "," $	927,172.00 "," $	957,008.00 "," $	1,450,000.00 "
PORT IVORY               ,01 ONE FAMILY HOMES     ,12," $	200,000.00 "," $	279,854.00 "," $	240,000.00 "," $	466,000.00 "
PORT IVORY               ,02 TWO FAMILY HOMES     ,8," $	245,000.00 "," $	310,063.00 "," $	286,250.00 "," $	418,000.00 "
PORT RICHMOND            ,01 ONE FAMILY HOMES     ,46," $	235,000.00 "," $	344,541.00 "," $	348,250.00 "," $	510,000.00 "
PORT RICHMOND            ,02 TWO FAMILY HOMES     ,27," $	205,000.00 "," $	306,573.00 "," $	280,000.00 "," $	525,000.00 "
PORT RICHMOND            ,03 THREE FAMILY HOMES   ,1," $	250,000.00 "," $	250,000.00 "," $	250,000.00 "," $	250,000.00 "
PRINCES BAY              ,01 ONE FAMILY HOMES     ,48," $	266,000.00 "," $	585,438.00 "," $	499,999.00 "," $	1,800,000.00 "
PRINCES BAY              ,02 TWO FAMILY HOMES     ,52," $	300,000.00 "," $	674,588.00 "," $	569,660.00 "," $	1,100,000.00 "
RICHMONDTOWN             ,01 ONE FAMILY HOMES     ,41," $	250,000.00 "," $	593,802.00 "," $	548,000.00 "," $	1,325,000.00 "
RICHMONDTOWN             ,02 TWO FAMILY HOMES     ,6," $	475,000.00 "," $	623,000.00 "," $	632,500.00 "," $	735,000.00 "
RICHMONDTOWN-LIGHTHS HILL,01 ONE FAMILY HOMES     ,8," $	410,000.00 "," $	775,938.00 "," $	692,500.00 "," $	1,300,000.00 "
ROSEBANK                 ,01 ONE FAMILY HOMES     ,60," $	204,000.00 "," $	372,890.00 "," $	351,500.00 "," $	605,000.00 "
ROSEBANK                 ,02 TWO FAMILY HOMES     ,16," $	200,000.00 "," $	404,702.00 "," $	433,300.00 "," $	615,625.00 "
ROSSVILLE                ,01 ONE FAMILY HOMES     ,44," $	223,000.00 "," $	439,886.00 "," $	370,000.00 "," $	881,000.00 "
ROSSVILLE                ,02 TWO FAMILY HOMES     ,15," $	337,345.00 "," $	605,656.00 "," $	575,000.00 "," $	975,000.00 "
ROSSVILLE-CHARLESTON     ,01 ONE FAMILY HOMES     ,13," $	240,299.00 "," $	508,270.00 "," $	542,000.00 "," $	625,000.00 "
ROSSVILLE-CHARLESTON     ,02 TWO FAMILY HOMES     ,1," $	530,000.00 "," $	530,000.00 "," $	530,000.00 "," $	530,000.00 "
ROSSVILLE-RICHMOND VALLEY,01 ONE FAMILY HOMES     ,1," $	700,000.00 "," $	700,000.00 "," $	700,000.00 "," $	700,000.00 "
ROSSVILLE-RICHMOND VALLEY,02 TWO FAMILY HOMES     ,1," $	515,000.00 "," $	515,000.00 "," $	515,000.00 "," $	515,000.00 "
SILVER LAKE              ,01 ONE FAMILY HOMES     ,23," $	255,000.00 "," $	508,078.00 "," $	430,000.00 "," $	1,150,000.00 "
SILVER LAKE              ,02 TWO FAMILY HOMES     ,5," $	400,000.00 "," $	509,800.00 "," $	499,000.00 "," $	675,000.00 "
SOUTH BEACH              ,01 ONE FAMILY HOMES     ,63," $	205,000.00 "," $	357,627.00 "," $	350,000.00 "," $	635,388.00 "
SOUTH BEACH              ,02 TWO FAMILY HOMES     ,29," $	330,000.00 "," $	500,133.00 "," $	472,000.00 "," $	773,870.00 "
SOUTH BEACH              ,03 THREE FAMILY HOMES   ,2," $	343,746.00 "," $	484,373.00 "," $	484,373.00 "," $	625,000.00 "
STAPLETON                ,01 ONE FAMILY HOMES     ,14," $	200,000.00 "," $	400,705.00 "," $	355,188.00 "," $	762,000.00 "
STAPLETON                ,02 TWO FAMILY HOMES     ,16," $	240,000.00 "," $	404,256.00 "," $	387,500.00 "," $	845,000.00 "
STAPLETON                ,03 THREE FAMILY HOMES   ,2," $	220,000.00 "," $	285,000.00 "," $	285,000.00 "," $	350,000.00 "
STAPLETON-CLIFTON        ,01 ONE FAMILY HOMES     ,20," $	234,000.00 "," $	311,505.00 "," $	295,000.00 "," $	395,460.00 "
STAPLETON-CLIFTON        ,02 TWO FAMILY HOMES     ,1," $	550,000.00 "," $	550,000.00 "," $	550,000.00 "," $	550,000.00 "
SUNNYSIDE                ,01 ONE FAMILY HOMES     ,13," $	250,000.00 "," $	394,000.00 "," $	430,000.00 "," $	522,000.00 "
SUNNYSIDE                ,02 TWO FAMILY HOMES     ,9," $	220,000.00 "," $	444,637.00 "," $	430,000.00 "," $	590,000.00 "
SUNNYSIDE                ,03 THREE FAMILY HOMES   ,2," $	420,000.00 "," $	444,995.00 "," $	444,995.00 "," $	469,989.00 "
TODT HILL                ,01 ONE FAMILY HOMES     ,25," $	280,000.00 "," $	1,404,640.00 "," $	1,394,000.00 "," $	2,950,000.00 "
TOMPKINSVILLE            ,01 ONE FAMILY HOMES     ,6," $	226,500.00 "," $	373,193.00 "," $	338,500.00 "," $	550,000.00 "
TOMPKINSVILLE            ,02 TWO FAMILY HOMES     ,3," $	349,000.00 "," $	392,673.00 "," $	350,000.00 "," $	479,019.00 "
TOTTENVILLE              ,01 ONE FAMILY HOMES     ,70," $	235,000.00 "," $	498,841.00 "," $	445,000.00 "," $	960,000.00 "
TOTTENVILLE              ,02 TWO FAMILY HOMES     ,41," $	250,000.00 "," $	668,499.00 "," $	695,000.00 "," $	1,010,000.00 "
TOTTENVILLE              ,03 THREE FAMILY HOMES   ,1," $	353,000.00 "," $	353,000.00 "," $	353,000.00 "," $	353,000.00 "
TRAVIS                   ,01 ONE FAMILY HOMES     ,52," $	200,000.00 "," $	394,346.00 "," $	395,775.00 "," $	570,220.00 "
TRAVIS                   ,02 TWO FAMILY HOMES     ,8," $	370,000.00 "," $	463,339.00 "," $	435,750.00 "," $	631,214.00 "
WEST NEW BRIGHTON        ,01 ONE FAMILY HOMES     ,66," $	205,000.00 "," $	374,188.00 "," $	356,000.00 "," $	765,000.00 "
WEST NEW BRIGHTON        ,02 TWO FAMILY HOMES     ,27," $	200,000.00 "," $	384,483.00 "," $	360,000.00 "," $	639,000.00 "
