NEIGHBORHOOD,BOROUGH,BUILDING_CLASS_CATEGORY,MIN_SALE_PRICE_2017_2018,MAX_SALE_PRICE_2017_2018,AVERAGE_SALE_PRICE_2017_2018,NUMBER_OF_SALES
Baychester,BRONX,Coop_Elevator,129500.0,136000.0,133250.0,4
Baychester,BRONX,One_Family,127000.0,784000.0,366565.8064516129,93
Baychester,BRONX,Three_Family,229000.0,764000.0,575538.75,32
Baychester,BRONX,Two_Family,150000.0,925881.0,495201.1395348837,129
Belmont,BRONX,Coop_Walkup,1150000.0,1150000.0,1150000.0,2
Belmont,BRONX,One_Family,300000.0,450000.0,351000.0,3
Belmont,BRONX,Three_Family,180000.0,1750000.0,669888.6363636364,11
Belmont,BRONX,Two_Family,200000.0,1450000.0,563472.2222222222,18
Bronxdale,BRONX,Condo_Elevator,112558.0,260000.0,183710.8,10
Bronxdale,BRONX,Coop_Elevator,105000.0,270000.0,163534.52380952382,42
Bronxdale,BRONX,Coop_Walkup,119000.0,140000.0,129500.0,2
Bronxdale,BRONX,One_Family,110000.0,1800000.0,414834.98387096776,62
Bronxdale,BRONX,Three_Family,262250.0,2600000.0,650960.5263157894,19
Bronxdale,BRONX,Two_Family,150000.0,910000.0,501779.0229885057,87
Castle Hill,BRONX,Coop_Elevator,115000.0,150000.0,140000.0,4
Castle Hill,BRONX,One_Family,260000.0,510000.0,401593.75,24
Castle Hill,BRONX,Three_Family,289000.0,775000.0,565630.9523809524,21
Castle Hill,BRONX,Two_Family,175000.0,966119.0,508872.60655737703,61
City Island,BRONX,Coop_Walkup,245000.0,392500.0,318750.0,2
City Island,BRONX,One_Family,155497.0,1661000.0,496373.13513513515,37
City Island,BRONX,Two_Family,302500.0,730000.0,484375.0,8
Co-op City,BRONX,One_Family,330000.0,330000.0,330000.0,1
Concourse,BRONX,Coop_Elevator,106056.0,510000.0,272654.8714285714,70
Concourse,BRONX,One_Family,158000.0,615000.0,387765.0,10
Concourse,BRONX,Three_Family,280000.0,710000.0,574487.3684210526,19
Concourse,BRONX,Two_Family,125000.0,690000.0,405042.5,16
Country Club,BRONX,Coop_Elevator,105000.0,155000.0,121666.66666666667,3
Country Club,BRONX,One_Family,155000.0,1535000.0,499407.4492753623,69
Country Club,BRONX,Three_Family,445000.0,925000.0,757500.0,6
Country Club,BRONX,Two_Family,110000.0,1150000.0,633742.487804878,41
Crotona Park,BRONX,One_Family,185000.0,515000.0,320416.4285714286,7
Crotona Park,BRONX,Three_Family,250000.0,765000.0,543875.0,8
Crotona Park,BRONX,Two_Family,270000.0,935000.0,518380.8125,16
Fieldston,BRONX,Coop_Elevator,140000.0,417215.0,205008.53333333333,15
Fieldston,BRONX,Coop_Walkup,185500.0,185500.0,185500.0,1
Fieldston,BRONX,One_Family,445000.0,3075000.0,1624720.0,15
Fieldston,BRONX,Three_Family,725000.0,900000.0,812500.0,2
Fieldston,BRONX,Two_Family,850000.0,850000.0,850000.0,1
Fordham,BRONX,Coop_Elevator,128000.0,300000.0,198100.0,5
Fordham,BRONX,One_Family,150000.0,975000.0,423099.25,8
Fordham,BRONX,Three_Family,165000.0,850000.0,430200.0,5
Fordham,BRONX,Two_Family,260000.0,2600000.0,679542.0,20
Highbridge,BRONX,Condo_Elevator,230000.0,230000.0,230000.0,1
Highbridge,BRONX,Coop_Elevator,105000.0,149550.0,127275.0,2
Highbridge,BRONX,One_Family,173000.0,1500000.0,465807.5,12
Highbridge,BRONX,Three_Family,130000.0,980000.0,571993.6842105263,19
Highbridge,BRONX,Two_Family,130000.0,1550000.0,458264.30303030304,33
Hunts Point,BRONX,One_Family,390000.0,390000.0,390000.0,1
Hunts Point,BRONX,Three_Family,217500.0,755000.0,550312.5,8
Hunts Point,BRONX,Two_Family,145000.0,700000.0,432813.3333333333,12
Kingsbridge,BRONX,Condo_Elevator,430000.0,640000.0,568953.3333333334,3
Kingsbridge,BRONX,Condo_Walkup,262000.0,262000.0,262000.0,1
Kingsbridge,BRONX,Coop_Elevator,108000.0,395000.0,195308.93333333332,75
Kingsbridge,BRONX,One_Family,330000.0,825000.0,553637.5,20
Kingsbridge,BRONX,Three_Family,285000.0,1100000.0,643338.8888888889,9
Kingsbridge,BRONX,Two_Family,288750.0,995000.0,579416.6666666666,15
Longwood,BRONX,Condo_Elevator,205000.0,270000.0,230750.0,4
Longwood,BRONX,Condo_Walkup,125000.0,260000.0,169073.14285714287,7
Longwood,BRONX,Coop_Elevator,163725.0,163725.0,163725.0,1
Longwood,BRONX,Coop_Walkup,110000.0,140000.0,125000.0,3
Longwood,BRONX,One_Family,223250.0,1.2303058E7,844825.2592592592,27
Longwood,BRONX,Three_Family,150000.0,805000.0,517300.578125,64
Longwood,BRONX,Two_Family,150000.0,703101.0,414900.1153846154,52
Melrose,BRONX,Coop_Elevator,106056.0,510000.0,272654.8714285714,70
Melrose,BRONX,One_Family,158000.0,615000.0,387765.0,10
Melrose,BRONX,Three_Family,280000.0,710000.0,574487.3684210526,19
Melrose,BRONX,Two_Family,125000.0,690000.0,405042.5,16
Morris Heights,BRONX,Condo_Elevator,230000.0,230000.0,230000.0,1
Morris Heights,BRONX,Coop_Elevator,105000.0,149550.0,127275.0,2
Morris Heights,BRONX,One_Family,173000.0,1500000.0,465807.5,12
Morris Heights,BRONX,Three_Family,130000.0,980000.0,571993.6842105263,19
Morris Heights,BRONX,Two_Family,130000.0,1550000.0,458264.30303030304,33
Morris Park,BRONX,Coop_Elevator,115000.0,245000.0,167787.85714285713,14
Morris Park,BRONX,One_Family,200000.0,640389.0,439195.86666666664,45
Morris Park,BRONX,Three_Family,140000.0,925000.0,581498.5151515151,33
Morris Park,BRONX,Two_Family,320000.0,1300000.0,541988.1208791209,91
Morrisania,BRONX,Condo_Elevator,205000.0,270000.0,230750.0,4
Morrisania,BRONX,Condo_Walkup,125000.0,260000.0,169073.14285714287,7
Morrisania,BRONX,Coop_Elevator,163725.0,163725.0,163725.0,1
Morrisania,BRONX,Coop_Walkup,110000.0,140000.0,125000.0,3
Morrisania,BRONX,One_Family,223250.0,1.2303058E7,844825.2592592592,27
Morrisania,BRONX,Three_Family,150000.0,805000.0,517300.578125,64
Morrisania,BRONX,Two_Family,150000.0,703101.0,414900.1153846154,52
Mott Haven,BRONX,Condo_Walkup,765000.0,765000.0,765000.0,1
Mott Haven,BRONX,Coop_Walkup,107000.0,107000.0,107000.0,1
Mott Haven,BRONX,One_Family,247000.0,1100000.0,545375.0,20
Mott Haven,BRONX,Three_Family,381000.0,705000.0,589782.4545454546,11
Mott Haven,BRONX,Two_Family,410036.0,800000.0,593570.8235294118,17
Mount Eden,BRONX,Coop_Elevator,170000.0,180000.0,176633.33333333334,3
Mount Eden,BRONX,One_Family,308220.0,1000000.0,578622.0,10
Mount Eden,BRONX,Three_Family,395000.0,1850000.0,690369.05,20
Mount Eden,BRONX,Two_Family,250000.0,2350000.0,631112.0909090909,11
Mount Hope,BRONX,Coop_Elevator,170000.0,180000.0,176633.33333333334,3
Mount Hope,BRONX,One_Family,308220.0,1000000.0,578622.0,10
Mount Hope,BRONX,Three_Family,395000.0,1850000.0,690369.05,20
Mount Hope,BRONX,Two_Family,250000.0,2350000.0,631112.0909090909,11
Norwood,BRONX,Condo_Walkup,185000.0,185000.0,185000.0,1
Norwood,BRONX,Coop_Elevator,110000.0,305000.0,169514.1,40
Norwood,BRONX,Coop_Walkup,110000.0,110000.0,110000.0,1
Norwood,BRONX,One_Family,210000.0,540000.0,387791.05,20
Norwood,BRONX,Three_Family,110000.0,1221900.0,627181.25,16
Norwood,BRONX,Two_Family,120000.0,995000.0,487236.5263157895,38
Parkchester,BRONX,Condo_Elevator,101850.0,313180.0,142442.15040650408,246
Parkchester,BRONX,Coop_Elevator,110000.0,300000.0,153966.66666666666,15
Parkchester,BRONX,One_Family,150000.0,999500.0,442176.2,5
Parkchester,BRONX,Three_Family,241232.0,746000.0,550968.6551724138,29
Parkchester,BRONX,Two_Family,200000.0,1272812.0,511815.652173913,23
Pelham Bay,BRONX,Condo_Elevator,125000.0,300000.0,212500.0,2
Pelham Bay,BRONX,Coop_Elevator,102500.0,170000.0,127369.23076923077,13
Pelham Bay,BRONX,One_Family,170000.0,599000.0,413650.6,45
Pelham Bay,BRONX,Three_Family,499890.0,990000.0,689533.0,19
Pelham Bay,BRONX,Two_Family,162240.0,900000.0,545249.1408450705,71
Pelham Gardens,BRONX,One_Family,212472.0,730000.0,517634.17647058825,34
Pelham Gardens,BRONX,Three_Family,673100.0,673100.0,673100.0,1
Pelham Gardens,BRONX,Two_Family,125000.0,875000.0,581083.3333333334,12
Port Morris,BRONX,Condo_Walkup,765000.0,765000.0,765000.0,1
Port Morris,BRONX,Coop_Walkup,107000.0,107000.0,107000.0,1
Port Morris,BRONX,One_Family,247000.0,1100000.0,545375.0,20
Port Morris,BRONX,Three_Family,381000.0,705000.0,589782.4545454546,11
Port Morris,BRONX,Two_Family,410036.0,800000.0,593570.8235294118,17
Riverdale,BRONX,Condo_Elevator,140000.0,1450000.0,651496.5952380953,42
