Neighborhood,BUILDING_CLASS_CATEGORY,BOROUGH,PCT,Variance_housing,Variance_crime,Variance_school,Variance_prediction_housing,Variance_prediction_crime,Variance_prediction_school,Variance_test_housing,score,rank,score_prediction,rank_predicted,rank_testing,rank_pred_eval,MIN_SALE_PRICE_2017_2018,MAX_SALE_PRICE_2017_2018,price,NUMBER_OF_SALES
Bath Beach,Two_Family,BROOKLYN,62,0.07983518356704661,-0.061297167829229345,-0.006557377049180305,0.018921319111173653,-0.08088568486096823,0.012944983818770182,0.07104667239151315,0.05082183711786298,66.18213601539958,0.04221298158799062,72.70640330980078,70.61554514933086,-2.090858160469921,150000.0,4680000.0,1150971.7931034483,58
Country Club,One_Family,BRONX,45,0.1758109370545698,-0.04420403652649316,-0.0744680851063829,-0.08606778485664299,-0.011165048543689354,-0.019999999999999928,0.20981564556199742,0.06059842130310096,68.71540231634114,-0.030657705282349283,56.80245263007178,78.86235695863665,22.059904328564876,155000.0,1535000.0,499407.4492753623,69
Castle Hill,Coops-Walkup,BRONX,43,0.1482682121382238,-0.08168790457191696,-0.016347636357102825,0.07369585501992587,-0.02424646445407365,0.023964434061645275,0.11568296202717604,0.0804821269878694,-1.0,-1.0,-1.0,-1.0,0.7210676662261193,-1.0,-1.0,-1.0,null
Dyker Heights,Three_Family,BROOKLYN,68,0.10714317711001115,0.005630113061862303,-0.012500000000000122,0.024293282890324137,0.047910134662666755,0.030395136778115554,0.09616461273545956,0.03212306676375895,61.33699134016417,-0.0030626206589243667,62.82505079268809,72.1082630265426,9.283212233854513,900000.0,2500000.0,1358523.8095238095,21
East Village,Condos-Walkup,MANHATTAN,9,-0.6389571428571429,-0.1020739932953673,0.007013292208269182,0.45176918301800223,2.381868484215874E-4,0.0140265844165382,-1.1172,-0.18105207962978578,-1.0,-1.0,-1.0,-1.0,-98.74734471002606,-1.0,-1.0,-1.0,null
Kingsbridge,Two_Family,BRONX,50,0.0601463483666575,-0.04602577018929939,0.014194571409644873,0.21265556501212404,0.01853200411822307,0.04656190136309738,-0.0516760320343267,0.043010172856461096,64.15801128505062,0.07865712144772853,80.66029846006498,63.32233669641841,-17.337961763646568,288750.0,995000.0,579416.6666666666,15
Mill Basin,Coops-Elevator,BROOKLYN,63,0.0220456395267914,-0.08564491113879623,0.0018274853801169175,0.13278155493144775,-0.014840155715465292,0.09154437456324259,-0.047498607413664885,0.04243080963492472,-1.0,-1.0,-1.0,-1.0,-16.356077631900284,-1.0,-1.0,-1.0,null
Morrisania,Condos-Walkup,BRONX,42,0.31470106100448736,-0.015245502374961339,0.014866421679320027,0.10524219427664565,0.056364151575259584,0.027557400013008635,0.2766369011116028,0.1199601777213851,84.0969644498931,0.021178457369974295,68.11564054767484,82.83343425919516,14.717793711520315,125000.0,260000.0,169073.14285714287,7
West Village,Two_Family,MANHATTAN,6,0.11614567041072066,0.010293350036538109,0.0654090044388081,-0.13619739621758822,-0.11370730402211716,-0.0018336162988115078,0.1724975124918167,0.052885895738839006,66.7169659773388,-0.0026445711420118785,62.91628965956595,76.64460169625303,13.728312036687086,3200000.0,1.575E7,8933750.0,8
City Island,Two_Family,BRONX,45,-0.08913351797450657,-0.04420403652649316,0.09803921568627452,0.3163716395702685,-0.011165048543689354,0.042553191489361736,-0.2937932664623383,0.010994687241088597,55.86229682271689,0.12583439113941014,90.95668789462334,48.9337077219549,-42.02298017266844,302500.0,730000.0,484375.0,8
