Neighborhood,BUILDING_CLASS_CATEGORY,BOROUGH,PCT,Variance_housing,Variance_crime,Variance_school,Variance_prediction_housing,Variance_prediction_crime,Variance_prediction_school,Variance_test_housing,score,rank,score_prediction,rank_predicted,rank_testing,MIN_SALE_PRICE_2017_2018,MAX_SALE_PRICE_2017_2018,price,NUMBER_OF_SALES
Bath Beach,Two_Family,BROOKLYN,62,0.07983518356704661,-0.061297167829229345,-0.006557377049180305,0.018921319111173653,-0.08088568486096823,0.012944983818770182,0.07104667239151315,0.05082183711786298,65.52031465524557,0.04221298158799062,71.97933927670277,69.90938969783755,150000.0,4680000.0,1150971.7931034483,58
Civic Center,Coop_Elevator,MANHATTAN,5,0.0,-0.03911735205616833,0.09645479052576272,0.0,0.012878476503630552,0.09108981821438172,0.0,0.03976063845390801,62.682845895239474,0.01762106395214321,66.66585074821644,65.72942469363818,410000.0,4300000.0,1021795.52,25
Concourse,Coop_Elevator,BRONX,44,0.0737093151950724,-0.06715625228920973,0.02907933721057819,-0.12805952795014364,-0.041087253493992684,0.018586944351136423,0.12945040057485765,0.05993059553660378,67.85693460402592,-0.02373919729716909,57.729285615814334,73.34551881836643,106056.0,510000.0,272654.8714285714,70
Country Club,One_Family,BRONX,45,0.1758109370545698,-0.04420403652649316,-0.0744680851063829,-0.08606778485664299,-0.011165048543689354,-0.019999999999999928,0.20981564556199742,0.06059842130310096,68.02824829317773,-0.030657705282349283,56.23442810377106,78.07373338905028,155000.0,1535000.0,499407.4492753623,69
Cypress Hills,Coop_Walkup,BROOKLYN,75,0.12549287594814756,-0.08579150635103522,0.009723422644770578,0.07052449213732964,-0.08745498742782319,0.024994613229907255,0.09352866052125594,0.08066996478345836,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Longwood,Condo_Elevator,BRONX,41,0.31470106100448736,-0.15905770288988824,0.030263974414053266,0.10524219427664565,0.007973519436472678,0.045695045695045705,0.2766369011116028,0.1813344461110392,99.0,0.04506912164599833,72.59645534136672,82.00509991660321,205000.0,270000.0,230750.0,4
Lower East Side,Condo_Elevator,MANHATTAN,7,0.0,-0.002726294990120216,-0.02336887279554758,0.0,0.018975144537233934,0.040759997432441214,0.0,-0.004751700202838809,51.26433925681231,0.00259994154321673,63.420290040560424,65.72942469363818,330000.0,2.0365E7,2874084.61627907,86
Manhattan Beach,Condo_Elevator,BROOKLYN,61,-0.015097154566381521,0.012301951550465047,-0.08979328165374655,-0.1898831468285502,-0.0915909571096556,0.0059101654846333606,0.0729211683861091,-0.03265310513185619,44.10694454295043,-0.028345177174971987,56.734087859968355,70.01967392923329,865000.0,865000.0,865000.0,1
Midwood,Condo_Walkup,BROOKLYN,70,0.11694559621192928,-0.04920125805748451,0.01293103448275893,-0.15750877877231997,-0.050543933054393274,0.025862068965517154,0.18141292172117857,0.06384422051785879,68.86087540285433,-0.028444982107175387,56.712523361818924,76.40268550345297,370000.0,690000.0,526666.6666666666,3
Downtown Brooklyn,Condo_Walkup,BROOKLYN,84,0.01839575279966825,0.02342607595937262,0.02335833127890351,0.03980683716396773,0.025943678849610654,0.049377640213035444,-0.0015382828701783493,0.0029076659158607156,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Dyker Heights,Three_Family,BROOKLYN,68,0.10714317711001096,0.005630113061862303,-0.012500000000000122,0.024293282890324137,0.047910134662666755,0.030395136778115554,0.09616461273545938,0.03212306676375889,60.72362142676252,-0.0030626206589243667,62.1968002847612,71.38718039627715,900000.0,2500000.0,1358523.8095238095,21
East New York,Condo_Walkup,BROOKLYN,75,0.13986368099708044,-0.08579150635103522,0.007887327300000259,0.08768946128466053,-0.08745498742782319,0.05786216518778204,0.10042192249722608,0.0852407227143923,74.34960301733135,0.08013884771770596,80.17384682171011,71.63765526325132,200000.0,356500.0,286800.0,5
Kingsbridge,Two_Family,BRONX,50,0.0601463483666575,-0.04602577018929939,0.014194571409644873,0.21265556501212404,0.01853200411822307,0.04656190136309738,-0.0516760320343267,0.043010172856461096,63.516431172200114,0.07865712144772853,79.85369547546433,62.68911332945423,288750.0,995000.0,579416.6666666666,15
West Village,Two_Family,MANHATTAN,6,0.11614567041072066,0.010293350036538109,0.0654090044388081,-0.13619739621758822,-0.11370730402211716,-0.0018336162988115078,0.1724975124918167,0.052885895738839006,66.04979631756542,-0.0026445711420118785,62.28712676297029,75.8781556792905,3200000.0,1.575E7,8933750.0,8
City Island,Two_Family,BRONX,45,-0.08913351797450657,-0.04420403652649316,0.09803921568627452,0.3163716395702685,-0.011165048543689354,0.042553191489361736,-0.2937932664623383,0.010994687241088597,55.30367385448972,0.12583439113941014,90.0471210156771,48.44437064473535,302500.0,730000.0,484375.0,8
Van Nest,Condo_Walkup,BRONX,49,0.0995637325104423,-0.005552873008208563,0.02898550724637671,0.12368436843684369,0.017408452619768054,0.05797101449275359,0.04020810535015869,0.044314832393532406,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Bloomfield,Three_Family,STATEN ISLAND,121,0.0,-0.09269450240992776,-0.03618618618618618,0.0,-0.048095394679912015,0.0685698292751191,0.0,0.02803125441742456,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Cypress Hills,Two_Family,BROOKLYN,75,0.12549287594814756,-0.08579150635103522,0.009723422644770578,0.07052449213732964,-0.08745498742782319,0.024994613229907255,0.09352866052125594,0.08066996478345836,73.1770914991323,0.06591422052667147,77.10038201425725,71.23209659520347,157268.0,935000.0,582075.112,125
Inwood,Condo_Walkup,MANHATTAN,34,0.2168511916149267,0.00189151794314925,0.05444219931655528,0.18169261329390127,0.00824814329401498,0.06291017759718313,0.13859580166611593,0.08875185971710345,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Prospect Heights,Condo_Elevator,BROOKLYN,77,-0.15660491531052814,-0.06301534286608913,-0.04724241257310672,0.13637081204341583,-0.03261375731772225,-0.006955161406253159,-0.24123932248422464,-0.04141618635552587,41.85899927327671,0.05903649679072115,75.61433661046982,51.53633314300164,527850.0,4227000.0,1124879.124423963,217
Prospect-Lefferts Gardens,Condo_Walkup,BROOKLYN,71,0.0,-0.08841526654221114,0.01760816666085328,0.1115224120751717,-0.021282742681047677,0.06645549457051057,0.0,0.03976814828209778,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Emerson Hill,One_Family,STATEN ISLAND,122,-0.6602086352558739,-0.04834150701809471,0.02857142857142864,-0.38525299433890753,0.008673106486473918,0.1111111111111112,-0.3920608331243407,-0.20459356238946078,0.0,-0.11053001283542939,38.976701552654994,42.6628896003949,580000.0,1350000.0,987367.5,12
Little Neck,Coop_Elevator,QUEENS,111,0.08998169487399624,-0.09922647185217003,0.039999999999999855,0.06972320827746306,0.039923371647509684,0.040816326530612276,0.05711107440304117,0.08118418194676666,73.3090008139429,0.018637855870761267,66.88554537616035,69.08950172921594,133000.0,418000.0,206500.0,18
New Dorp,Coop_Walkup,STATEN ISLAND,122,0.08221469577334416,-0.04834150701809471,0.039215686274509665,0.007560155431042113,0.008673106486473918,0.040000000000000036,0.07873223201355085,0.05791566789653575,67.34005624336538,0.00917681180627518,64.84133110021179,70.36156246225325,257000.0,288000.0,271333.3333333333,3
Arrochar,Coop_Elevator,STATEN ISLAND,122,0.031990055691835426,-0.04834150701809471,0.057692307692307654,0.1848611488506059,0.008673106486473918,-0.041666666666666706,-0.06659602784128066,0.044956199222457194,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Co-op City,Three_Family,BRONX,45,0.0,-0.04420403652649316,-0.017921146953404955,0.0,-0.011165048543689354,-0.007067137809187444,-0.30303030303030304,0.013201327872246024,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
