neighborhood,building_type,price,rank,score
SoHo,One_Family,1.30E+07,100,0.2210304856
SoHo,Two_Family,1.79E+07,100,0.2210304856
SoHo,Condos-Elevator,4506868.913,100,0.2210304856
SoHo,Coops-Walkup,1159460.41,100,0.2210304856
SoHo,Condos-Walkup,1222500,100,0.2210304856
SoHo,Coops-Elevator,3234975.339,100,0.2210304856
Longwood,Coops-Walkup,125000,95.13943174,0.1968987819
Longwood,One_Family,844825.2593,95.13943174,0.1968987819
Longwood,Coops-Elevator,163725,95.13943174,0.1968987819
Longwood,Two_Family,414900.1154,95.13943174,0.1968987819
Longwood,Three_Family,517300.5781,95.13943174,0.1968987819
Longwood,Condos-Elevator,230750,95.13943174,0.1968987819
Longwood,Condos-Walkup,169073.1429,95.13943174,0.1968987819
Murray Hill,Coops-Walkup,465000,95.09123232,0.1966594819
Murray Hill,Condos-Elevator,1616139.845,95.09123232,0.1966594819
Murray Hill,Coops-Elevator,751072.1055,95.09123232,0.1966594819
Murray Hill,Two_Family,7750000,95.09123232,0.1966594819
Murray Hill,One_Family,5660000,95.09123232,0.1966594819
Tribeca,Condos-Elevator,3299689.045,91.5668458,0.1791616407
Tribeca,Coops-Elevator,2820301.636,91.5668458,0.1791616407
Tribeca,One_Family,1.80E+07,91.5668458,0.1791616407
Tribeca,Coops-Walkup,2047500,91.5668458,0.1791616407
Jamaica Hills,Two_Family,819980.381,88.8960606,0.1659017514
Jamaica Hills,Three_Family,1068000,88.8960606,0.1659017514
Jamaica Hills,One_Family,647667.2143,88.8960606,0.1659017514
Jamaica Hills,Coops-Elevator,157415.3333,88.8960606,0.1659017514
Sea Gate,One_Family,854977.1429,85.84259082,0.1507419133
Sea Gate,Three_Family,770281.3333,85.84259082,0.1507419133
Sea Gate,Two_Family,612050,85.84259082,0.1507419133
Morrisania,One_Family,844825.2593,85.67416887,0.1499057336
Morrisania,Coops-Elevator,163725,85.67416887,0.1499057336
Morrisania,Condos-Elevator,230750,85.67416887,0.1499057336
Morrisania,Two_Family,414900.1154,85.67416887,0.1499057336
Morrisania,Three_Family,517300.5781,85.67416887,0.1499057336
Morrisania,Coops-Walkup,125000,85.67416887,0.1499057336
Morrisania,Condos-Walkup,169073.1429,85.67416887,0.1499057336
Washington Heights,Two_Family,1472992,84.84666949,0.1457973725
Washington Heights,Condos-Elevator,626706.9333,84.84666949,0.1457973725
Washington Heights,Coops-Walkup,518725.8571,84.84666949,0.1457973725
Washington Heights,One_Family,1560000,84.84666949,0.1457973725
Washington Heights,Coops-Elevator,617132.3396,84.84666949,0.1457973725
Washington Heights,Three_Family,816425,84.84666949,0.1457973725
Gramercy,Condos-Elevator,2435254.632,83.92450555,0.1412190215
Gramercy,Coops-Walkup,1190526.923,83.92450555,0.1412190215
Gramercy,Three_Family,1.35E+07,83.92450555,0.1412190215
Gramercy,Coops-Elevator,1075797.378,83.92450555,0.1412190215
Gramercy,Two_Family,5333333.333,83.92450555,0.1412190215
Coney Island,Condos-Elevator,520594.5946,82.76352428,0.1354549926
Coney Island,Two_Family,527827.8333,82.76352428,0.1354549926
Coney Island,Coops-Elevator,359473.1613,82.76352428,0.1354549926
