DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How well do teachers work with each other?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - Dates of Review,Average Grade 4 English Proficiency,Average Grade 4 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
01M015,P.S. 015 Roberto Clemente,Elementary,183,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,0.89,0.94,0.86,0.91,0.85,0.94,Proficient,Developing,Proficient,Well Developed,Proficient,24-Feb-15,2.15,2.26,0.103,0.364,0.006,0.919,0.485,0.764,0.036,0.364,0.576,0.018,4.8,0.609,0.937,0.178,0.976
01M019,P.S. 019 Asher Levy,Elementary,270,N/A,N/A,N/A,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,0.96,0.96,0.97,0.9,0.86,0.94,Proficient,Proficient,Proficient,Well Developed,Well Developed,"December 19 - 20, 2012",2.61,2.92,0.075,0.333,0.083,0.641,0.129,0.458,0.113,0.183,0.588,0.096,5.8,0.795,0.918,0.303,0.965
01M020,P.S. 020 Anna Silver,Elementary,633,Meeting Target,Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,0.87,0.77,0.82,0.61,0.8,0.79,Proficient,Well Developed,Proficient,Proficient,Well Developed,3-Feb-15,2.52,2.68,0.199,0.242,0.062,0.744,0.18,0.574,0.364,0.084,0.486,0.038,0.9,0.723,0.944,0.196,0.949
01M034,P.S. 034 Franklin D. Roosevelt,K-8,395,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,0.85,0.78,0.82,0.73,0.89,0.88,Proficient,Developing,Proficient,Well Developed,Well Developed,"January 29-30, 2014",2.49,2.72,0.069,0.308,0.029,0.86,0.231,0.703,0.056,0.284,0.618,0.037,2.6,0.872,0.918,0.282,0.971
01M063,The STAR Academy - P.S.63,Elementary,199,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.9,0.88,0.87,0.81,0.89,0.93,Proficient,Proficient,Well Developed,Proficient,Proficient,"February 26-27, 2014",2.35,2.89,0.04,0.379,0.017,0.73,0.264,0.511,0.063,0.213,0.626,0.098,7.9,0.75,0.928,0.232,0.968
01M064,P.S. 064 Robert Simon,Elementary,282,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.93,0.99,0.95,0.91,0.88,0.97,Proficient,Proficient,Proficient,Well Developed,Well Developed,24-Feb-15,2.18,2.4,0.072,0.357,0.008,0.858,0.305,0.707,0.068,0.193,0.655,0.076,6.8,0.733,0.918,0.327,0.98
01M110,P.S. 110 Florence Nightingale,Elementary,419,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,Not Meeting Target,Exceeding Target,0.88,0.78,0.95,0.69,0.87,0.78,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,26-Feb-15,2.72,3.13,0.023,0.172,0.057,0.499,0.107,0.32,0.13,0.099,0.458,0.271,7,0.897,0.949,0.133,0.974
01M134,P.S. 134 Henrietta Szold,Elementary,255,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Exceeding Target,Meeting Target,0.87,0.89,0.88,0.88,0.79,0.94,Proficient,Developing,Developing,Proficient,Proficient,"March 11-12, 2014",2.26,2.8,0.133,0.342,0.096,0.833,0.192,0.713,0.258,0.171,0.538,0.033,1.9,0.714,0.91,0.363,0.948
01M137,P.S. 137 John L. Bernstein,Elementary,186,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,0.79,0.8,0.74,0.71,0.81,0.9,Proficient,Developing,Developing,Proficient,Proficient,17-Nov-14,2.34,2.26,0.131,0.435,0.232,0.842,0.19,0.679,0.155,0.25,0.56,0.036,9.8,0.842,0.915,0.274,0.956
01M140,P.S. 140 Nathan Straus,K-8,380,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.94,0.91,0.85,0.87,0.83,0.93,Proficient,Developing,Proficient,Proficient,Developing,"January 7-8, 2014",2.19,2.36,0.18,0.37,0.13,0.849,0.182,0.71,0.055,0.105,0.793,0.041,31.2,0.677,0.925,0.274,0.964
01M142,P.S. 142 Amalia Castro,Elementary,386,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,0.92,0.89,0.9,0.83,0.89,0.95,Proficient,Proficient,Proficient,Proficient,Proficient,12-Mar-15,2.3,2.27,0.113,0.329,0.091,0.861,0.269,0.728,0.054,0.136,0.779,0.011,8.8,0.794,0.923,0.268,0.937
01M184,P.S. 184m Shuang Wen,K-8,665,N/A,N/A,N/A,Not Meeting Target,Approaching Target,Approaching Target,Exceeding Target,0.9,0.81,0.91,0.67,0.83,0.85,N/A,N/A,N/A,N/A,N/A,,3.18,3.69,0.184,0.129,0,0.559,0.065,0.377,0.766,0.03,0.083,0.084,4,0.6,0.984,0.017,0.978
01M188,P.S. 188 The Island School,K-8,482,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,1,1,0.99,0.99,0.92,0.99,Proficient,Developing,Developing,Proficient,Proficient,"May 13-14, 2014",2.27,2.37,0.156,0.283,0.06,0.917,0.472,0.737,0.018,0.307,0.63,0.042,0.9,0.786,0.907,0.368,0.973
01M292,Henry Street School for International Studies,Middle,255,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,0.72,0.77,0.77,0.72,0.76,0.87,Developing,Developing,Developing,Developing,Developing,1-May-15,2.11,2.2,0.08,0.44,0.04,0.832,0.3,0.68,0.1,0.3,0.54,0.04,0,0,0.844,0.582,
01M301,"Technology, Arts, and Sciences Studio",Middle,149,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,0.84,0.78,0.81,0.8,0.74,0.87,Developing,Developing,Developing,Developing,Proficient,12-Nov-14,2.17,2.28,0.067,0.403,0.027,0.791,0.188,0.638,0.081,0.275,0.577,0.034,9.3,0.765,0.903,0.346,0.959
01M315,The East Village Community School,Elementary,289,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.9,0.93,0.94,0.93,0.97,0.96,Proficient,Proficient,Proficient,Proficient,Well Developed,"April 7-8, 2014",2.88,3.14,0.016,0.269,0.008,0.362,0.036,0.213,0.083,0.111,0.241,0.498,0.9,0.68,0.947,0.108,0.973
01M332,University Neighborhood Middle School,Middle,86,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.92,0.96,0.92,0.96,0.86,0.96,Well Developed,Proficient,Proficient,Well Developed,Proficient,16-Mar-15,2.28,2.31,0.128,0.407,0.105,0.771,0.221,0.605,0.047,0.209,0.663,0.047,6.8,0.9,0.915,0.263,0.968
01M345,"Collaborative Academy of Science, Technology, & La",Middle,132,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,0.85,0.86,0.83,0.82,0.79,0.88,Proficient,Proficient,Proficient,Proficient,Proficient,3-Mar-15,2.22,2.52,0.068,0.386,0.129,0.785,0.22,0.621,0.159,0.28,0.5,0.023,6,0.923,0.91,0.301,0.945
