DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How well do teachers work with each other?,Quality Review - Dates of Review,Average Grade 5 English Proficiency,Average Grade 5 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
01M015,P.S. 015 Roberto Clemente,Elementary,162,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.88,0.96,0.78,0.94,0.92,0.94,Well Developed,Proficient,Proficient,Well Developed,Proficient,42481,,,0.099,0.358,0.043,0.882,0.444,0.722,0.056,0.309,0.605,0.012,5.8,0.591,0.934,0.241,0.977
01M019,P.S. 019 Asher Levy,Elementary,249,,,,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,0.94,0.91,0.92,0.91,0.92,0.94,,,,,,,,,0.052,0.321,0.084,0.653,0.165,0.438,0.104,0.197,0.627,0.064,6.8,0.795,0.915,0.324,0.956
01M020,P.S. 020 Anna Silver,Elementary,535,Meeting Target,Meeting Target,Meeting Target,Not Meeting Target,Not Meeting Target,Not Meeting Target,Meeting Target,0.58,0.62,0.73,0.33,0.8,0.55,Proficient,Well Developed,Proficient,Proficient,Well Developed,42038,,,0.164,0.222,0.062,0.709,0.148,0.535,0.359,0.084,0.488,0.043,1.9,0.739,0.942,0.204,0.959
01M034,P.S. 034 Franklin D. Roosevelt,K-8,376,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.79,0.73,0.65,0.8,0.91,0.87,Proficient,Developing,Developing,Proficient,Developing,42496,,,0.077,0.322,0.035,0.87,0.255,0.707,0.043,0.279,0.644,0.035,3.6,0.861,0.916,0.288,0.967
01M063,The STAR Academy - P.S.63,Elementary,188,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.9,0.94,0.92,0.97,0.95,0.95,Well Developed,Proficient,Well Developed,Proficient,Well Developed,42304,,,0.032,0.335,0,0.736,0.261,0.537,0.048,0.191,0.644,0.106,8.9,0.524,0.938,0.168,0.984
01M064,P.S. 064 Robert Simon,Elementary,238,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,0.9,0.89,0.86,0.88,0.86,0.86,Proficient,Proficient,Proficient,Well Developed,Well Developed,42059,,,0.063,0.353,0.013,0.842,0.29,0.643,0.067,0.185,0.664,0.071,7.8,0.621,0.914,0.345,0.979
01M110,P.S. 110 Florence Nightingale,Elementary,365,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.87,0.8,0.88,0.83,0.92,0.84,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,42061,,,0.014,0.153,0.055,0.497,0.121,0.326,0.159,0.093,0.449,0.255,8,0.75,0.955,0.106,0.977
01M134,P.S. 134 Henrietta Szold,Elementary,248,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.86,0.8,0.72,0.86,0.88,0.91,Proficient,Proficient,Proficient,Well Developed,Proficient,42318,,,0.125,0.387,0.101,0.82,0.266,0.665,0.21,0.202,0.556,0.028,2.9,0.679,0.92,0.309,0.957
01M137,P.S. 137 John L. Bernstein,Elementary,145,,,,,,,,0.63,0.66,0.52,0.79,0.88,0.89,Proficient,Developing,Developing,Proficient,Proficient,41960,,,0.09,0.434,0.214,0.862,0.234,0.69,0.11,0.241,0.621,0.028,1,0.667,0.913,0.336,0.972
01M140,P.S. 140 Nathan Straus,K-8,363,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.82,0.84,0.75,0.91,0.89,0.86,Proficient,Proficient,Well Developed,Proficient,Proficient,42383,,,0.149,0.361,0.135,0.857,0.187,0.727,0.052,0.124,0.777,0.036,1,0.781,0.929,0.287,0.969
