DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How well do teachers work with each other?,Quality Review - How safe and inclusive is the school while supporting social-emotional growth?,Quality Review - How well does the school allocate and manage resources?,"Quality Review - How well does the school identify, track, and meet its goals?",Quality Review - How thoughtful is the school’s approach to teacher development and evaluation?,Quality Review - How well are school decisions evaluated and adjusted?,Quality Review - Dates of Review,Average Incoming ELA Proficiency (Based on 4th Grade),Average Incoming Math Proficiency (Based on 4th Grade),Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
01M015,P.S. 015 Roberto Clemente,Elementary,161,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,0.91,0.97,0.89,0.99,0.94,0.96,Well Developed,Proficient,Proficient,Proficient,Proficient,Well Developed,Well Developed,Proficient,Well Developed,Proficient,42795,,,0.075,0.304,0.031,0.895,0.441,0.702,0.068,0.298,0.584,0.025,6.8,0.625,0.938,0.215,0.982
01M019,P.S. 019 Asher Levy,Elementary,247,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,0.91,0.91,0.92,0.91,0.93,0.93,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,42644,,,0.036,0.34,0.117,0.605,0.15,0.381,0.077,0.202,0.664,0.053,7.8,0.805,0.91,0.324,0.972
01M020,P.S. 020 Anna Silver,Elementary,499,Not Meeting Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,0.67,0.77,0.68,0.83,0.91,0.85,Developing,Developing,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Developing,42826,,,0.186,0.224,0.072,0.699,0.198,0.489,0.329,0.098,0.491,0.042,0.8,0.6,0.929,0.256,0.962
01M034,P.S. 034 Franklin D. Roosevelt,K-8,337,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,0.74,0.71,0.64,0.75,0.9,0.81,Proficient,Developing,Developing,Proficient,Developing,,,,,,42496,,,0.08,0.38,0.021,0.872,0.285,0.677,0.053,0.297,0.614,0.03,0.7,0.732,0.912,0.305,0.972
01M063,The STAR Academy - P.S.63,Elementary,178,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,0.8,0.88,0.86,0.92,0.92,0.93,Well Developed,Proficient,Well Developed,Proficient,Well Developed,,,,,,42304,,,0.028,0.354,0.022,0.709,0.242,0.5,0.039,0.191,0.646,0.101,9.9,0.5,0.931,0.251,0.973
01M064,P.S. 064 Robert Simon,Elementary,226,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.88,0.94,0.89,0.92,0.92,0.95,Proficient,Proficient,Proficient,Well Developed,Well Developed,,,,,,42059,,,0.044,0.354,0.009,0.833,0.274,0.628,0.058,0.19,0.673,0.071,8.8,0.654,0.913,0.346,0.969
01M110,P.S. 110 Florence Nightingale,Elementary,351,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,0.86,0.85,0.9,0.88,0.92,0.85,Developing,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Developing,42644,,,0.057,0.142,0.034,0.5,0.128,0.302,0.177,0.1,0.416,0.279,9,0.714,0.955,0.116,0.979
01M134,P.S. 134 Henrietta Szold,Elementary,332,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.77,0.86,0.75,0.86,0.91,0.91,Proficient,Proficient,Proficient,Well Developed,Proficient,,,,,,42318,,,0.099,0.419,0.145,0.837,0.241,0.681,0.16,0.205,0.596,0.03,3.9,0.711,0.917,0.333,0.967
01M140,P.S. 140 Nathan Straus,K-8,364,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.78,0.79,0.7,0.91,0.89,0.85,Proficient,Proficient,Well Developed,Proficient,Proficient,,,,,,42383,,,0.124,0.338,0.135,0.853,0.187,0.69,0.044,0.121,0.794,0.03,2,0.848,0.911,0.395,0.952
01M142,P.S. 142 Amalia Castro,Elementary,322,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.82,0.92,0.77,0.95,0.94,0.95,Proficient,Proficient,Proficient,Proficient,Proficient,,,,,,42075,,,0.099,0.363,0.102,0.884,0.314,0.689,0.05,0.118,0.804,0.006,2,0.649,0.922,0.257,0.979
01M184,P.S. 184m Shuang Wen,K-8,636,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Exceeding Target,0.82,0.78,0.75,0.77,0.88,0.8,Proficient,Developing,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Developing,42644,,,0.171,0.192,0.002,0.56,0.102,0.321,0.697,0.044,0.124,0.085,6,0.5,0.978,0.041,0.976
01M188,P.S. 188 The Island School,K-8,416,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,1,1,1,0.99,0.98,1,Proficient,Proficient,Proficient,Well Developed,Proficient,,,,,,42390,,,0.154,0.332,0.072,0.938,0.522,0.716,0.019,0.32,0.625,0.036,2.9,0.78,0.906,0.369,0.947
01M301,"Technology, Arts, and Sciences Studio",Middle,127,Approaching Target,Not Meeting Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,0.76,0.67,0.65,0.79,0.9,0.84,Developing,Developing,Developing,Developing,Under Developed,Developing,Developing,Developing,Under Developed,Under Developed,42675,2.41,2.37,0.047,0.441,0.008,0.746,0.157,0.591,0.087,0.323,0.496,0.055,11.3,0.632,0.895,0.382,0.963
01M315,The East Village Community School,Elementary,279,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,Meeting Target,Approaching Target,0.78,0.81,0.85,0.75,0.98,0.87,Proficient,Proficient,Well Developed,Well Developed,Proficient,,,,,,42495,,,0.014,0.197,0.007,0.287,0.025,0.122,0.115,0.05,0.201,0.57,2.9,0.522,0.955,0.088,0.962
01M332,University Neighborhood Middle School,Middle,234,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,0.81,0.85,0.69,0.91,0.82,0.88,Well Developed,Proficient,Proficient,Well Developed,Proficient,,,,,,42079,2.36,2.32,0.098,0.466,0.103,0.809,0.192,0.624,0.094,0.282,0.568,0.047,8.8,0.783,0.914,0.295,0.978
