Neighborhood,Weight_2015,Weight_2016,Weight_2017,Variance,Variance_prediction
Corona,2.454444444444444,2.5375,2.4924999999999997,-0.0013930680931684338,0.03273125342090881
Richmondtown,2.55,2.55,2.5,-0.019999999999999928,0.0
Mill Basin,2.256944444444444,2.484375,2.375,0.0018274853801169175,0.09154437456324259
Westerleigh,2.5,2.55,2.5,-0.009999999999999964,0.019607843137254832
Civic Center,2.0546153846153845,2.2605263157894737,2.3878947368421057,0.09645479052576272,0.09108981821438172
Douglaston,2.4833333333333334,2.5,2.4333333333333336,-0.02397260273972594,0.006666666666666643
Mount Hope,2.426923076923077,2.480161943319838,2.4805668016194327,0.010894401827974267,0.021465883121122988
Marble Hill,2.232236842105263,2.508918128654971,2.429605263157895,0.02429521316604984,0.11027912126332975
Rego Park,2.4188596491228074,2.5655701754385967,2.520614035087719,0.011266747868452828,0.05718437473288308
Dyker Heights,2.658333333333333,2.7416666666666667,2.6666666666666665,-0.012500000000000122,0.030395136778115554
Kew Gardens Hills,2.2325000000000004,2.4600000000000004,2.3600000000000003,0.005826271186440647,0.09247967479674797
Dongan Hills,2.425,2.45,2.5,0.025,0.010204081632653206
Financial District,2.4166666666666665,2.4583333333333335,2.3666666666666667,-0.02992957746478872,0.016949152542373
Bay Terrace,2.6,2.6,2.55,-0.01960784313725501,0.0
Bayside,2.4176470588235297,2.5,2.4529411764705884,-0.0023980815347721734,0.03294117647058812
Jackson Heights,2.3417763157894735,2.3958333333333335,2.3354166666666667,-0.014296445842527806,0.022562929061785017
Midtown,2.3666666666666667,2.4,2.4833333333333334,0.04026845637583896,0.01388888888888884
Hell's Kitchen,2.4319017094017092,2.486184210526316,2.487777777777778,0.011550395726837458,0.02183366015067542
Latourette Park,2.6,2.5,2.6,0.019230769230769332,-0.040000000000000036
Highbridge,2.551932367149758,2.5652173913043477,2.5808528428093642,0.008632016212927768,0.005178907721280712
Hollis Hills,2.6,2.5500000000000003,2.5666666666666664,-0.0032467532467534087,-0.01960784313725483
Navy Yard,2.4,2.5,2.5,0.019999999999999928,0.040000000000000036
Claremont Village,2.4709876543209877,2.6128739316239313,2.5681397306397304,0.010205417312220091,0.05430276431850645
Windsor Terrace,2.1999999999999997,2.4125,2.4375,0.053846153846153884,0.08808290155440429
Clinton Hill,2.349206349206349,2.338461538461538,2.392857142857143,0.020487307054471347,-0.004594820384294053
Riverdale,2.11,2.29,2.25,0.022222222222222143,0.07860262008733632
Washington Heights,2.407142857142857,2.492857142857143,2.4892857142857143,0.015781922525107548,0.03438395415472785
Ditmars Steinway,2.3875,2.5427631578947367,2.4875,0.008992330071409508,0.06106080206985758
Broad Channel,2.6,2.55,2.55,-0.009803921568627591,-0.01960784313725501
Olinville,2.4590277777777776,2.51875,2.5374999999999996,0.01915708812260521,0.02371105596912049
Mariners Harbor,2.425,2.45,2.425,-0.005154639175257806,0.010204081632653206
Kensington,2.3461988304093566,2.546052631578947,2.5184210526315796,0.02870660629281354,0.07849554981337914
Longwood,2.2962962962962963,2.40625,2.4246527777777778,0.030263974414053266,0.045695045695045705
Briarwood,2.0649999999999995,2.3249999999999997,2.2950000000000004,0.043572984749455757,0.11182795698924743
Tribeca,2.39,2.41,2.4899999999999998,0.03614457831325278,0.008298755186721999
Little Neck,2.35,2.45,2.5,0.039999999999999855,0.040816326530612276
Castleton Corners,2.65,2.7,2.65,-0.00943396226415091,0.018518518518518615
Norwood,2.35758547008547,2.4307692307692306,2.5062499999999996,0.044717266662403755,0.030107243319268624
Randall Manor,2.5,2.65,2.5,-0.030000000000000072,0.05660377358490563
Flushing,2.144615384615385,2.3394736842105264,2.3600000000000003,0.0499811294860359,0.08329151163796827
Wakefield,2.3333333333333335,2.316666666666667,2.316666666666667,-0.00359712230215826,-0.00719424460431652
Prospect Park,2.9,2.9,2.85,-0.017543859649122744,0.0
East Elmhurst,2.280263157894737,2.3625,2.2305555555555556,-0.04071901422297958,0.03480924533556099
Country Club,2.55,2.5,2.35,-0.0744680851063829,-0.019999999999999928
Vinegar Hill,2.75,2.5,2.45,-0.07142857142857136,-0.1
Whitestone,2.4142857142857146,2.4714285714285715,2.435714285714286,-0.002932551319648083,0.02312138728323691
Upper East Side,2.585672514619883,2.6055555555555556,2.5833333333333335,-0.004753820033955786,0.007631017843115331
Westchester Square,2.2816849816849816,2.4060150375939853,2.3428571428571425,-4.237846022187697E-4,0.05167467948717966
Fordham,2.484782608695652,2.505949656750572,2.497254004576659,7.55979107486385E-4,0.008446717194776673
