DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How well do teachers work with each other?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate,,,,,,,,
01M292,Henry Street School for International Studies,High School,255,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,0.72,0.77,0.77,0.72,0.76,0.87,Developing,Developing,Developing,Developing,Developing,42125,2.18,2.06,0.127,0.298,0.015,0.832,0.19,0.663,0.132,0.244,0.566,0.039,3,0.667,0.766,0.568,0.971,,,,,,,,
01M448,University Neighborhood High School,High School,304,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,0.85,0.95,0.87,0.93,0.79,0.95,Well Developed,Proficient,Proficient,Well Developed,Proficient,42115,2.27,2.37,0.194,0.22,0.003,0.812,0.263,0.599,0.299,0.25,0.411,0.033,5.5,0.696,0.88,0.347,0.971,,,,,,,,
01M450,East Side Community School,High School,666,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.92,0.95,0.92,0.96,0.88,0.95,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,42150,2.66,2.63,0.018,0.234,0,0.61,0.057,0.447,0.094,0.221,0.579,0.083,13.8,0.784,0.938,0.165,0.961,,,,,,,,
01M509,Marta Valle High School,High School,363,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,0.86,0.76,0.81,0.69,0.7,0.82,Developing,Developing,Developing,Developing,Proficient,42012,2.28,2.09,0.091,0.284,0.146,0.767,0.149,0.595,0.058,0.399,0.512,0.025,1.9,0.69,0.768,0.647,0.971,,,,,,,,
01M539,"New Explorations into Science, Technology and Math",High School,1735,Exceeding Target,Approaching Target,Meeting Target,Not Meeting Target,Approaching Target,Not Meeting Target,Exceeding Target,0.81,0.73,0.85,0.55,0.81,0.74,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,42040,3.5,3.53,0.002,0.043,0,0.257,0.029,0.26,0.385,0.133,0.18,0.286,9,0.602,0.952,0.13,0.967,,,,,,,,
01M696,Bard High School Early College,High School,545,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,0.92,0.9,0.91,0.9,0.75,0.92,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,"January 15-16, 2014",3.71,3.65,0,0.011,0,0.314,0.02,0.172,0.171,0.172,0.187,0.453,4.8,0.879,0.958,0.062,0.976,,,,,,,,
02M047,47 The American Sign Language and English Secondar,High School,169,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,0.79,0.88,0.85,0.75,0.73,0.88,Well Developed,Proficient,Proficient,Well Developed,Well Developed,42047,2.4,2.24,0.047,0.254,0.083,0.733,0.107,0.592,0.012,0.284,0.645,0.053,7,0.55,0.881,0.451,0.983,,,,,,,,
02M135,The Urban Assembly School for Emergency Management,High School,193,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.73,0.88,0.88,0.83,0.77,0.91,Proficient,Developing,Proficient,Proficient,Proficient,42135,2.34,2.22,0.073,0.197,0.01,0.713,0.124,0.528,0.057,0.285,0.622,0.026,2,0.647,0.883,0.348,0.972,,,,,,,,
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,High School,193,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.85,0.95,0.82,0.92,0.75,0.94,Proficient,Proficient,Proficient,Well Developed,Well Developed,41992,2.3,2.27,0.078,0.295,0.016,0.714,0.104,0.575,0.036,0.249,0.611,0.088,2,0.353,0.881,0.403,0.988,,,,,,,,
02M280,Manhattan Early College School for Advertising,High School,97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.86,0.92,0.89,0.94,0.79,0.94,Proficient,Proficient,Proficient,Well Developed,Proficient,42129,2.6,2.43,0.01,0.227,0,0.558,0.062,0.402,0.072,0.32,0.433,0.155,1,0.778,0.937,0.173,0.991,,,,,,,,
02M282,Urban Assembly Maker Academy,High School,103,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.78,0.94,0.84,0.91,0.81,0.93,Proficient,Developing,Proficient,Developing,Developing,42123,2.72,2.62,0.039,0.058,0.01,0.616,0.068,0.437,0.107,0.243,0.456,0.097,1,0.333,0.908,0.321,0.951,,,,,,,,
02M288,Food and Finance High School,High School,427,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Not Meeting Target,Meeting Target,Meeting Target,0.9,0.88,0.81,0.84,0.63,0.88,Well Developed,Well Developed,Proficient,Well Developed,Proficient,42067,2.47,2.36,0.03,0.157,0,0.687,0.087,0.525,0.047,0.396,0.522,0.03,11,0.774,0.885,0.405,0.959,,,,,,,,
02M294,Essex Street Academy,High School,358,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.91,0.98,0.88,0.97,0.79,0.96,Well Developed,Proficient,Well Developed,Well Developed,Proficient,"March 3-4, 2014",2.48,2.25,0.042,0.26,0.003,0.633,0.056,0.461,0.059,0.385,0.413,0.117,4.9,0.84,0.863,0.318,0.973,,,,,,,,
02M296,High School of Hospitality Management,High School,424,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.88,0.92,0.85,0.91,0.73,0.91,Proficient,Proficient,Proficient,Proficient,Well Developed,42046,2.31,2.25,0.078,0.175,0.028,0.751,0.09,0.585,0.05,0.21,0.712,0.017,2.8,0.857,0.848,0.428,0.973,,,,,,,,
02M298,Pace High School,High School,423,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.91,0.89,0.88,0.87,0.71,0.91,Well Developed,Proficient,Proficient,Well Developed,Well Developed,42110,2.6,2.47,0.012,0.116,0.002,0.665,0.057,0.511,0.137,0.281,0.454,0.019,11,1,0.927,0.203,0.97,,,,,,,,
02M300,"Urban Assembly School of Design and Construction,",High School,414,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.87,0.91,0.84,0.91,0.79,0.93,Proficient,Proficient,Proficient,Proficient,Proficient,"December 17-18, 2013",2.24,2.24,0.063,0.208,0.017,0.726,0.114,0.563,0.06,0.295,0.592,0.034,6.9,0.536,0.83,0.502,0.963,,,,,,,,
02M303,"Facing History School, The",High School,406,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.88,0.91,0.9,0.9,0.78,0.94,Well Developed,Proficient,Proficient,Well Developed,Well Developed,42076,2.17,2.09,0.195,0.251,0.002,0.811,0.131,0.665,0.017,0.273,0.675,0.022,3.9,0.667,0.83,0.492,0.952,,,,,,,,
02M305,"Urban Assembly Academy of Government and Law, The",High School,329,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.84,0.89,0.8,0.85,0.72,0.91,Proficient,Developing,Proficient,Proficient,Proficient,42089,2.35,2.22,0.033,0.188,0.003,0.749,0.146,0.608,0.058,0.419,0.492,0.027,1,0.391,0.859,0.448,0.977,,,,,,,,
02M308,Lower Manhattan Arts Academy,High School,383,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,0.84,0.87,0.79,0.91,0.75,0.91,Proficient,Proficient,Proficient,Well Developed,Proficient,41961,2.38,2.22,0.042,0.3,0.026,0.695,0.097,0.535,0.086,0.282,0.569,0.031,10,0.739,0.897,0.311,0.969,,,,,,,,
02M316,"Urban Assembly School of Business for Young Women,",High School,405,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,0.86,0.92,0.8,0.86,0.7,0.87,Developing,Developing,Developing,Proficient,Proficient,41956,2.3,2.19,0.044,0.185,0.002,0.736,0.101,0.578,0.035,0.528,0.393,0.022,10,0.318,0.799,0.545,0.974,,,,,,,,
02M374,Gramercy Arts High School,High School,530,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Not Meeting Target,Approaching Target,Approaching Target,0.87,0.86,0.76,0.75,0.65,0.85,Developing,Proficient,Proficient,Developing,Proficient,42130,2.49,2.25,0.021,0.175,0.006,0.662,0.083,0.479,0.036,0.425,0.442,0.058,1,0.811,0.865,0.42,0.969,,,,,,,,
02M376,NYC iSchool,High School,442,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.9,0.94,0.92,0.93,0.79,0.96,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,41715,3.12,2.81,0.002,0.129,0.007,0.422,0.036,0.29,0.086,0.199,0.398,0.287,2.8,0.931,0.94,0.193,0.98,,,,,,,,
02M392,MANHATTAN BUSINESS ACADEMY,High School,438,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Exceeding Target,0.81,0.81,0.82,0.84,0.7,0.83,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,42066,2.34,2.26,0.055,0.183,0.005,0.715,0.075,0.553,0.034,0.281,0.621,0.039,6,0.71,0.856,0.436,0.972,,,,,,,,
02M393,BUSINESS OF SPORTS SCHOOL,High School,449,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.73,0.77,0.85,0.79,0.79,0.86,Well Developed,Proficient,Well Developed,Proficient,Proficient,42026,2.22,2.16,0.073,0.223,0,0.714,0.114,0.546,0.022,0.354,0.595,0.016,6,0.543,0.847,0.475,0.973,,,,,,,,
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,High School,437,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.85,0.87,0.8,0.84,0.67,0.89,Proficient,Proficient,Proficient,Proficient,Proficient,41759,2.44,2.4,0.121,0.174,0.002,0.703,0.13,0.533,0.311,0.204,0.403,0.057,1.9,0.483,0.869,0.382,0.978,,,,,,,,
02M400,High School for Environmental Studies,High School,1301,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,0.84,0.85,0.84,0.76,0.68,0.87,Proficient,Proficient,Proficient,Proficient,Proficient,"October 22-23, 2013",2.6,2.55,0.071,0.166,0.049,0.69,0.058,0.547,0.151,0.147,0.629,0.066,14.4,0.833,0.891,0.296,0.971,,,,,,,,
02M407,Institute for Collaborative Education,High School,482,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.94,0.98,0.9,0.98,0.89,0.96,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,"March 19 - 20, 2013",2.87,2.38,0,0.062,0,0.258,0.036,0.13,0.058,0.141,0.149,0.565,3.4,0.696,0.917,0.204,0.978,,,,,,,,
