DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How well do teachers work with each other?,Quality Review - How safe and inclusive is the school while supporting social-emotional growth?,Quality Review - How well does the school allocate and manage resources?,"Quality Review - How well does the school identify, track, and meet its goals?",Quality Review - How thoughtful is the school’s approach to teacher development and evaluation?,Quality Review - How well are school decisions evaluated and adjusted?,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent Overage/Undercredited,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
01M292,Orchard Collegiate Academy,High School,140,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,Meeting Target,0.81,0.92,0.8,0.92,0.82,0.94,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Well Developed,Proficient,42826,2.474,2.117,0.143,0.271,0.036,0.832,0.079,0.2,0.621,0.15,0.243,0.55,0.05,1.9,0.5,0.867,0.448,0.973
01M448,University Neighborhood High School,High School,392,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,0.82,0.88,0.76,0.89,0.86,0.92,Well Developed,Proficient,Proficient,Well Developed,Proficient,,,,,,42115,2.847,2.66,0.089,0.148,0.003,0.757,0.074,0.173,0.538,0.301,0.245,0.421,0.028,7.5,0.429,0.925,0.244,0.971
01M450,East Side Community School,High School,393,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.9,0.93,0.84,0.95,0.93,0.94,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,42150,3.063,2.934,0.01,0.244,0,0.586,0.008,0.056,0.405,0.122,0.201,0.547,0.104,15.8,0.78,0.94,0.164,0.99
01M509,Marta Valle High School,High School,204,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Approaching Target,0.61,0.68,0.65,0.65,0.79,0.75,Developing,Developing,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,42705,2.632,2.207,0.088,0.294,0.025,0.767,0.093,0.142,0.618,0.029,0.363,0.583,0.02,2,0.647,0.79,0.631,0.946
01M539,"New Explorations into Science, Technology and Math",High School,614,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,0.81,0.75,0.72,0.74,0.91,0.81,Well Developed,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Proficient,Well Developed,42826,3.732,3.796,0.005,0.099,0,0.359,0.015,0.034,0.181,0.345,0.124,0.174,0.319,2,0.638,0.953,0.102,0.972
01M696,Bard High School Early College,High School,548,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,0.89,0.82,0.82,0.91,0.86,0.9,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,42447,3.925,4.024,0,0.029,0,0.383,0.005,0.044,0.234,0.254,0.161,0.179,0.391,6.8,0.839,0.945,0.13,0.98
02M047,47 The American Sign Language and English Secondar,High School,179,Meeting Target,Meeting Target,Meeting Target,Meeting Target,,,Meeting Target,0.65,0.77,0.68,0.84,0.8,0.84,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,42047,2.828,2.372,0.05,0.257,0.045,0.732,0.061,0.123,0.581,0.017,0.302,0.62,0.045,9,0.6,0.861,0.443,0.978
02M135,The Urban Assembly School for Emergency Management,High School,315,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.78,0.73,0.68,0.76,0.84,0.84,Well Developed,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,42644,2.71,2.36,0.067,0.19,0.003,0.712,0.076,0.149,0.524,0.057,0.27,0.61,0.048,4,0.792,0.83,0.511,0.969
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,High School,378,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,0.71,0.88,0.69,0.94,0.87,0.91,Proficient,Proficient,Proficient,Well Developed,Well Developed,,,,,,41992,2.617,2.345,0.069,0.272,0.008,0.707,0.063,0.122,0.529,0.026,0.259,0.619,0.077,4,0.333,0.865,0.453,0.982
02M260,M.S. 260 Clinton School Writers & Artists,High School,199,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,,0.85,0.82,0.77,0.86,0.89,0.91,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,,,,,,42066,3.606,3.323,0.01,0.186,0,0.243,0,0.025,0.116,0.111,0.075,0.161,0.603,5.8,0.647,0.966,0.055,0.976
